"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
0.166666666666667, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
0.333333333333333, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
0.5, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
0.666666666666667, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
0.833333333333333, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
1, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
1.16666666666667, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
1.33333333333333, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
1.5, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
1.66666666666667, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
1.83333333333333, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
2, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
2.16666666666667, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
2.33333333333333, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
2.5, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
2.66666666666667, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
2.83333333333333, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
3, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
3.16666666666667, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
3.33333333333333, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
3.5, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
3.66666666666667, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
3.83333333333333, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
4, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
4.16666666666667, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
4.33333333333333, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
4.5, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
4.66666666666667, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
4.83333333333333, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
5, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
5.16666666666667, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
5.33333333333333, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
5.5, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
5.66666666666667, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
5.83333333333333, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
6, 12047.6320507968, 1455.15263216362, 12047.6320507968, 12135.1929203569, 1274.48451879632, 2828.82572720486, 1274.48451879632
