OpenDSS Value (p.u.),Bus
0.0,udt7127-udt7929xx
0.0,udt5106-udt7929x
0.0,udt5106-udt7929xx
0.0,p1ulv11251
0.0,p1ulv11250
0.0,p1ulv11249
0.0,p1ulv11242
0.0,p1ulv11241
0.0,p1ulv11239
0.0,p1ulv11235
0.0,p1ulv11233
0.0,p1ulv11232
0.0,p1ulv11231
0.0,p1ulv11230
0.0,p1ulv11229
0.0,p1ulv11228
0.0,p1ulv11227
0.0,p1ulv11225
0.0,p1ulv11224
0.0,p1ulv11223
0.0,p1ulv11209
0.0,p1ulv11210
0.0,p1ulv11211
0.0,p1ulv11212
0.0,p1ulv11213
0.0,p1ulv11214
0.0,p1ulv11254
0.0,p1ulv11215
0.0,p1ulv11217
0.0,p1ulv11218
0.0,p1ulv11219
0.0,p1ulv11220
0.0,p1ulv11221
0.0,p1ulv11222
0.0,p1ulv11216
0.0,p1ulv11255
0.0,p1ulv11256
0.0,p1ulv11257
0.0,p1ulv27023
0.0,p1ulv27034
0.0,p1ulv27102
0.0,p1ulv27104
0.0,p1ulv27279
0.0,p1ulv27346
0.0,p1umv40
0.0,p1ulv27815
0.0,p1ulv27891
0.0,p1ulv27954
0.0,p1ulv28170
0.0,p1ulv28173
0.0,p1ulv28331
0.0,p1ulv28398
0.0,p1ulv27889
0.0,p1ulv11208
0.0,p1ulv26962
0.0,p1ulv26733
0.0,p1ulv11258
0.0,p1ulv11259
0.0,p1ulv11828
0.0,p1ulv11831
0.0,p1ulv26035
0.0,p1ulv26100
0.0,p1ulv26890
0.0,p1ulv26162
0.0,p1ulv26368
0.0,p1ulv26371
0.0,p1umv39
0.0,p1ulv26513
0.0,p1ulv26584
0.0,p1ulv26671
0.0,p1ulv26299
0.0,p1umv8
0.0,p1ulv4375
0.0,p1ulv4374
0.0,p1ulv47081
0.0,p1ulv47132
0.0,p1ulv47249
0.0,p1ulv47263
0.0,p1ulv47277
0.0,p1ulv47339
0.0,p1ulv47065
0.0,p1ulv47393
0.0,p1ulv47645
0.0,p1ulv47656
0.0,p1ulv47658
