Loading (p.u.),Name,Bus1,Bus2
2.5293792921854963,Line.l(r:p1ulv49161-udt14642lv),udt14642lv.1.2,p1ulv49161.1.2
2.5298065139879458,Line.l(r:p1ulv53424-udt19626lv),udt19626lv.1.2,p1ulv53424.1.2
2.534315268805389,Line.l(r:udm58433-udt19808lv),udt19808lv.1.2,udm58433.1.2
2.5343154689011653,Line.l(r:p1ulv58783-udm58433),udm58433.1.2,p1ulv58783.1.2
2.5373395143557036,Line.l(r:udm54279-udt17785lv),udt17785lv.1.2,udm54279.1.2
2.537339665536317,Line.l(r:p1ulv45631-udm54279),udm54279.1.2,p1ulv45631.1.2
2.5384422103907625,Line.l(r:p1ulv38683-udt15109lv),udt15109lv.1.2,p1ulv38683.1.2
2.538946337059386,Line.l(r:p1ulv24593-udt10584lv),udt10584lv.1.2,p1ulv24593.1.2
2.541891604367758,Line.l(r:p1ulv49900-udt18830lv),udt18830lv.1.2,p1ulv49900.1.2
2.542440007176884,Line.l(r:p1ulv58436-udt20545lv),udt20545lv.1.2,p1ulv58436.1.2
2.5470325796522038,Line.l(r:udm53602-udt17528lv),udt17528lv.1.2,udm53602.1.2
2.5470327719495556,Line.l(r:p1ulv48492-udm53602),udm53602.1.2,p1ulv48492.1.2
2.547881847638464,Line.l(r:udm25372-udt6803lv),udt6803lv.1.2,udm25372.1.2
2.5478819803760304,Line.l(r:p1ulv26274-udm25372),udm25372.1.2,p1ulv26274.1.2
2.547937512372577,Line.l(r:udm53110-udt17340lv),udt17340lv.1.2,udm53110.1.2
2.547937616811381,Line.l(r:p1ulv44281-udm53110),udm53110.1.2,p1ulv44281.1.2
2.549286857698016,Line.l(r:udm41894-udt12648lv),udt12648lv.1.2,udm41894.1.2
2.549286943846761,Line.l(r:p1ulv29638-udm41894),udm41894.1.2,p1ulv29638.1.2
2.55124654627236,Line.l(r:p1ulv41179-udt16154lv),udt16154lv.1.2,p1ulv41179.1.2
2.551804674213662,Line.l(r:udm39584-udm39585),udm39585.1.2,udm39584.1.2
2.5518050478186045,Line.l(r:p1ulv38860-udm39584),udm39584.1.2,p1ulv38860.1.2
2.553103591248041,Line.l(r:udm41728-udt12564lv),udt12564lv.1.2,udm41728.1.2
2.5545622330774735,Line.l(r:p1ulv31585-udt13313lv),udt13313lv.1.2,p1ulv31585.1.2
2.5555365528493694,Line.l(r:udm44184-udt13748lv),udt13748lv.1.2,udm44184.1.2
2.5555367998913114,Line.l(r:p1ulv39383-udm44184),udm44184.1.2,p1ulv39383.1.2
2.5559272396274606,Line.l(r:udm57738-udt19460lv),udt19460lv.1.2,udm57738.1.2
2.5559273838994887,Line.l(r:p1ulv52715-udm57738),udm57738.1.2,p1ulv52715.1.2
2.5573630513325587,Line.l(r:p1ulv35300-udt14357lv),udt14357lv.1.2,p1ulv35300.1.2
2.559572405641414,Line.l(r:udm49358-udt15989lv),udt15989lv.1.2,udm49358.1.2
2.5595725158595672,Line.l(r:p1ulv42748-udm49358),udm49358.1.2,p1ulv42748.1.2
2.561039839079745,Line.l(r:p1ulv31414-udt13245lv),udt13245lv.1.2,p1ulv31414.1.2
2.5611408810934164,Line.l(r:udm51903-udt16906lv),udt16906lv.1.2,udm51903.1.2
2.5619025026267725,Line.l(r:p1ulv22836-udm7018),udm7018.1.2,p1ulv22836.1.2
2.5628895960093727,Line.l(r:p1ulv22205-udt9927lv),udt9927lv.1.2,p1ulv22205.1.2
2.564447604574379,Line.l(r:p1ulv24737-udt10613lv),udt10613lv.1.2,p1ulv24737.1.2
2.5646085606694817,Line.l(r:p1ulv60230-udt20770lv),udt20770lv.1.2,p1ulv60230.1.2
2.5651477064718464,Line.l(r:p1ulv35439-udt2615lv),udt2615lv.1.2,p1ulv35439.1.2
2.5659189552608366,Line.l(r:p1ulv14304-udt6773lv),udt6773lv.1.2,p1ulv14304.1.2
2.565944027603533,Line.l(r:p1ulv46808-udt18097lv),udt18097lv.1.2,p1ulv46808.1.2
2.567912840753836,Line.l(r:udm40636-udt12142lv),udt12142lv.1.2,udm40636.1.2
2.5679129214783942,Line.l(r:p1ulv28379-udm40636),udm40636.1.2,p1ulv28379.1.2
2.5680057400753458,Line.l(r:p1ulv6875-udt3104lv),udt3104lv.1.2,p1ulv6875.1.2
2.5682200463388694,Line.l(r:p1ulv35145-udt11516lv),udt11516lv.1.2,p1ulv35145.1.2
2.5683314260664054,Line.l(r:p1ulv20821-udt9553lv),udt9553lv.1.2,p1ulv20821.1.2
