OpenDSS Value (p.u.),Bus
1.050243466473212,p1ulv48889
1.050294748284502,udm29533
1.0504050019129891,udm54279
1.0504191882449971,p1ulv34210
1.0506984499779657,udt17873lv
1.0508665249946672,p1ulv21923
1.0509947038784233,udm32883
1.051296024387722,udm43882
1.0513512168454207,p1ulv46161
1.051359788275988,udt5098lv
1.0518078146901795,udt9384lv
1.053757009103851,udm19185
1.0538965435738614,udm19184
1.0545176654082045,p1ulv37940
1.055054429853343,udm45775
1.0571951950595577,p1ulv33342
1.060703702711012,udm32821
1.0623108506281496,udm27643
1.0627735976033625,p1ulv29592
1.0628876916180525,p1ulv11167
1.0630256734817134,p1ulv25008
1.0650207864299661,p1ulv45631
1.0652994605976354,p1ulv45627
1.0659002390302077,p1ulv38918
1.066682192879419,p1ulv10515
1.0668099523227206,p1ulv21526
1.0669578742888208,p1ulv18859
1.0699452842876038,p1ulv10494
1.0705908589192097,udm39859
1.0720001764092775,p1ulv22360
1.0731461929383979,p1ulv11170
1.073191379827895,p1ulv5952
1.0740573422855582,udm38180
1.0741162246773033,p1ulv24050
1.0748639119306334,udm27642
1.0751244837740708,p1ulv13425
1.0781221566060626,udt14325lv
1.0784591532711296,udm37774
1.0802419137627255,p1ulv14905
1.0815467124627658,p1ulv35162
1.0854019499358813,udm43881
1.0867060075426052,udm32882
1.0873384425891963,p1ulv26731
1.0882285089325,p1ulv38231
1.0892934530961447,p1ulv32654
1.090129844366588,udm19172
1.0956548730483426,p1ulv32321
1.0961948016814993,p1ulv47350
1.1031437810201035,p1ulv20159
1.1175193229282856,p1ulv11166
1.1203214900204073,p1ulv15653
