Loading (p.u.),Name,Bus1,Bus2
1.0237656173033902,Line.l(r:udm7075-udt1802lv),udt1802lv.1.2,udm7075.1.2
1.0251363249829504,Line.l(r:udm36396-udt10690lv),udt10690lv.1.2,udm36396.1.2
1.025136346979946,Line.l(r:p1ulv25181-udm36396),udm36396.1.2,p1ulv25181.1.2
1.0691586959144552,Line.l(r:p1ulv37965-udt14966lv),udt14966lv.1.2.3,p1ulv37965.1.2.3
1.1109252145898971,Line.l(r:p1ulv3215-udt1469lv),udt1469lv.1.2,p1ulv3215.1.2
1.12868430633663,Line.l(r:udm22853-udt6080lv),udt6080lv.1.2,udm22853.1.2
1.1286843828568276,Line.l(r:p1ulv27595-udm22853),udm22853.1.2,p1ulv27595.1.2
1.129119159558885,Line.l(r:udm27626-udt7514lv),udt7514lv.1.2,udm27626.1.2
1.1291191970492438,Line.l(r:p1ulv15638-udm27626),udm27626.1.2,p1ulv15638.1.2
1.2535106219184906,Line.l(r:udm11673-udt2928lv),udt2928lv.1.2.3,udm11673.1.2.3
1.253510996356936,Line.l(r:p1ulv6451-udm11673),udm11673.1.2.3,p1ulv6451.1.2.3
1.2991200896302377,Line.l(r:p1ulv10755-udt4913lv),udt4913lv.1.2,p1ulv10755.1.2
1.3719818228009752,Line.l(r:p1ulv3814-udm7075),udm7075.1.2,p1ulv3814.1.2
1.3853105716742293,Line.l(r:p1ulv10748-udt4910lv),udt4910lv.1.2,p1ulv10748.1.2
1.4717204362046052,Line.l(r:p1ulv10743-udt4906lv),udt4906lv.1.2,p1ulv10743.1.2
1.4845921413705085,Line.l(r:udm18605-udt4912lv),udt4912lv.1.2,udm18605.1.2
1.4845921646088371,Line.l(r:p1ulv10756-udm18605),udm18605.1.2,p1ulv10756.1.2
1.4882286282580655,Line.l(r:p1ulv6462-udt2934lv),udt2934lv.1.2,p1ulv6462.1.2
1.5076688567632237,Line.l(r:p1ulv6468-udt2934lv),udt2934lv.1.2,p1ulv6468.1.2
1.5137180050224484,Line.l(r:udm11692-udt2934lv),udt2934lv.1.2,udm11692.1.2
1.513718047080793,Line.l(r:p1ulv6465-udm11692),udm11692.1.2,p1ulv6465.1.2
1.5165741508976391,Line.l(r:p1ulv6464-udm11690),udm11690.1.2,p1ulv6464.1.2
1.533143083070004,Line.l(r:p1ulv10751-udt4911lv),udt4911lv.1.2,p1ulv10751.1.2
1.5638022936962057,Line.l(r:udm18603-udt4911lv),udt4911lv.1.2,udm18603.1.2
1.5638023145793856,Line.l(r:p1ulv10752-udm18603),udm18603.1.2,p1ulv10752.1.2
1.5899092843930522,Line.l(r:udm18599-udt4910lv),udt4910lv.1.2,udm18599.1.2
1.5899092884722772,Line.l(r:p1ulv10747-udm18599),udm18599.1.2,p1ulv10747.1.2
1.5974783279546487,Line.l(r:udm15762-udt4060lv),udt4060lv.1.2,udm15762.1.2
1.597478331220097,Line.l(r:p1ulv28739-udm15762),udm15762.1.2,p1ulv28739.1.2
1.7521568998726746,Line.l(r:udm11685-udt2932lv),udt2932lv.1.2,udm11685.1.2
1.7521569420993572,Line.l(r:p1ulv6458-udm11685),udm11685.1.2,p1ulv6458.1.2
1.7658081424305767,Line.l(r:p1ulv5719-udt2594lv),udt2594lv.1.2,p1ulv5719.1.2
2.4369338561948046,Line.l(r:p1ulv26219-udt10974lv),udt10974lv.1.2,p1ulv26219.1.2
2.4402676106607144,Line.l(r:p1ulv26431-udt11118lv),udt11118lv.1.2,p1ulv26431.1.2
2.451925511550729,Line.l(r:p1ulv8861-udt4031lv),udt4031lv.1.2,p1ulv8861.1.2
2.5171754767754,Line.l(r:udm5963-udt1463lv),udt1463lv.1.2,udm5963.1.2
2.5171755972642798,Line.l(r:p1ulv3203-udm5963),udm5963.1.2,p1ulv3203.1.2
2.5863792814226843,Line.l(r:p1ulv14304-udt6773lv),udt6773lv.1.2,p1ulv14304.1.2
2.6010877284744294,Line.l(r:p1ulv49303-udt18688lv),udt18688lv.1.2,p1ulv49303.1.2
2.607750669184076,Line.l(r:p1ulv37070-udt14778lv),udt14778lv.1.2,p1ulv37070.1.2
2.6144010114087446,Line.l(r:udm5969-udt1466lv),udt1466lv.1.2,udm5969.1.2
2.61440114756979,Line.l(r:p1ulv3211-udm5969),udm5969.1.2,p1ulv3211.1.2
2.6144461908127807,Line.l(r:p1ulv8867-udt4036lv),udt4036lv.1.2,p1ulv8867.1.2
2.6447552812055126,Line.l(r:p1ulv50854-udt19010lv),udt19010lv.1.2,p1ulv50854.1.2
2.644828839447634,Line.l(r:p1ulv14306-udt6775lv),udt6775lv.1.2,p1ulv14306.1.2
2.6450828765370447,Line.l(r:p1ulv32464-udt13592lv),udt13592lv.1.2,p1ulv32464.1.2
2.6508956567533746,Line.l(r:p1ulv44064-udt17287lv),udt17287lv.1.2,p1ulv44064.1.2
2.6628472554592615,Line.l(r:p1ulv50760-udt18991lv),udt18991lv.1.2,p1ulv50760.1.2
2.6690191560860113,Line.l(r:p1ulv43862-udt17242lv),udt17242lv.1.2,p1ulv43862.1.2
2.7077657654054343,Line.l(r:p1ulv3217-udt1469lv),udt1469lv.1.2,p1ulv3217.1.2
2.7153960023387844,Line.l(r:p1ulv10408-udt4801lv),udt4801lv.1.2,p1ulv10408.1.2
2.753966086241874,Line.l(r:p1ulv35945-udt14507lv),udt14507lv.1.2,p1ulv35945.1.2
2.8085078853962493,Line.l(r:p1ulv10721-udt4895lv),udt4895lv.1.2,p1ulv10721.1.2
2.8368190449752464,Line.l(r:udm36397-udt10690lv),udt10690lv.1.2,udm36397.1.2
2.836819078208818,Line.l(r:p1ulv35721-udm36397),udm36397.1.2,p1ulv35721.1.2
2.856583292940475,Line.l(r:p1ulv10759-udt4916lv),udt4916lv.1.2,p1ulv10759.1.2
2.8587213164227823,Line.l(r:p1ulv49388-udt18706lv),udt18706lv.1.2,p1ulv49388.1.2
2.8899890677938664,Line.l(r:p1ulv47562-udt17262lv),udt17262lv.1.2,p1ulv47562.1.2
2.897905302272256,Line.l(r:udm15653-udt4018lv),udt4018lv.1.2,udm15653.1.2
2.8979054991375146,Line.l(r:p1ulv10729-udm15653),udm15653.1.2,p1ulv10729.1.2
2.9116725788358435,Line.l(r:udm15677-udt4031lv),udt4031lv.1.2,udm15677.1.2
2.9116727549418635,Line.l(r:p1ulv30702-udm15677),udm15677.1.2,p1ulv30702.1.2
2.9117461074543685,Line.l(r:p1ulv40672-udt16031lv),udt16031lv.1.2,p1ulv40672.1.2
2.9147353265631226,Line.l(r:p1ulv3210-udt1466lv),udt1466lv.1.2,p1ulv3210.1.2
2.966400552770524,Line.l(r:p1ulv3219-udt1462lv),udt1462lv.1.2,p1ulv3219.1.2
2.975325704602946,Line.l(r:p1ulv8846-udt4017lv),udt4017lv.1.2,p1ulv8846.1.2
2.9767283902238075,Line.l(r:p1ulv10407-udt4800lv),udt4800lv.1.2,p1ulv10407.1.2
3.0792299751143664,Line.l(r:p1ulv10730-udt4899lv),udt4899lv.1.2,p1ulv10730.1.2
3.1280791958838248,Line.l(r:p1ulv10724-udt4018lv),udt4018lv.1.2,p1ulv10724.1.2
3.1402748626009798,Line.l(r:p1ulv47591-udt18270lv),udt18270lv.1.2,p1ulv47591.1.2
3.1725449452464987,Line.l(r:p1ulv38643-udt4801lv),udt4801lv.1.2,p1ulv38643.1.2
3.1729414100207833,Line.l(r:p1ulv31399-udt13241lv),udt13241lv.1.2,p1ulv31399.1.2
3.175936691835529,Line.l(r:p1ulv40588-udt16007lv),udt16007lv.1.2,p1ulv40588.1.2
3.1859621828838955,Line.l(r:p1ulv50509-udt16007lv),udt16007lv.1.2,p1ulv50509.1.2
3.198272321643909,Line.l(r:p1ulv47458-udt16007lv),udt16007lv.1.2,p1ulv47458.1.2
3.2044435351293465,Line.l(r:p1ulv8847-udt4018lv),udt4018lv.1.2,p1ulv8847.1.2
3.234471347415783,Line.l(r:p1ulv3205-udt1465lv),udt1465lv.1.2,p1ulv3205.1.2
5.551067670521075,Line.l(r:p1ulv3197-udt1462lv),udt1462lv.1.2,p1ulv3197.1.2
6.368105891409791,Line.l(r:p1ulv3206-udt1465lv),udt1465lv.1.2,p1ulv3206.1.2
