Loading (p.u.),Name,Bus1,Bus2
1.0009005486255376,Line.l(r:p1ulv11673-udt5351lv),udt5351lv.1.2,p1ulv11673.1.2
1.007492943671288,Line.padswitch(r:udt16910-udt18497)u_81854,udt18497.1.2.3,udt16910-udt18497xx.1.2.3
1.0074929463500697,Line.l(r:udt16910-udt18497),udt16910-udt18497xx.1.2.3,udt16910-udt18497x.1.2.3
1.0075142195802564,Line.padswitch(r:udt16910-udt18497)u_81855,udt16910-udt18497x.1.2.3,udt16910.1.2.3
1.0075142222515014,Line.padswitch(r:udt16910-udt17926)u_81852,udt16910.1.2.3,udt16910-udt17926x.1.2.3
1.007514224926493,Line.l(r:udt16910-udt17926),udt16910-udt17926x.1.2.3,udt16910-udt17926xx.1.2.3
1.007518476508305,Line.padswitch(r:udt16910-udt17926)u_81853,udt16910-udt17926xx.1.2.3,udt17926.1.2.3
1.0158236308789694,Line.l(r:udt17926-udt19137),udt17926-udt19137x.1.2.3,udt17926-udt19137xx.1.2.3
1.0158361385446275,Line.padswitch(r:udt17926-udt19137)u_81851,udt17926-udt19137xx.1.2.3,udt19137.1.2.3
1.017068842552505,Line.padswitch(r:udt17626-udt20565)u_81858,udt17626.1.2.3,udt17626-udt20565x.1.2.3
1.0170688452415582,Line.l(r:udt17626-udt20565),udt17626-udt20565x.1.2.3,udt17626-udt20565xx.1.2.3
1.01708164948187,Line.padswitch(r:udt17626-udt20565)u_81859,udt17626-udt20565xx.1.2.3,udt20565.1.2.3
1.0170816521700987,Line.padswitch(r:udt18497-udt20565)u_81856,udt20565.1.2.3,udt18497-udt20565xx.1.2.3
1.0170816548574453,Line.l(r:udt18497-udt20565),udt18497-udt20565xx.1.2.3,udt18497-udt20565x.1.2.3
1.0170987025415812,Line.padswitch(r:udt18497-udt20565)u_81857,udt18497-udt20565x.1.2.3,udt18497.1.2.3
1.0251115864335987,Line.l(r:udm46847-udt15366lv),udt15366lv.1.2,udm46847.1.2
1.0251115984188193,Line.l(r:p1ulv39615-udm46847),udm46847.1.2,p1ulv39615.1.2
1.0360403657172823,Line.padswitch(r:udt20331-udt20866)u_81864,udt20331.1.2.3,udt20331-udt20866x.1.2.3
1.036040368456249,Line.l(r:udt20331-udt20866),udt20331-udt20866x.1.2.3,udt20331-udt20866xx.1.2.3
1.036062073715423,Line.padswitch(r:udt20331-udt20866)u_81865,udt20331-udt20866xx.1.2.3,udt20866.1.2.3
1.036062076454834,Line.padswitch(r:udt18761-udt20866)u_81862,udt20866.1.2.3,udt18761-udt20866xx.1.2.3
1.0360620791932327,Line.l(r:udt18761-udt20866),udt18761-udt20866xx.1.2.3,udt18761-udt20866x.1.2.3
1.0360750928108902,Line.padswitch(r:udt18761-udt20866)u_81863,udt18761-udt20866x.1.2.3,udt18761.1.2.3
1.0379612155407916,Line.padswitch(r:udt17626-udt18761)u_81860,udt18761.1.2.3,udt17626-udt18761xx.1.2.3
1.037961218262431,Line.l(r:udt17626-udt18761),udt17626-udt18761xx.1.2.3,udt17626-udt18761x.1.2.3
1.0379741654302832,Line.padswitch(r:udt17626-udt18761)u_81861,udt17626-udt18761x.1.2.3,udt17626.1.2.3
1.0393749623441242,Line.l(r:udm59667-udt20676lv),udt20676lv.1.2,udm59667.1.2
1.0393749875332128,Line.l(r:p1ulv59427-udm59667),udm59667.1.2,p1ulv59427.1.2
1.0512361388602374,Line.l(r:udm58717-udt19964lv),udt19964lv.1.2,udm58717.1.2
1.0512361440257958,Line.l(r:p1ulv56280-udm58717),udm58717.1.2,p1ulv56280.1.2
1.0727078962360563,Line.l(r:p1ulv55005-udt19992lv),udt19992lv.1.2,p1ulv55005.1.2
1.0856378206863193,Line.l(r:p1ulv57902-udt20473lv),udt20473lv.1.2,p1ulv57902.1.2
1.1233998444368707,Line.l(r:udm47531-udt15533lv),udt15533lv.1.2,udm47531.1.2
1.1233999117820361,Line.l(r:p1ulv39833-udm47531),udm47531.1.2,p1ulv39833.1.2
1.1273518994348244,Line.l(r:p1ulv55324-udt20049lv),udt20049lv.1.2,p1ulv55324.1.2
1.1429609352956684,Line.l(r:p1ulv60788-udt20827lv),udt20827lv.1.2,p1ulv60788.1.2
1.149379458463032,Line.l(r:p1ulv41623-udt16356lv),udt16356lv.1.2,p1ulv41623.1.2
1.1527601940766525,Line.l(r:p1ulv50069-udt18865lv),udt18865lv.1.2,p1ulv50069.1.2
1.157799819363749,Line.l(r:udm59025-udt20166lv),udt20166lv.1.2,udm59025.1.2
1.1577998516634478,Line.l(r:p1ulv60498-udm59025),udm59025.1.2,p1ulv60498.1.2
1.164624982129829,Line.l(r:p1ulv54049-udt19784lv),udt19784lv.1.2,p1ulv54049.1.2
1.1660197007381172,Line.l(r:p1ulv51326-udt19103lv),udt19103lv.1.2,p1ulv51326.1.2
1.1720070307400514,Line.l(r:p1ulv58680-udt20578lv),udt20578lv.1.2,p1ulv58680.1.2
1.1746700127386056,Line.l(r:p1ulv60977-udt20850lv),udt20850lv.1.2,p1ulv60977.1.2
1.2141173958666933,Line.padswitch(r:udt18428-udt19872)u_81881,udt18428-udt19872x.1.2.3,udt18428.1.2.3
1.2141735093328119,Line.padswitch(r:udt18428-udt20374)u_81879,udt18428-udt20374xx.1.2.3,udt20374.1.2.3
1.2201032208109999,Line.padswitch(r:udt19854-udt20374)u_81870,udt20374.1.2.3,udt19854-udt20374xx.1.2.3
1.220103224183866,Line.l(r:udt19854-udt20374),udt19854-udt20374xx.1.2.3,udt19854-udt20374x.1.2.3
1.2201709833682557,Line.padswitch(r:udt19854-udt20374)u_81871,udt19854-udt20374x.1.2.3,udt19854.1.2.3
1.225341380431621,Line.padswitch(r:udt16512-udt19854)u_81868,udt19854.1.2.3,udt16512-udt19854xx.1.2.3
1.225341383774658,Line.l(r:udt16512-udt19854),udt16512-udt19854xx.1.2.3,udt16512-udt19854x.1.2.3
1.2253467509760612,Line.padswitch(r:udt16512-udt19854)u_81869,udt16512-udt19854x.1.2.3,udt16512.1.2.3
1.2253467543111831,Line.padswitch(r:udt16512-udt20331)u_81866,udt16512.1.2.3,udt16512-udt20331x.1.2.3
1.2253467576530925,Line.l(r:udt16512-udt20331),udt16512-udt20331x.1.2.3,udt16512-udt20331xx.1.2.3
1.225414606301534,Line.padswitch(r:udt16512-udt20331)u_81867,udt16512-udt20331xx.1.2.3,udt20331.1.2.3
1.2480250501764791,Line.l(r:p1ulv2737-udt1251lv),udt1251lv.1.2.3,p1ulv2737.1.2.3
1.3005810368125295,Line.l(r:p1ulv54659-udt19925lv),udt19925lv.1.2,p1ulv54659.1.2
1.3034325848112804,Line.l(r:p1ulv53865-udt19741lv),udt19741lv.1.2,p1ulv53865.1.2
1.4034195148105788,Line.l(r:p1ulv58552-udt20565lv),udt20565lv.1.2,p1ulv58552.1.2
1.4328790506806317,Line.l(r:p1ulv56807-udt20310lv),udt20310lv.1.2,p1ulv56807.1.2
1.4928133074008194,Line.l(r:udm59668-udt20676lv),udt20676lv.1.2,udm59668.1.2
1.4928133886252695,Line.l(r:p1ulv60374-udm59668),udm59668.1.2,p1ulv60374.1.2
1.4982531713973064,Line.l(r:udm52608-udt17116lv),udt17116lv.1.2,udm52608.1.2
1.498253404270662,Line.l(r:p1ulv43539-udm52608),udm52608.1.2,p1ulv43539.1.2
1.5019324354105117,Line.l(r:udm59024-udt20166lv),udt20166lv.1.2,udm59024.1.2
1.5019324703138526,Line.l(r:p1ulv59823-udm59024),udm59024.1.2,p1ulv59823.1.2
1.505758353006058,Line.l(r:udm56296-udt18787lv),udt18787lv.1.2,udm56296.1.2
1.5057584533455093,Line.l(r:p1ulv58950-udm56296),udm56296.1.2,p1ulv58950.1.2
1.506112952450298,Line.l(r:p1ulv14622-udt6948lv),udt6948lv.1.2,p1ulv14622.1.2
1.5291849341151513,Line.l(r:p1ulv60721-udt20822lv),udt20822lv.1.2,p1ulv60721.1.2
1.5319539282455847,Line.l(r:p1ulv58743-udt20585lv),udt20585lv.1.2,p1ulv58743.1.2
1.5421428427010109,Line.l(r:p1ulv53063-udt19543lv),udt19543lv.1.2,p1ulv53063.1.2
1.5820485136433886,Line.l(r:udm57174-udt19225lv),udt19225lv.1.2,udm57174.1.2
1.5820485225197585,Line.l(r:p1ulv52980-udm57174),udm57174.1.2,p1ulv52980.1.2
1.6020783414148863,Line.l(r:udm47532-udt15533lv),udt15533lv.1.2,udm47532.1.2
1.6020783441305797,Line.l(r:p1ulv41554-udm47532),udm47532.1.2,p1ulv41554.1.2
1.6277859887769786,Line.l(r:udm57926-udt19555lv),udt19555lv.1.2,udm57926.1.2
1.6277859974122086,Line.l(r:p1ulv60267-udm57926),udm57926.1.2,p1ulv60267.1.2
1.6763057575543687,Line.l(r:udm55707-udt18463lv),udt18463lv.1.2,udm55707.1.2
1.6763059365309745,Line.l(r:p1ulv48264-udm55707),udm55707.1.2,p1ulv48264.1.2
1.7127606458651636,Line.l(r:p1ulv56007-udt20166lv),udt20166lv.1.2,p1ulv56007.1.2
1.7276939372659479,Line.l(r:p1ulv40272-udt15841lv),udt15841lv.1.2,p1ulv40272.1.2
1.7293670169728186,Line.l(r:udm58716-udt19964lv),udt19964lv.1.2,udm58716.1.2
1.7293671090871625,Line.l(r:p1ulv54873-udm58716),udm58716.1.2,p1ulv54873.1.2
2.5153495121615217,Line.l(r:p1ulv56597-udt20276lv),udt20276lv.1.2,p1ulv56597.1.2
2.5356900768763357,Line.l(r:udm58433-udt19808lv),udt19808lv.1.2,udm58433.1.2
2.5356903097791643,Line.l(r:p1ulv58783-udm58433),udm58433.1.2,p1ulv58783.1.2
2.587137155354831,Line.l(r:p1ulv54979-udt19985lv),udt19985lv.1.2,p1ulv54979.1.2
2.616265304460345,Line.l(r:p1ulv54007-udt19774lv),udt19774lv.1.2,p1ulv54007.1.2
