OpenDSS Value (p.u.),Bus
1.05047327986147,p1ulv53124
1.0505603774812955,p1ulv60459
1.0508927546289235,p1ulv53426
1.052333773179306,p1ulv53759
1.0535824370526246,p1ulv53314
1.053676740986898,p1ulv60577
1.055683173637905,p1ulv54136
1.0562408235583316,udm13628
1.057036573959748,udt20264lv
1.0574108086028888,udt18720lv
1.057415061844608,p1ulv37994
1.057828010287554,udt9574lv
1.0578767920249934,p1ulv49469
1.0580662142977593,p1ulv29965
1.0587269066091765,udm42558
1.0589810820623957,p1ulv20875
1.0610170236451288,p1ulv56537
1.062198524346624,udt20212lv
1.0622844968411491,udt17887lv
1.0632098612495762,udm13645
1.0636742754034494,p1ulv56257
1.063692972286026,p1ulv46240
1.0650025022362337,p1ulv52358
1.0660713683827312,p1ulv7648
1.06742145009047,p1ulv54439
1.0772173358849444,p1ulv30328
1.077291434743046,p1ulv56702
1.0779395313689866,p1ulv53362
1.0830668642473038,udm13610
1.0889668664631795,p1ulv28151
1.096988210558065,p1ulv38367
