Loading (p.u.),Name,Bus and Phases,kVA,Number of Phases
1.1978347594522873,Transformer.tr(r:udt7804-udt7804lv),udt7804,150.0,3
1.1980259456260507,Transformer.tr(r:udt14715-udt14715lv),udt14715,150.0,3
1.2335514355368704,Transformer.tr(r:udt9577-udt9577lv),udt9577,150.0,3
1.3072243724030617,Transformer.tr(r:udt2384-udt2384lv),udt2384,150.0,3
1.3083957911674924,Transformer.tr(r:udt9576-udt9576lv),udt9576,150.0,3
1.3142421149926184,Transformer.tr(r:udt13559-udt13559lv),udt13559.2,50.0,1
1.3231595573336465,Transformer.tr(r:udt18720-udt18720lv),udt18720,150.0,3
1.331311150944217,Transformer.tr(r:udt20337-udt20337lv),udt20337.2,50.0,1
1.3398390444532335,Transformer.tr(r:udt13732-udt13732lv),udt13732.2,50.0,1
1.344442764310285,Transformer.tr(r:udt20468-udt20468lv),udt20468.1,50.0,1
1.3481678432527116,Transformer.tr(r:udt13842-udt13842lv),udt13842,150.0,3
1.3496106789267637,Transformer.tr(r:udt2597-udt2597lv),udt2597.2,50.0,1
1.4109272771849881,Transformer.tr(r:udt9574-udt9574lv),udt9574,150.0,3
1.4465981453530123,Transformer.tr(r:udt20264-udt20264lv),udt20264,150.0,3
1.4711868096522176,Transformer.tr(r:udt20714-udt20714lv),udt20714.1,50.0,1
1.5164770693755838,Transformer.tr(r:udt14229-udt14229lv),udt14229,150.0,3
1.5573756588827574,Transformer.tr(r:udt20251-udt20251lv),udt20251,150.0,3
1.5829357442494665,Transformer.tr(r:udt2381-udt2381lv),udt2381,150.0,3
1.5840296450324383,Transformer.tr(r:udt2382-udt2382lv),udt2382,150.0,3
2.016145158732952,Transformer.tr(r:udt5599-udt5599lv),udt5599,100.0,3
2.189404339532264,Transformer.tr(r:udt17887-udt17887lv),udt17887,100.0,3
2.1927193459982983,Transformer.tr(r:udt20212-udt20212lv),udt20212,100.0,3
2.4638978550280592,Transformer.tr(r:udt19261-udt19261lv),udt19261,100.0,3
2.4863283242408443,Transformer.tr(r:udt13284-udt13284lv),udt13284,100.0,3
2.8696474331651456,Transformer.tr(r:udt15001-udt15001lv),udt15001.3,25.0,1
2.88957003617933,Transformer.tr(r:udt19344-udt19344lv),udt19344.1,25.0,1
2.908594531833447,Transformer.tr(r:udt19714-udt19714lv),udt19714.2,25.0,1
2.9730906487113633,Transformer.tr(r:udt12029-udt12029lv),udt12029.1,25.0,1
3.01935726666473,Transformer.tr(r:udt12781-udt12781lv),udt12781.3,25.0,1
3.0236656595234375,Transformer.tr(r:udt14973-udt14973lv),udt14973.1,25.0,1
3.0499768446772175,Transformer.tr(r:udt19596-udt19596lv),udt19596.2,25.0,1
3.1033663915014182,Transformer.tr(r:udt3464-udt3464lv),udt3464.2,50.0,1
3.1165748924295924,Transformer.tr(r:udt12925-udt12925lv),udt12925.1,50.0,1
3.2332616591540466,Transformer.tr(r:udt20798-udt20798lv),udt20798.3,25.0,1
3.352841667858969,Transformer.tr(r:udt19879-udt19879lv),udt19879.1,25.0,1
3.444739779834093,Transformer.tr(r:udt16528-udt16528lv),udt16528.2,25.0,1
3.482753693726029,Transformer.tr(r:udt19801-udt19801lv),udt19801.2,25.0,1
3.5544160730986247,Transformer.tr(r:udt20523-udt20523lv),udt20523.2,25.0,1
3.8629344501222636,Transformer.tr(r:udt3447-udt3447lv),udt3447.1,75.0,1
5.8914315211070925,Transformer.tr(r:udt3459-udt3459lv),udt3459.3,25.0,1
