Loading (p.u.),Name,Bus and Phases,kVA,Number of Phases
1.0881134744992658,Transformer.tr(r:udt17790-udt17790lv),udt17790,75.0,3
1.2465079885872097,Transformer.tr(r:udt8610-udt8610lv),udt8610.2,50.0,1
1.2499484706569373,Transformer.tr(r:udt7055-udt7055lv),udt7055.3,50.0,1
1.254133046834624,Transformer.tr(r:udt4909-udt4909lv),udt4909,100.0,3
1.3449583331204902,Transformer.tr(r:udt11118-udt11118lv),udt11118.2,50.0,1
1.3573454588586937,Transformer.tr(r:udt1802-udt1802lv),udt1802.3,50.0,1
1.3624599380492188,Transformer.tr(r:udt12288-udt12288lv),udt12288.2,50.0,1
1.3821304054096615,Transformer.tr(r:udt4908-udt4908lv),udt4908.1,50.0,1
1.3840511726038731,Transformer.tr(r:udt2596-udt2596lv),udt2596.3,50.0,1
1.395576825584855,Transformer.tr(r:udt2057-udt2057lv),udt2057.3,50.0,1
1.436687497722954,Transformer.tr(r:udt11561-udt11561lv),udt11561.1,50.0,1
1.437127532230482,Transformer.tr(r:udt18688-udt18688lv),udt18688.1,50.0,1
1.4444096058960683,Transformer.tr(r:udt4036-udt4036lv),udt4036.2,50.0,1
1.4626230183122584,Transformer.tr(r:udt19010-udt19010lv),udt19010.3,50.0,1
1.5144565415596827,Transformer.tr(r:udt4899-udt4899lv),udt4899.3,50.0,1
1.5296963097552472,Transformer.tr(r:udt17262-udt17262lv),udt17262.3,50.0,1
1.5358695530414923,Transformer.tr(r:udt13636-udt13636lv),udt13636,150.0,3
1.5487083834865283,Transformer.tr(r:udt6080-udt6080lv),udt6080.2,50.0,1
1.555568778486514,Transformer.tr(r:udt12931-udt12931lv),udt12931.3,50.0,1
1.55762398089723,Transformer.tr(r:udt2932-udt2932lv),udt2932.3,50.0,1
1.5585636926592303,Transformer.tr(r:udt13045-udt13045lv),udt13045.3,50.0,1
1.5785736537013253,Transformer.tr(r:udt4916-udt4916lv),udt4916.2,50.0,1
1.5817592276169543,Transformer.tr(r:udt14441-udt14441lv),udt14441.3,50.0,1
1.59409035236582,Transformer.tr(r:udt11324-udt11324lv),udt11324.2,50.0,1
1.6091879712062627,Transformer.tr(r:udt16031-udt16031lv),udt16031.1,50.0,1
1.744069172694111,Transformer.tr(r:udt7514-udt7514lv),udt7514.3,50.0,1
1.8332534669624159,Transformer.tr(r:udt1466-udt1466lv),udt1466.3,75.0,1
1.848045230165214,Transformer.tr(r:udt1463-udt1463lv),udt1463.3,75.0,1
1.8517779094759645,Transformer.tr(r:udt4027-udt4027lv),udt4027,150.0,3
