Loading (p.u.),Name,Bus1,Bus2
1.005402560737752,Line.l(r:udm32012-udt9043lv),udt9043lv.1.2,udm32012.1.2
1.0093269307422525,Line.padswitch(r:udt19841-udt3672)u_79318,udt19841-udt3672xx.1.2.3,udt3672.1.2.3
1.0099967303518922,Line.l(r:udm49916-udt16250lv),udt16250lv.1.2,udm49916.1.2
1.015518077454551,Line.l(r:udm49995-udt16272lv),udt16272lv.1.2,udm49995.1.2
1.0255976754838245,Line.l(r:p1ulv58778-udt18009lv),udt18009lv.1.2,p1ulv58778.1.2
1.0325142129497036,Line.l(r:udm56745-udt19032lv),udt19032lv.1.2,udm56745.1.2
1.0679745174776822,Line.l(r:udm7071-udt1801lv),udt1801lv.1.2,udm7071.1.2
1.0679745246656114,Line.l(r:p1ulv3813-udm7071),udm7071.1.2,p1ulv3813.1.2
1.1201840067429492,Line.l(r:udm8494-udt2118lv),udt2118lv.1.2,udm8494.1.2
1.1478689320805084,Line.padswitch(r:udt5613-udt5636)u_78994,udt5613-udt5636xx.1.2.3,udt5636.1.2.3
1.151585584829815,Line.l(r:udm14351-udt3688lv),udt3688lv.1.2,udm14351.1.2
1.1515856529356563,Line.l(r:p1ulv8033-udm14351),udm14351.1.2,p1ulv8033.1.2
1.155282054953469,Line.l(r:udm21222-udt5623lv),udt5623lv.1.2,udm21222.1.2
1.1552821218480314,Line.l(r:p1ulv12641-udm21222),udm21222.1.2,p1ulv12641.1.2
1.1717121470661207,Line.l(r:p1ulv58662-udt20575lv),udt20575lv.1.2,p1ulv58662.1.2
1.1747616631289242,Line.l(r:p1ulv19246-udt9044lv),udt9044lv.1.2,p1ulv19246.1.2
1.2036638852389356,Line.l(r:udm36769-udm36772),udm36772.1.2,udm36769.1.2
1.223713325495639,Line.l(r:udm36772-udt10875lv),udt10875lv.1.2,udm36772.1.2
1.2805852557059239,Line.l(r:p1ulv53510-udt19645lv),udt19645lv.1.2,p1ulv53510.1.2
1.2975309008831886,Line.l(r:p1ulv49774-udt18797lv),udt18797lv.1.2,p1ulv49774.1.2
1.2986781306215394,Line.l(r:p1ulv52485-udm56745),udm56745.1.2,p1ulv52485.1.2
1.3388542975605222,Line.l(r:p1ulv45231-udm49993),udm49993.1.2,p1ulv45231.1.2
1.3564036703634874,Line.l(r:udm49092-udt15918lv),udt15918lv.1.2,udm49092.1.2
1.3787587525914513,Line.padswitch(r:udt3672-udt3676)u_79315,udt3672.1.2.3,udt3672-udt3676x.1.2.3
1.478909222975506,Line.l(r:p1ulv56338-udt20226lv),udt20226lv.1.2,p1ulv56338.1.2
1.4881931192196867,Line.l(r:p1ulv39788-udt15497lv),udt15497lv.1.2,p1ulv39788.1.2
1.4914734506661897,Line.l(r:udm49092-udm49094),udm49092.1.2,udm49094.1.2
1.491473529733618,Line.l(r:p1ulv55715-udm49094),udm49094.1.2,p1ulv55715.1.2
1.5030270910380785,Line.l(r:p1ulv48352-udt15497lv),udt15497lv.1.2,p1ulv48352.1.2
1.5067904667889618,Line.l(r:p1ulv58274-udt20521lv),udt20521lv.1.2,p1ulv58274.1.2
1.5068570615158625,Line.l(r:udm57279-udt19269lv),udt19269lv.1.2,udm57279.1.2
1.5068571497190386,Line.l(r:p1ulv56725-udm57279),udm57279.1.2,p1ulv56725.1.2
1.5222569237079184,Line.l(r:udm14336-udt3676lv),udt3676lv.1.2,udm14336.1.2
1.5222569650845783,Line.l(r:p1ulv47007-udm14336),udm14336.1.2,p1ulv47007.1.2
