Loading (p.u.),Name,Bus and Phases,kVA,Number of Phases
1.0131371230166053,Transformer.tr(r:udt19841-udt19841lv),udt19841,75.0,3
1.0303369989466562,Transformer.tr(r:udt15943-udt15943lv),udt15943,75.0,3
1.0474078139620304,Transformer.tr(r:udt16250-udt16250lv),udt16250.2,75.0,1
1.0617739387824752,Transformer.tr(r:udt17218-udt17218lv),udt17218,75.0,3
1.068639461600827,Transformer.tr(r:udt13020-udt13020lv),udt13020,75.0,3
1.1559950948402233,Transformer.tr(r:udt10875-udt10875lv),udt10875.1,75.0,1
1.162924330117413,Transformer.tr(r:udt11955-udt11955lv),udt11955,150.0,3
1.2104270580092311,Transformer.tr(r:udt19152-udt19152lv),udt19152.2,50.0,1
1.2129384518356483,Transformer.tr(r:udt20305-udt20305lv),udt20305,150.0,3
1.2532110130167275,Transformer.tr(r:udt18009-udt18009lv),udt18009.2,50.0,1
1.305607567275914,Transformer.tr(r:udt18105-udt18105lv),udt18105.3,50.0,1
1.3056260214043578,Transformer.tr(r:udt12181-udt12181lv),udt12181.2,50.0,1
1.308275625045199,Transformer.tr(r:udt3672-udt3672lv),udt3672.1,50.0,1
1.3122275965428858,Transformer.tr(r:udt20860-udt20860lv),udt20860.2,50.0,1
1.3418750414487626,Transformer.tr(r:udt19832-udt19832lv),udt19832.3,50.0,1
1.3519495647248327,Transformer.tr(r:udt20515-udt20515lv),udt20515.2,50.0,1
1.3538004976691862,Transformer.tr(r:udt19052-udt19052lv),udt19052.2,50.0,1
1.391759823075257,Transformer.tr(r:udt19030-udt19030lv),udt19030.2,50.0,1
1.396205992158239,Transformer.tr(r:udt9043-udt9043lv),udt9043.3,50.0,1
1.400408769687021,Transformer.tr(r:udt20545-udt20545lv),udt20545.2,50.0,1
1.409976321358738,Transformer.tr(r:udt20063-udt20063lv),udt20063,150.0,3
1.4406507920620286,Transformer.tr(r:udt20300-udt20300lv),udt20300.3,50.0,1
1.4475456298000955,Transformer.tr(r:udt5624-udt5624lv),udt5624.1,50.0,1
1.4616125513742977,Transformer.tr(r:udt12441-udt12441lv),udt12441.2,50.0,1
1.462230261377631,Transformer.tr(r:udt18030-udt18030lv),udt18030,150.0,3
1.479132754898225,Transformer.tr(r:udt17030-udt17030lv),udt17030.3,50.0,1
1.5307763085228114,Transformer.tr(r:udt1801-udt1801lv),udt1801.2,50.0,1
1.540764071955174,Transformer.tr(r:udt16376-udt16376lv),udt16376.1,50.0,1
1.5510850134326253,Transformer.tr(r:udt20509-udt20509lv),udt20509,150.0,3
1.554899683166896,Transformer.tr(r:udt15918-udt15918lv),udt15918.1,50.0,1
1.5770396388148311,Transformer.tr(r:udt2118-udt2118lv),udt2118.1,50.0,1
1.581139926060825,Transformer.tr(r:udt19032-udt19032lv),udt19032.3,50.0,1
1.5944111125496203,Transformer.tr(r:udt15741-udt15741lv),udt15741.3,50.0,1
1.5991645872983407,Transformer.tr(r:udt15608-udt15608lv),udt15608.2,50.0,1
1.6044614848105083,Transformer.tr(r:udt3688-udt3688lv),udt3688.2,50.0,1
1.6176200350233254,Transformer.tr(r:udt19067-udt19067lv),udt19067.1,50.0,1
1.6400360455875014,Transformer.tr(r:udt17589-udt17589lv),udt17589.3,50.0,1
1.6803680525886193,Transformer.tr(r:udt19909-udt19909lv),udt19909.1,50.0,1
1.6889343467198223,Transformer.tr(r:udt20575-udt20575lv),udt20575.3,50.0,1
1.6953708879277054,Transformer.tr(r:udt9044-udt9044lv),udt9044.3,50.0,1
2.1359478601279163,Transformer.tr(r:udt15566-udt15566lv),udt15566,100.0,3
2.159318116601024,Transformer.tr(r:udt20780-udt20780lv),udt20780,100.0,3
2.475038528104147,Transformer.tr(r:udt18089-udt18089lv),udt18089,100.0,3
2.5031262419228817,Transformer.tr(r:udt18736-udt18736lv),udt18736,100.0,3
2.7447661445465834,Transformer.tr(r:udt15497-udt15497lv),udt15497.3,50.0,1
2.7487790359682482,Transformer.tr(r:udt5628-udt5628lv),udt5628.1,50.0,1
2.8204436179190857,Transformer.tr(r:udt3676-udt3676lv),udt3676.3,25.0,1
2.826352249815942,Transformer.tr(r:udt20770-udt20770lv),udt20770.3,25.0,1
2.827648862864082,Transformer.tr(r:udt18097-udt18097lv),udt18097.3,25.0,1
2.833942577573566,Transformer.tr(r:udt19820-udt19820lv),udt19820.1,25.0,1
2.8407895851366334,Transformer.tr(r:udt20841-udt20841lv),udt20841.1,25.0,1
2.844913505257113,Transformer.tr(r:udt20879-udt20879lv),udt20879.1,25.0,1
2.858802667924818,Transformer.tr(r:udt19645-udt19645lv),udt19645.1,25.0,1
2.876933147154809,Transformer.tr(r:udt5622-udt5622lv),udt5622.3,25.0,1
2.896659877881616,Transformer.tr(r:udt18797-udt18797lv),udt18797.1,25.0,1
2.901900278021115,Transformer.tr(r:udt17476-udt17476lv),udt17476.3,25.0,1
2.904670063817497,Transformer.tr(r:udt20226-udt20226lv),udt20226.3,25.0,1
2.9279785059726464,Transformer.tr(r:udt18575-udt18575lv),udt18575.3,50.0,1
2.9602371949771573,Transformer.tr(r:udt20521-udt20521lv),udt20521.3,25.0,1
2.981321328172999,Transformer.tr(r:udt19460-udt19460lv),udt19460.1,50.0,1
2.983145509646064,Transformer.tr(r:udt19890-udt19890lv),udt19890.1,25.0,1
2.9855916254599215,Transformer.tr(r:udt17592-udt17592lv),udt17592.2,25.0,1
2.9868037980080477,Transformer.tr(r:udt20464-udt20464lv),udt20464.2,25.0,1
2.99075919664255,Transformer.tr(r:udt19532-udt19532lv),udt19532.3,25.0,1
3.020822950015605,Transformer.tr(r:udt19254-udt19254lv),udt19254.2,25.0,1
3.020980855551359,Transformer.tr(r:udt18828-udt18828lv),udt18828.1,25.0,1
3.0381142155090375,Transformer.tr(r:udt18444-udt18444lv),udt18444.1,25.0,1
3.0961708464231954,Transformer.tr(r:udt657-udt657lv),udt657.1,25.0,1
3.0964937647681636,Transformer.tr(r:udt15938-udt15938lv),udt15938.2,50.0,1
3.097501721759945,Transformer.tr(r:udt9042-udt9042lv),udt9042.1,25.0,1
3.146234974638934,Transformer.tr(r:udt16600-udt16600lv),udt16600.3,25.0,1
3.1574127449497142,Transformer.tr(r:udt5623-udt5623lv),udt5623.1,50.0,1
3.160305069817428,Transformer.tr(r:udt20848-udt20848lv),udt20848.2,25.0,1
3.163955699526635,Transformer.tr(r:udt3677-udt3677lv),udt3677,75.0,3
3.167241732200123,Transformer.tr(r:udt19096-udt19096lv),udt19096.1,25.0,1
3.19941401603329,Transformer.tr(r:udt15624-udt15624lv),udt15624.1,25.0,1
3.2054767977837213,Transformer.tr(r:udt20010-udt20010lv),udt20010.3,25.0,1
3.2262556027601086,Transformer.tr(r:udt20261-udt20261lv),udt20261.1,25.0,1
3.2434644722680126,Transformer.tr(r:udt19590-udt19590lv),udt19590.3,25.0,1
3.2620714310386476,Transformer.tr(r:udt20672-udt20672lv),udt20672.2,25.0,1
3.2908886724217927,Transformer.tr(r:udt5615-udt5615lv),udt5615.3,25.0,1
3.3003863580999746,Transformer.tr(r:udt17995-udt17995lv),udt17995.3,25.0,1
3.39165505807142,Transformer.tr(r:udt4087-udt4087lv),udt4087.3,25.0,1
3.3976883741881654,Transformer.tr(r:udt19716-udt19716lv),udt19716.3,25.0,1
3.413380201688438,Transformer.tr(r:udt12144-udt12144lv),udt12144.2,25.0,1
3.4142672716671347,Transformer.tr(r:udt789-udt789lv),udt789.3,25.0,1
3.4195694480136862,Transformer.tr(r:udt15381-udt15381lv),udt15381.1,25.0,1
3.4341360486313306,Transformer.tr(r:udt20703-udt20703lv),udt20703.1,25.0,1
3.460180341150706,Transformer.tr(r:udt20243-udt20243lv),udt20243.1,25.0,1
3.5222444340315766,Transformer.tr(r:udt20532-udt20532lv),udt20532.3,25.0,1
3.528218908695797,Transformer.tr(r:udt20299-udt20299lv),udt20299.3,25.0,1
3.538207354332375,Transformer.tr(r:udt15470-udt15470lv),udt15470.3,25.0,1
3.542086403283128,Transformer.tr(r:udt18815-udt18815lv),udt18815.1,25.0,1
3.5663930802447306,Transformer.tr(r:udt16009-udt16009lv),udt16009.2,25.0,1
3.8673677484302704,Transformer.tr(r:udt5618-udt5618lv),udt5618.3,75.0,1
4.002688851767246,Transformer.tr(r:udt622-udt622lv),udt622.2,75.0,1
