Loading (p.u.),Name,Bus1,Bus2
1.4777386705068447,Line.l(r:udm57296-udt19275lv),udt19275lv.1.2,udm57296.1.2
1.4777388820354713,Line.l(r:p1ulv53280-udm57296),udm57296.1.2,p1ulv53280.1.2
2.637317074194124,Line.l(r:p1ulv43343-udt17019lv),udt17019lv.1.2,p1ulv43343.1.2
2.7436169659188003,Line.l(r:p1ulv53984-udt16913lv),udt16913lv.1.2,p1ulv53984.1.2
2.748478251972213,Line.l(r:p1ulv49635-udt16913lv),udt16913lv.1.2,p1ulv49635.1.2
2.981182661582231,Line.l(r:p1ulv43109-udt16913lv),udt16913lv.1.2,p1ulv43109.1.2
