OpenDSS Value (p.u.),Bus
1.0507121675750595,p1ulv30724
1.0510517847411034,p1ulv37815
1.0515113126153806,udt10938lv
1.0518591494340068,udt5221lv
1.0527492100620746,p1ulv33773
1.0533707024254584,p1ulv11423
1.0541364363010377,p1ulv26171
1.0542291628426639,p1ulv10232
1.0598020901212144,p1ulv31420
1.0622113171834011,p1ulv10239
1.0674007543554633,p1ulv10224
1.0685858270960487,p1ulv32134
1.0688610669124015,udm18020
1.0688916535175252,p1ulv26379
1.0700186354532821,p1ulv45872
1.0702875341475357,p1ulv10235
1.0730757888950946,p1ulv10234
1.0735997610129018,p1ulv10236
1.0757407909595218,p1ulv10242
1.0764152554979476,p1ulv10240
1.0768379715870313,p1ulv10221
1.0781506596176835,p1ulv10220
1.0806615980281435,p1ulv10241
1.0872578782434088,p1ulv10229
1.0872778584252654,p1ulv11426
1.09007646245407,p1ulv10226
1.095162263523289,p1ulv11425
1.0956317781662663,p1ulv27824
1.1066557416109843,p1ulv27244
1.1075903475090232,p1ulv10243
