Time,LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,1.576457E+04,1.554102E+03,5.519842E-01,1.524121E-01
02:00:00,1.584718E+04,9.481326E+02,5.548754E-01,9.298679E-02
03:00:00,1.588411E+04,5.792967E+02,5.561675E-01,5.681348E-02
04:00:00,1.590442E+04,3.198956E+02,5.568783E-01,3.137290E-02
05:00:00,1.588570E+04,2.729303E+02,5.562225E-01,2.676665E-02
06:00:00,1.578643E+04,6.639161E+02,5.527469E-01,6.511453E-02
07:00:00,1.568816E+04,1.190391E+03,5.493068E-01,1.167512E-01
08:00:00,1.566123E+04,1.786937E+03,5.483646E-01,1.752538E-01
09:00:00,1.585115E+04,2.239360E+03,5.550154E-01,2.196239E-01
10:00:00,1.596540E+04,2.729472E+03,5.590145E-01,2.676879E-01
11:00:00,1.598720E+04,3.147756E+03,5.597742E-01,3.087125E-01
12:00:00,1.599470E+04,3.426761E+03,5.600326E-01,3.360780E-01
13:00:00,1.599988E+04,3.820781E+03,5.602118E-01,3.747266E-01
14:00:00,1.599984E+04,4.350358E+03,5.602103E-01,4.266758E-01
15:00:00,1.599547E+04,4.766259E+03,5.600577E-01,4.674656E-01
16:00:00,1.595321E+04,4.946205E+03,5.585782E-01,4.851107E-01
17:00:00,1.579055E+04,4.997128E+03,5.528831E-01,4.900862E-01
18:00:00,1.552816E+04,1.467676E+03,5.436971E-01,1.204711E-01
19:00:00,1.527744E+04,2.169786E+03,5.349221E-01,1.774159E-01
20:00:00,1.519234E+04,2.261863E+03,5.319489E-01,1.848535E-01
21:00:00,1.516092E+04,1.988447E+03,5.308540E-01,1.625096E-01
22:00:00,1.520827E+04,1.653374E+03,5.325129E-01,1.351257E-01
23:00:00,1.539938E+04,4.279036E+03,5.392019E-01,3.913187E-01
24:00:00,1.560089E+04,2.813023E+03,5.462550E-01,2.754155E-01
Peak,1.599988E+04,4.997128E+03,5.602118E-01,4.900862E-01

Peak Vol Flow (m3/s),,,4.702464E-01,4.113824E-01
