Date/Time,Electricity:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,27076194.63879378,2423710.5078233546,83652.61855354601,29359.646160636934,262245.8146182114,9989.88619413263,0.0,22991278.47360248,0.0 
 01/12  02:00:00,29351415.956081316,2204854.2592960866,83652.61855354601,13044.481225768317,256573.49569035263,7989.769793380162,0.0,25485356.039417285,0.0 
 01/12  03:00:00,30177148.129350394,2130968.725358217,83652.61855354601,9773.797516668043,250967.13395932948,3989.536991875235,0.0,26384973.74662423,0.0 
 01/12  04:00:00,32615517.514596693,2076109.0398318248,83652.61855354601,6522.2406128841585,243513.97071691064,3989.536991875235,0.0,28878202.817396928,0.0 
 01/12  05:00:00,34003452.33573942,2048824.1082936786,250957.855660638,6522.2406128841585,239754.41049728324,7989.769793380162,0.0,30122571.674614407,0.0 
 01/12  06:00:00,34228178.25323866,2304415.351728236,522828.86595966254,19566.721838652476,239754.41049728324,11990.002594885089,0.0,29814073.643551078,0.0 
 01/12  07:00:00,38962100.345949806,2820625.9585106582,585568.329874822,39152.57048262144,249120.3324479338,23980.005189770178,0.0,32453257.754449032,0.0 
 01/12  08:00:00,40151520.97472433,3274713.361686757,522828.86595966254,58738.41912658998,262245.8146182114,51970.93899067497,0.0,33226418.833861046,0.0 
 01/12  09:00:00,36566674.72886151,3173562.028195702,230044.7010222515,110973.72444561248,267852.1763492346,77961.75639082717,0.0,30890740.801790766,0.0 
 01/12  10:00:00,37157215.09666349,3108320.649174777,156848.65978789877,124018.20567138083,271611.73656886193,91962.57119609449,0.0,31638851.839719933,0.0 
 01/12  11:00:00,38721868.306938395,3180213.4409553325,156848.65978789877,107703.04073651227,262245.8146182114,89962.45479534201,0.0,32283747.508715574,0.0 
 01/12  12:00:00,38092128.37845797,3226508.9837262738,156848.65978789877,91387.87580164369,262245.8146182114,79961.87279157966,0.0,31877946.242476836,0.0 
 01/12  13:00:00,33942024.690956056,3164107.770883791,156848.65978789877,78324.26777055899,275305.33959165344,71961.40718856991,0.0,29197636.854632445,0.0 
 01/12  14:00:00,33938640.83863967,3097944.404906937,156848.65978789877,88117.19209254326,275305.33959165344,63971.63739518969,0.0,29260416.368292917,0.0 
 01/12  15:00:00,37943860.786035225,3092850.3958465457,156848.65978789877,71802.02715767492,271611.73656886193,55971.17179217984,0.0,31615747.374491043,0.0 
 01/12  16:00:00,36648164.28099148,3238555.609166743,271871.0102990245,68531.3434485745,275305.33959165344,51970.93899067497,0.0,30469719.978255033,0.0 
 01/12  17:00:00,34805994.908551306,3809769.245643656,585568.329874822,71802.02715767492,290343.58047016273,53971.055391427355,0.0,28978140.177842885,0.0 
 01/12  18:00:00,35836131.72181617,4691880.402814431,815613.0308970734,94639.43270542756,318441.34632211406,51970.93899067497,0.0,28479326.727951244,0.0 
 01/12  19:00:00,38781008.50532483,4790626.610930283,1097940.6185152913,166460.58666841884,327807.2682727643,51970.93899067497,0.0,29625912.43609665,0.0 
 01/12  20:00:00,39147347.24549709,4580943.455324915,1216765.360778851,212154.52456924066,318441.34632211406,51970.93899067497,0.0,30142237.467290625,0.0 
 01/12  21:00:00,35128203.29624253,4508531.5501760645,1216765.360778851,172982.8272813029,309075.4243714635,51970.93899067497,0.0,27801339.569423717,0.0 
 01/12  22:00:00,38226476.808439,4334308.999572631,920178.804089006,127288.88938048104,303403.1054436047,49970.82258992248,0.0,30829493.09811505,0.0 
 01/12  23:00:00,41961256.33851391,3677044.413760686,512372.28864046925,84846.50838344306,290343.58047016273,33980.58719353241,0.0,34515137.03982395,0.0 
 01/12  24:00:00,40154126.114997506,3037549.134809546,209131.546383865,58738.41912658998,271611.73656886193,17990.35179714245,0.0,34626485.40256698,0.0 
