Date/Time,Electricity:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,101265965.13998705,25836502.599204574,913962.7514959001,438473.423252895,4720424.663127804,149180.07309967247,0.0,64141227.32024363,0.0 
 01/12  02:00:00,110449365.99537702,23433657.347876005,913962.7514959001,194813.59912604262,4618322.922426349,119312.11413860306,0.0,75235017.49726896,0.0 
 01/12  03:00:00,114687954.1968457,22429740.698760387,913962.7514959001,145967.37412523094,4517408.4112679325,59576.19621646439,0.0,80253111.03880058,0.0 
 01/12  04:00:00,120597637.00456369,21729431.235979646,913962.7514959001,97406.7995630209,4383251.47290439,59576.19621646439,0.0,86581524.16285577,0.0 
 01/12  05:00:00,125300072.30189064,21691689.615990315,2741888.254487699,97406.7995630209,4315579.388951098,119312.11413860306,0.0,89369047.93521926,0.0 
 01/12  06:00:00,129470540.03150758,24393151.97135015,5712267.196849375,292220.39868906356,4315579.388951098,179048.03206074148,0.0,87931253.1313695,0.0 
 01/12  07:00:00,210866986.5941901,30469896.092068538,6397739.2604713,584726.447816728,4484165.9840628095,358096.06412148295,0.0,134509939.40780693,0.0 
 01/12  08:00:00,169732196.859119,36530096.29223999,5712267.196849375,877232.4969443938,4720424.663127804,776087.7678707795,0.0,106712905.06981063,0.0 
 01/12  09:00:00,131499031.98752053,37091361.89418331,2513397.5666137254,1657343.844764368,4821339.174286224,1164211.5126590051,0.0,85109185.00320074,0.0 
 01/12  10:00:00,217893310.96658498,37806136.01356445,1713680.159054812,1852157.4438904074,4889011.258239515,1373287.2253864906,0.0,139052602.5810095,0.0 
 01/12  11:00:00,204257302.38143578,38631885.27524645,1713680.159054812,1608497.6197635545,4720424.663127804,1343419.2664254215,0.0,127739918.12206098,0.0 
 01/12  12:00:00,132085920.78131996,39324937.046586715,1713680.159054812,1364837.795636699,4720424.663127804,1194079.4716200747,0.0,84306773.79164281,0.0 
 01/12  13:00:00,131057128.9383011,38594952.87661496,1713680.159054812,1169738.5460720598,4955496.112649762,1074607.6357757982,0.0,84021565.93561229,0.0 
 01/12  14:00:00,212841945.57026157,37267631.61147033,1713680.159054812,1315991.5706358887,4955496.112649762,955295.5216371961,0.0,134668034.34274882,0.0 
 01/12  15:00:00,147530270.18998894,36617461.96882949,1713680.159054812,1072331.7465090365,4889011.258239515,835823.6857929175,0.0,94620157.06084554,0.0 
 01/12  16:00:00,132126142.23936364,38225869.85629992,2970378.9423616747,1023485.5215082268,4955496.112649762,776087.7678707795,0.0,84194657.44148402,0.0 
 01/12  17:00:00,142937035.71739292,44795449.52530815,6397739.2604713,1072331.7465090365,5226184.44846293,805955.7268318479,0.0,84972449.60575725,0.0 
 01/12  18:00:00,229374341.51537785,55269617.26711448,8911136.827085022,1413398.3701989125,5731944.233798051,776087.7678707795,0.0,126453678.69247562,0.0 
 01/12  19:00:00,205877297.9779106,55399498.511634886,11995761.113383692,2486015.7671465483,5900530.828909755,776087.7678707795,0.0,104116369.66620061,0.0 
 01/12  20:00:00,148182787.3877042,51663709.24382042,13294003.658122186,3168434.664964901,5731944.233798051,776087.7678707795,0.0,72486268.41130681,0.0 
 01/12  21:00:00,145450151.2538666,49934365.634654075,13294003.658122186,2583422.566709569,5563357.63868634,776087.7678707795,0.0,71524632.70888077,0.0 
 01/12  22:00:00,227617515.6499807,47741914.334141746,10053590.266454902,1901003.6688912208,5461255.897984883,746219.8089097101,0.0,126571319.4194884,0.0 
 01/12  23:00:00,175787457.22106493,40294035.26445979,5598021.852912389,1267145.345635079,5226184.44846293,507435.85892682965,0.0,102636757.44203822,0.0 
 01/12  24:00:00,132343599.16571939,32708042.448952936,2284906.8787397505,877232.4969443938,4889011.258239515,268651.90894395043,0.0,86002975.79182987,0.0 
