Date/Time,Electricity:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,140587203.6604879,25836502.599204574,913962.7514959001,438473.423252895,4720424.663127804,149180.07309967247,0.0,97135837.1426135,0.0 
 01/12  02:00:00,138208648.68449798,23433657.347876005,913962.7514959001,194813.59912604262,4618322.922426349,119312.11413860306,0.0,96062076.54598919,0.0 
 01/12  03:00:00,139943516.28788385,22429740.698760387,913962.7514959001,145967.37412523094,4517408.4112679325,59576.19621646439,0.0,98306977.12682733,0.0 
 01/12  04:00:00,147270208.00765657,21729431.235979646,913962.7514959001,97406.7995630209,4383251.47290439,59576.19621646439,0.0,105819300.71016923,0.0 
 01/12  05:00:00,153623098.76703075,21691689.615990315,2741888.254487699,97406.7995630209,4315579.388951098,119312.11413860306,0.0,110187919.88877556,0.0 
 01/12  06:00:00,161425751.0662911,24393151.97135015,5712267.196849375,292220.39868906356,4315579.388951098,179048.03206074148,0.0,112316950.06911325,0.0 
 01/12  07:00:00,239614981.65528,30469896.092068538,6397739.2604713,584726.447816728,4484165.9840628095,358096.06412148295,0.0,157152666.7815111,0.0 
 01/12  08:00:00,201990746.10794598,36530096.29223999,5712267.196849375,877232.4969443938,4720424.663127804,776087.7678707795,0.0,132058105.95039442,0.0 
 01/12  09:00:00,168839045.98856574,37091361.89418331,2513397.5666137254,1657343.844764368,4821339.174286224,1164211.5126590051,0.0,114723634.8166887,0.0 
 01/12  10:00:00,253798330.94359183,37806136.01356445,1713680.159054812,1852157.4438904074,4889011.258239515,1373287.2253864906,0.0,169045728.4378994,0.0 
 01/12  11:00:00,238461144.4257605,38631885.27524645,1713680.159054812,1608497.6197635545,4720424.663127804,1343419.2664254215,0.0,155714869.78490657,0.0 
 01/12  12:00:00,171697070.94440913,39324937.046586715,1713680.159054812,1364837.795636699,4720424.663127804,1194079.4716200747,0.0,116066750.12192056,0.0 
 01/12  13:00:00,170384297.0888933,38594952.87661496,1713680.159054812,1169738.5460720598,4955496.112649762,1074607.6357757982,0.0,115518911.68637118,0.0 
 01/12  14:00:00,245535612.9127242,37267631.61147033,1713680.159054812,1315991.5706358887,4955496.112649762,955295.5216371961,0.0,161196685.792744,0.0 
 01/12  15:00:00,196205615.66643158,36617461.96882949,1713680.159054812,1072331.7465090365,4889011.258239515,835823.6857929175,0.0,128800008.58973244,0.0 
 01/12  16:00:00,165452116.2218188,38225869.85629992,2970378.9423616747,1023485.5215082268,4955496.112649762,776087.7678707795,0.0,109842871.97634444,0.0 
 01/12  17:00:00,177508370.12287623,44795449.52530815,6397739.2604713,1072331.7465090365,5226184.44846293,805955.7268318479,0.0,111888836.02277671,0.0 
 01/12  18:00:00,258321343.6371658,55269617.26711448,8911136.827085022,1413398.3701989125,5731944.233798051,776087.7678707795,0.0,148661765.81412306,0.0 
 01/12  19:00:00,219707041.54199648,55399498.511634886,11995761.113383692,2486015.7671465483,5900530.828909755,776087.7678707795,0.0,116351328.6331777,0.0 
 01/12  20:00:00,181789600.19115412,51663709.24382042,13294003.658122186,3168434.664964901,5731944.233798051,776087.7678707795,0.0,98561193.20801984,0.0 
 01/12  21:00:00,182985449.00240183,49934365.634654075,13294003.658122186,2583422.566709569,5563357.63868634,776087.7678707795,0.0,101391969.48894818,0.0 
 01/12  22:00:00,260120117.11612418,47741914.334141746,10053590.266454902,1901003.6688912208,5461255.897984883,746219.8089097101,0.0,152600300.01995108,0.0 
 01/12  23:00:00,219169816.63738495,40294035.26445979,5598021.852912389,1267145.345635079,5226184.44846293,507435.85892682965,0.0,138888158.7323839,0.0 
 01/12  24:00:00,185654246.1277038,32708042.448952936,2284906.8787397505,877232.4969443938,4889011.258239515,268651.90894395043,0.0,131282900.76916414,0.0 
