Time,LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,1.409528E+04,1.242669E+03,4.934607E-01,1.218739E-01
02:00:00,1.416177E+04,7.822465E+02,4.957866E-01,7.672144E-02
03:00:00,1.419242E+04,4.874947E+02,4.968582E-01,4.781266E-02
04:00:00,1.420993E+04,2.893341E+02,4.974705E-01,2.837720E-02
05:00:00,1.420125E+04,2.743058E+02,4.971662E-01,2.690290E-02
06:00:00,1.413599E+04,7.464851E+02,4.948819E-01,7.322237E-02
07:00:00,1.406261E+04,1.448303E+03,4.923138E-01,1.420691E-01
08:00:00,1.404350E+04,2.091071E+03,4.916456E-01,2.050990E-01
09:00:00,1.420096E+04,2.621034E+03,4.971594E-01,2.570696E-01
10:00:00,1.428917E+04,3.135903E+03,5.002463E-01,3.075552E-01
11:00:00,1.430507E+04,3.506461E+03,5.007969E-01,3.438991E-01
12:00:00,1.431096E+04,3.698963E+03,5.009979E-01,3.627819E-01
13:00:00,1.431494E+04,4.038386E+03,5.011348E-01,3.960783E-01
14:00:00,1.431545E+04,4.550723E+03,5.011526E-01,4.463402E-01
15:00:00,1.431265E+04,4.943112E+03,5.010551E-01,4.848273E-01
16:00:00,1.428276E+04,5.068321E+03,5.000085E-01,4.971061E-01
17:00:00,1.416211E+04,5.026883E+03,4.957847E-01,4.930229E-01
18:00:00,1.395220E+04,2.369975E+03,4.884380E-01,1.955128E-01
19:00:00,1.374791E+04,2.647028E+03,4.812914E-01,2.164590E-01
20:00:00,1.369047E+04,2.177037E+03,4.792898E-01,1.779288E-01
21:00:00,1.366932E+04,1.779119E+03,4.785564E-01,1.454083E-01
22:00:00,1.369377E+04,1.433839E+03,4.794123E-01,1.171892E-01
23:00:00,1.382748E+04,3.051426E+03,4.840899E-01,2.820349E-01
24:00:00,1.397199E+04,2.123689E+03,4.891467E-01,2.079184E-01
Peak,1.431545E+04,5.068321E+03,5.011526E-01,4.971061E-01

Peak Vol Flow (m3/s),,,4.206717E-01,4.172750E-01
