Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),LIVING_UNIT1:Zone Mean Air Temperature [C](TimeStep),Electricity:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,-2.0,-2.000002335045541,-2.000002335045541,22.0000643123194,14258370.050668713,2423710.5078233546,83652.61855354601,29359.646160636934,262245.8146182114,9989.88619413263,0.0,10418357.12802653,0.0 
 01/12  02:00:00,-4.2,-4.2,-4.2,21.999989498904927,17582269.07023952,2204854.2592960866,83652.61855354601,13044.481225768317,256573.49569035263,7989.769793380162,0.0,13961112.39612461,0.0 
 01/12  03:00:00,-5.9,-6.198630539634405,-6.198630539634405,21.99960281338623,18300429.881852873,2130968.725358217,83652.61855354601,9773.797516668043,250967.13395932948,3989.536991875235,0.0,14753158.741675828,0.0 
 01/12  04:00:00,-7.2,-7.555630191230219,-7.555630191230219,21.999600538895294,20187022.639768727,2076109.0398318248,83652.61855354601,6522.2406128841585,243513.97071691064,3989.536991875235,0.0,16694611.185118074,0.0 
 01/12  05:00:00,-8.0,-8.48978480259312,-8.48978480259312,21.999455350187965,21134413.80757819,2048824.1082936786,250957.855660638,6522.2406128841585,239754.41049728324,7989.769793380162,0.0,17498436.389002293,0.0 
 01/12  06:00:00,-8.3,-8.6320544214861,-8.6320544214861,21.99908890107615,20998634.588726148,2304415.351728236,522828.86595966254,19566.721838652476,239754.41049728324,11990.002594885089,0.0,16829433.221587677,0.0 
 01/12  07:00:00,-8.5,-8.82783271692919,-8.82783271692919,21.99960232732454,25641184.211888615,2820625.9585106582,585568.329874822,39152.57048262144,249120.3324479338,23980.005189770178,0.0,19373744.73516647,0.0 
 01/12  08:00:00,-8.8,-9.12154745585115,-9.12154745585115,21.99961943154018,26708480.69010497,3274713.361686757,522828.86595966254,58738.41912658998,262245.8146182114,51970.93899067497,0.0,20024266.763117496,0.0 
 01/12  09:00:00,-9.5,-9.84154915451958,-9.84154915451958,21.99966470320348,23234687.733892485,3173562.028195702,230044.7010222515,110973.72444561248,267852.1763492346,77961.75639082717,0.0,17824579.28149876,0.0 
 01/12  10:00:00,-10.3,-10.851947589119767,-10.851947589119767,21.99962888529018,23362029.458679073,3108320.649174777,156848.65978789877,124018.20567138083,271611.73656886193,91962.57119609449,0.0,18087320.93626316,0.0 
 01/12  11:00:00,-10.7,-11.683582416890017,-11.683582416890017,21.99956693068732,24974381.07739281,3180213.4409553325,156848.65978789877,107703.04073651227,262245.8146182114,89962.45479534201,0.0,18778649.20121661,0.0 
 01/12  12:00:00,-10.8,-11.743740311828423,-11.743740311828423,21.999791456055142,22863670.97062077,3226508.9837262738,156848.65978789877,91387.87580164369,262245.8146182114,79961.87279157966,0.0,17320747.967338294,0.0 
