Date/Time,Electricity:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,81551485.91251889,25836502.599204574,913962.7514959001,438473.423252895,4720424.663127804,149180.07309967247,0.0,41699708.15979846,0.0 
 01/12  02:00:00,83979703.10793628,23433657.347876005,913962.7514959001,194813.59912604262,4618322.922426349,119312.11413860306,0.0,45300733.12583781,0.0 
 01/12  03:00:00,83856013.9993599,22429740.698760387,913962.7514959001,145967.37412523094,4517408.4112679325,59576.19621646439,0.0,45550947.711056344,0.0 
 01/12  04:00:00,87371897.36370434,21729431.235979646,913962.7514959001,97406.7995630209,4383251.47290439,59576.19621646439,0.0,49185843.102603346,0.0 
 01/12  05:00:00,90980345.02871007,21691689.615990315,2741888.254487699,97406.7995630209,4315579.388951098,119312.11413860306,0.0,50768953.04602067,0.0 
 01/12  06:00:00,96884111.58805166,24393151.97135015,5712267.196849375,292220.39868906356,4315579.388951098,179048.03206074148,0.0,50998809.470639125,0.0 
 01/12  07:00:00,173719347.14883864,30469896.092068538,6397739.2604713,584726.447816728,4484165.9840628095,358096.06412148295,0.0,94411348.38332704,0.0 
 01/12  08:00:00,135711837.62365976,36530096.29223999,5712267.196849375,877232.4969443938,4720424.663127804,776087.7678707795,0.0,68834927.34856524,0.0 
 01/12  09:00:00,101067647.21407415,37091361.89418331,2513397.5666137254,1657343.844764368,4821339.174286224,1164211.5126590051,0.0,50170489.96899818,0.0 
 01/12  10:00:00,183403212.7336399,37806136.01356445,1713680.159054812,1852157.4438904074,4889011.258239515,1373287.2253864906,0.0,101804924.85762365,0.0 
 01/12  11:00:00,167415207.30696237,38631885.27524645,1713680.159054812,1608497.6197635545,4720424.663127804,1343419.2664254215,0.0,87707114.04588096,0.0 
 01/12  12:00:00,99838559.8310256,39324937.046586715,1713680.159054812,1364837.795636699,4720424.663127804,1194079.4716200747,0.0,47426707.454235464,0.0 
 01/12  13:00:00,98694066.24650164,38594952.87661496,1713680.159054812,1169738.5460720598,4955496.112649762,1074607.6357757982,0.0,47047447.16753975,0.0 
 01/12  14:00:00,174292942.27253306,37267631.61147033,1713680.159054812,1315991.5706358887,4955496.112649762,955295.5216371961,0.0,93118149.74854493,0.0 
 01/12  15:00:00,111272859.03062995,36617461.96882949,1713680.159054812,1072331.7465090365,4889011.258239515,835823.6857929175,0.0,54310653.65781301,0.0 
 01/12  16:00:00,97676836.56174117,38225869.85629992,2970378.9423616747,1023485.5215082268,4955496.112649762,776087.7678707795,0.0,45324900.41581655,0.0 
 01/12  17:00:00,109986557.19186653,44795449.52530815,6397739.2604713,1072331.7465090365,5226184.44846293,805955.7268318479,0.0,47606588.15907895,0.0 
 01/12  18:00:00,191694252.52634913,55269617.26711448,8911136.827085022,1413398.3701989125,5731944.233798051,776087.7678707795,0.0,85431833.64627181,0.0 
 01/12  19:00:00,166285357.1397424,55399498.511634886,11995761.113383692,2486015.7671465483,5900530.828909755,776087.7678707795,0.0,60447679.88936265,0.0 
 01/12  20:00:00,116987486.02397645,51663709.24382042,13294003.658122186,3168434.664964901,5731944.233798051,776087.7678707795,0.0,37132940.03850591,0.0 
 01/12  21:00:00,115869136.28788473,49934365.634654075,13294003.658122186,2583422.566709569,5563357.63868634,776087.7678707795,0.0,37649613.48848,0.0 
 01/12  22:00:00,188993194.22010767,47741914.334141746,10053590.266454902,1901003.6688912208,5461255.897984883,746219.8089097101,0.0,84624455.6559373,0.0 
 01/12  23:00:00,143814432.31183422,40294035.26445979,5598021.852912389,1267145.345635079,5226184.44846293,507435.85892682965,0.0,66551963.16192788,0.0 
 01/12  24:00:00,104925480.72009365,32708042.448952936,2284906.8787397505,877232.4969443938,4889011.258239515,268651.90894395043,0.0,53739400.86171073,0.0 
