Time,LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,8.961557E+03,1.751874E+03,3.137257E-01,1.718130E-01
02:00:00,9.049073E+03,1.269292E+03,3.167882E-01,1.244925E-01
03:00:00,9.096529E+03,9.469761E+02,3.184488E-01,9.288101E-02
04:00:00,9.126337E+03,7.101194E+02,3.194921E-01,6.965015E-02
05:00:00,9.124377E+03,7.133387E+02,3.194236E-01,6.996535E-02
06:00:00,9.060177E+03,1.320687E+03,3.171766E-01,1.295507E-01
07:00:00,8.970362E+03,2.048721E+03,3.140333E-01,2.009620E-01
08:00:00,8.923241E+03,2.629407E+03,3.123847E-01,2.578940E-01
09:00:00,9.064489E+03,3.002086E+03,3.173302E-01,2.944361E-01
10:00:00,9.143609E+03,3.313420E+03,3.200977E-01,3.249624E-01
11:00:00,9.156508E+03,3.476288E+03,3.205448E-01,3.409373E-01
12:00:00,9.158559E+03,3.495625E+03,3.206130E-01,3.428371E-01
13:00:00,9.158269E+03,3.697733E+03,3.206015E-01,3.626659E-01
14:00:00,9.160123E+03,4.100374E+03,3.206665E-01,4.021679E-01
15:00:00,9.158642E+03,4.446110E+03,3.206148E-01,4.360807E-01
16:00:00,9.122156E+03,4.621276E+03,3.193375E-01,4.532611E-01
17:00:00,8.969615E+03,4.711453E+03,3.139978E-01,4.620871E-01
18:00:00,8.692514E+03,2.287290E+03,3.042992E-01,1.887433E-01
19:00:00,8.467631E+03,2.701241E+03,2.964304E-01,2.208982E-01
20:00:00,8.436777E+03,2.383248E+03,2.953547E-01,1.947831E-01
21:00:00,8.444878E+03,2.075376E+03,2.956412E-01,1.696229E-01
22:00:00,8.489253E+03,1.811073E+03,2.971954E-01,1.480230E-01
23:00:00,8.644499E+03,3.601700E+03,3.026292E-01,3.340982E-01
24:00:00,8.812258E+03,2.686914E+03,3.085005E-01,2.630295E-01
Peak,9.160123E+03,4.711453E+03,3.206665E-01,4.620871E-01

Peak Vol Flow (m3/s),,,2.691701E-01,3.878797E-01
