Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),LIVING_UNIT1:Zone Mean Air Temperature [C](TimeStep),Electricity:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,-2.0,-2.000002335045541,-2.000002335045541,22.00010875285536,28675466.384952553,2796420.9730918175,125478.927830319,29359.646160636934,262245.8146182114,9989.88619413263,0.0,24033392.197015792,0.0 
 01/12  02:00:00,-4.2,-4.2,-4.2,21.999973923990147,31001334.54365445,2548022.4218731336,125478.927830319,13044.481225768317,256573.49569035263,7989.769793380162,0.0,26607658.90693637,0.0 
 01/12  03:00:00,-5.9,-6.198630539634405,-6.198630539634405,22.00005751898914,31654879.67052345,2470158.126630023,125478.927830319,9773.797516668043,250967.13395932948,3989.536991875235,0.0,27339068.329048485,0.0 
 01/12  04:00:00,-7.2,-7.555630191230219,-7.555630191230219,21.999863108581494,33806434.51947387,2410523.9275373416,125478.927830319,6522.2406128841585,243513.97071691064,3989.536991875235,0.0,29550257.37709159,0.0 
 01/12  05:00:00,-8.0,-8.48978480259312,-8.48978480259312,21.9997088215053,35033755.219996765,2370606.4288550545,376436.783490957,6522.2406128841585,239754.41049728324,7989.769793380162,0.0,30562992.062279828,0.0 
 01/12  06:00:00,-8.3,-8.6320544214861,-8.6320544214861,21.999738514052115,35186733.81281758,2663498.559526247,784243.2989394937,19566.721838652476,239754.41049728324,11990.002594885089,0.0,30009510.314151924,0.0 
 01/12  07:00:00,-8.5,-8.82783271692919,-8.82783271692919,21.999395354812542,39835212.84987643,3235511.293614676,878352.4948122329,39152.57048262144,249120.3324479338,23980.005189770178,0.0,32475599.22671927,0.0 
 01/12  08:00:00,-8.8,-9.12154745585115,-9.12154745585115,21.999749818386043,41025910.92397585,3715560.114307474,784243.2989394937,58738.41912658998,262245.8146182114,51970.93899067497,0.0,33255093.871575408,0.0 
 01/12  09:00:00,-9.5,-9.84154915451958,-9.84154915451958,21.999948686181533,37693845.3379141,3546272.4934641644,345067.0515333772,110973.72444561248,267852.1763492346,77961.75639082717,0.0,31391714.754314896,0.0 
 01/12  10:00:00,-10.3,-10.851947589119767,-10.851947589119767,21.999856090766727,38327037.83552885,3425527.3942351257,235272.9896818481,124018.20567138083,271611.73656886193,91962.57119609449,0.0,32269448.754022293,0.0 
 01/12  11:00:00,-10.7,-11.683582416890017,-11.683582416890017,21.999748897326334,40057084.57198107,3504880.3634630083,235272.9896818481,107703.04073651227,262245.8146182114,89962.45479534201,0.0,33070412.0051919,0.0 
 01/12  12:00:00,-10.8,-11.743740311828423,-11.743740311828423,22.00016288090066,39127422.64493104,3551275.3752665804,235272.9896818481,91387.87580164369,262245.8146182114,79961.87279157966,0.0,32389019.034975223,0.0 
 01/12  13:00:00,-10.6,-11.523093849872815,-11.523093849872815,22.000405609451573,35319146.97855505,3483403.3656293917,235272.9896818481,78324.26777055899,275305.33959165344,71961.40718856991,0.0,30034417.969391674,0.0 
 01/12  14:00:00,-10.3,-11.438126231914245,-11.438126231914245,21.999865872195606,35319198.39462921,3428281.0622745813,235272.9896818481,88117.19209254326,275305.33959165344,63971.63739518969,0.0,30089591.688820638,0.0 
 01/12  15:00:00,-9.8,-10.839810800675263,-10.839810800675263,22.000080975881964,39055833.3497866,3441787.762316192,235272.9896818481,71802.02715767492,271611.73656886193,55971.17179217984,0.0,32153051.655239955,0.0 
 01/12  16:00:00,-9.3,-10.26873986632781,-10.26873986632781,22.00028320311941,37952916.03107757,3606889.4369994397,407806.5154485367,68531.3434485745,275305.33959165344,51970.93899067497,0.0,31152142.079637304,0.0 
 01/12  17:00:00,-9.0,-9.631936030197465,-9.631936030197465,21.999723450569963,36200399.48484406,4245443.608567559,878352.4948122329,71802.02715767492,290343.58047016273,53971.055391427355,0.0,29501464.978074096,0.0 
 01/12  18:00:00,-9.0,-9.5608035705968,-9.5608035705968,22.000324453447895,36999001.19043548,5221155.125444132,1223419.5463456102,94639.43270542756,318441.34632211406,51970.93899067497,0.0,28561888.73454,0.0 
 01/12  19:00:00,-9.1,-10.008556105180014,-10.008556105180014,22.0001872368372,39961873.71912797,5365259.212439732,1646910.9277729366,166460.58666841884,327807.2682727643,51970.93899067497,0.0,29537107.252896737,0.0 
 01/12  20:00:00,-9.4,-10.742193848268183,-10.742193848268183,21.99983821545016,39782322.64534651,5174077.296903736,1825148.0411682762,212154.52456924066,318441.34632211406,51970.93899067497,0.0,29641989.01299853,0.0 
 01/12  21:00:00,-10.1,-11.31333528157844,-11.31333528157844,22.000151239838083,36233232.00240992,5122056.543444246,1825148.0411682762,172982.8272813029,309075.4243714635,51970.93899067497,0.0,27541839.353733275,0.0 
