Date/Time,Electricity:Facility [J](TimeStep),NaturalGas:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Heating:NaturalGas [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,36673155.97068621,64903127.90234729,25836502.599204574,913962.7514959001,438473.423252895,4720424.663127804,149180.07309967247,0.0,0.0,64903127.90234729,0.0 
 01/12  02:00:00,34653883.22831525,98626591.8658562,23433657.347876005,913962.7514959001,194813.59912604262,4618322.922426349,119312.11413860306,0.0,0.0,98626591.8658562,0.0 
 01/12  03:00:00,33736374.00334211,103937178.50540054,22429740.698760387,913962.7514959001,145967.37412523094,4517408.4112679325,59576.19621646439,0.0,0.0,103937178.50540054,0.0 
 01/12  04:00:00,33179223.978552077,111671145.40459445,21729431.235979646,913962.7514959001,97406.7995630209,4383251.47290439,59576.19621646439,0.0,0.0,111671145.40459445,0.0 
 01/12  05:00:00,35017901.6961524,114088518.58730102,21691689.615990315,2741888.254487699,97406.7995630209,4315579.388951098,119312.11413860306,0.0,0.0,114088518.58730102,0.0 
 01/12  06:00:00,40621468.47521316,111207747.97853306,24393151.97135015,5712267.196849375,292220.39868906356,4315579.388951098,179048.03206074148,0.0,0.0,111207747.97853306,0.0 
 01/12  07:00:00,74875014.07948044,172405837.58177495,30469896.092068538,6397739.2604713,584726.447816728,4484165.9840628095,358096.06412148295,0.0,0.0,172405837.58177495,0.0 
 01/12  08:00:00,61846738.66170222,133244690.37710981,36530096.29223999,5712267.196849375,877232.4969443938,4720424.663127804,776087.7678707795,0.0,0.0,133244690.37710981,0.0 
 01/12  09:00:00,45419226.804672845,108710127.64395446,37091361.89418331,2513397.5666137254,1657343.844764368,4821339.174286224,1164211.5126590051,0.0,0.0,108710127.64395446,0.0 
 01/12  10:00:00,77127617.84623376,180070301.94742543,37806136.01356445,1713680.159054812,1852157.4438904074,4889011.258239515,1373287.2253864906,0.0,0.0,180070301.94742543,0.0 
 01/12  11:00:00,74970107.41378239,162156309.51757738,38631885.27524645,1713680.159054812,1608497.6197635545,4720424.663127804,1343419.2664254215,0.0,0.0,162156309.51757738,0.0 
 01/12  12:00:00,46763725.13505142,104536678.31402919,39324937.046586715,1713680.159054812,1364837.795636699,4720424.663127804,1194079.4716200747,0.0,0.0,104536678.31402919,0.0 
 01/12  13:00:00,46027550.181844965,105823115.07922006,38594952.87661496,1713680.159054812,1169738.5460720598,4955496.112649762,1074607.6357757982,0.0,0.0,105823115.07922006,0.0 
 01/12  14:00:00,76485661.45792347,172079813.91694486,37267631.61147033,1713680.159054812,1315991.5706358887,4955496.112649762,955295.5216371961,0.0,0.0,172079813.91694486,0.0 
 01/12  15:00:00,51857401.40947391,116163471.73360422,36617461.96882949,1713680.159054812,1072331.7465090365,4889011.258239515,835823.6857929175,0.0,0.0,116163471.73360422,0.0 
 01/12  16:00:00,46988446.51248164,105494263.31695454,38225869.85629992,2970378.9423616747,1023485.5215082268,4955496.112649762,776087.7678707795,0.0,0.0,105494263.31695454,0.0 
 01/12  17:00:00,57020850.550028704,106790092.62055859,44795449.52530815,6397739.2604713,1072331.7465090365,5226184.44846293,805955.7268318479,0.0,0.0,106790092.62055859,0.0 
 01/12  18:00:00,101466757.65078458,161397772.91383553,55269617.26711448,8911136.827085022,1413398.3701989125,5731944.233798051,776087.7678707795,0.0,0.0,161397772.91383553,0.0 
 01/12  19:00:00,100615059.67125465,130599077.57024074,55399498.511634886,11995761.113383692,2486015.7671465483,5900530.828909755,776087.7678707795,0.0,0.0,130599077.57024074,0.0 
 01/12  20:00:00,74908382.00572765,89883890.45450594,51663709.24382042,13294003.658122186,3168434.664964901,5731944.233798051,776087.7678707795,0.0,0.0,89883890.45450594,0.0 
 01/12  21:00:00,73122505.32573709,91197240.56117919,49934365.634654075,13294003.658122186,2583422.566709569,5563357.63868634,776087.7678707795,0.0,0.0,91197240.56117919,0.0 
 01/12  22:00:00,99473523.9860394,165278152.5880753,47741914.334141746,10053590.266454902,1901003.6688912208,5461255.897984883,746219.8089097101,0.0,0.0,165278152.5880753,0.0 
 01/12  23:00:00,71847221.40341559,130926640.25202611,40294035.26445979,5598021.852912389,1267145.345635079,5226184.44846293,507435.85892682965,0.0,0.0,130926640.25202611,0.0 
 01/12  24:00:00,45255144.982106626,109131804.09505826,32708042.448952936,2284906.8787397505,877232.4969443938,4889011.258239515,268651.90894395043,0.0,0.0,109131804.09505826,0.0 
