Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),LIVING_UNIT1:Zone Mean Air Temperature [C](TimeStep),Electricity:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,-2.0,-2.000002335045541,-2.000002335045541,22.000040235556312,3408781.8839066,2423710.5078233546,83652.61855354601,29359.646160636934,262245.8146182114,9989.88619413263,0.0,0.0,0.0 
 01/12  02:00:00,-4.2,-4.2,-4.2,21.999997867656763,3309131.6476383875,2204854.2592960866,83652.61855354601,13044.481225768317,256573.49569035263,7989.769793380162,0.0,0.0,0.0 
 01/12  03:00:00,-5.9,-6.198630539634405,-6.198630539634405,21.999622772216945,3260938.5104490644,2130968.725358217,83652.61855354601,9773.797516668043,250967.13395932948,3989.536991875235,0.0,0.0,0.0 
 01/12  04:00:00,-7.2,-7.555630191230219,-7.555630191230219,21.99983385829127,3268059.2543464545,2076109.0398318248,83652.61855354601,6522.2406128841585,243513.97071691064,3989.536991875235,0.0,0.0,0.0 
 01/12  05:00:00,-8.0,-8.48978480259312,-8.48978480259312,21.99970537409142,3437762.146262318,2048824.1082936786,250957.855660638,6522.2406128841585,239754.41049728324,7989.769793380162,0.0,0.0,0.0 
 01/12  06:00:00,-8.3,-8.6320544214861,-8.6320544214861,21.999735413248246,3935477.2323249583,2304415.351728236,522828.86595966254,19566.721838652476,239754.41049728324,11990.002594885089,0.0,0.0,0.0 
 01/12  07:00:00,-8.5,-8.82783271692919,-8.82783271692919,21.999779359008265,6131498.560026254,2820625.9585106582,585568.329874822,39152.57048262144,249120.3324479338,23980.005189770178,0.0,0.0,0.0 
 01/12  08:00:00,-8.8,-9.12154745585115,-9.12154745585115,21.999821325334867,6569016.923242581,3274713.361686757,522828.86595966254,58738.41912658998,262245.8146182114,51970.93899067497,0.0,0.0,0.0 
 01/12  09:00:00,-9.5,-9.84154915451958,-9.84154915451958,21.99939827753787,5188971.440596618,3173562.028195702,230044.7010222515,110973.72444561248,267852.1763492346,77961.75639082717,0.0,0.0,0.0 
 01/12  10:00:00,-10.3,-10.851947589119767,-10.851947589119767,21.999366807250894,5061523.0670095915,3108320.649174777,156848.65978789877,124018.20567138083,271611.73656886193,91962.57119609449,0.0,0.0,0.0 
