Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),LIVING_UNIT1:Zone Mean Air Temperature [C](TimeStep),Electricity:Facility [J](TimeStep),NaturalGas:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),gas_dryer:InteriorEquipment:Electricity [J](TimeStep),gas_range:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),InteriorEquipment:NaturalGas [J](TimeStep),Heating:Electricity [J](TimeStep),Heating:NaturalGas [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,-2.0,-2.000002335045541,-2.000002335045541,22.000329445814323,3703143.558511271,34094009.996354096,2524530.5472392533,83652.61855354601,29359.646160636934,262245.8146182114,9989.88619413263,8525.071726859142,0.0,0.0,399191.4000475487,0.0,33157967.89351555,0.0 
 01/12  02:00:00,-4.2,-4.2,-4.2,22.000672652448863,3564827.0745153907,36598867.461812496,2321611.218745075,83652.61855354601,13044.481225768317,256573.49569035263,7989.769793380162,5115.043036115492,0.0,0.0,319125.02881530335,0.0,35985766.52237135,0.0 
 01/12  03:00:00,-5.9,-6.198630539634405,-6.198630539634405,22.000851648007743,3548518.52136593,37368401.49424399,2283389.6400247477,83652.61855354601,9773.797516668043,250967.13395932948,3989.536991875235,3410.0286907436634,0.0,0.0,236979.82523833396,0.0,36944944.46793395,0.0 
 01/12  04:00:00,-7.2,-7.555630191230219,-7.555630191230219,22.000574357314946,3571340.2071650913,40137578.988218844,2242612.762173181,83652.61855354601,6522.2406128841585,243513.97071691064,3989.536991875235,1705.0143453718283,0.0,0.0,200532.11185259442,0.0,39728783.67014533,0.0 
 01/12  05:00:00,-8.0,-8.48978480259312,-8.48978480259312,22.000635817796084,3702630.0404110597,41896601.76529404,2169503.715627116,250957.855660638,6522.2406128841585,239754.41049728324,7989.769793380162,3410.0286907436634,0.0,0.0,276719.3665492255,0.0,41197247.556250244,0.0 
 01/12  06:00:00,-8.3,-8.6320544214861,-8.6320544214861,22.000915785806413,4200087.972716421,41880813.73646701,2409871.751499703,522828.86595966254,19566.721838652476,239754.41049728324,11990.002594885089,5115.043036115492,0.0,0.0,370686.249027145,0.0,40298046.80568923,0.0 
 01/12  07:00:00,-8.5,-8.82783271692919,-8.82783271692919,22.00025933258153,4464768.287397904,42690225.85862672,2790879.5844359784,585568.329874822,39152.57048262144,249120.3324479338,23980.005189770178,13640.114762974627,0.0,0.0,748178.6297525275,0.0,39215837.906488106,0.0 
 01/12  08:00:00,-8.8,-9.12154745585115,-9.12154745585115,22.00085806965191,4652340.702365032,44866879.85491051,3019468.305834065,522828.86595966254,58738.41912658998,262245.8146182114,51970.93899067497,27280.229525949253,0.0,0.0,1265026.86112407,0.0,40224905.20675747,0.0 
 01/12  09:00:00,-9.5,-9.84154915451958,-9.84154915451958,21.999576772624266,4015155.6591021437,43980833.24878241,2712798.4135154476,230044.7010222515,110973.72444561248,267852.1763492346,77961.75639082717,41600.62779036017,0.0,0.0,1578182.5793280303,0.0,38844944.038316526,0.0 
 01/12  10:00:00,-10.3,-10.851947589119767,-10.851947589119767,21.999802657370612,3673098.3360673506,44791481.10091388,2430885.371659916,156848.65978789877,124018.20567138083,271611.73656886193,91962.57119609449,58650.77124407846,0.0,0.0,1933295.3493115837,0.0,39484146.58331136,0.0 
 01/12  11:00:00,-10.7,-11.683582416890017,-11.683582416890017,21.999675283806553,3680471.9660830293,43717404.16244817,2456052.9016004917,156848.65978789877,107703.04073651227,262245.8146182114,89962.45479534201,67175.8429709376,0.0,0.0,2036126.6366556163,0.0,38705271.19167209,0.0 
 01/12  12:00:00,-10.8,-11.743740311828423,-11.743740311828423,21.999725541908273,3663856.719359421,43718917.207792245,2433057.8820045,156848.65978789877,91387.87580164369,262245.8146182114,79961.87279157966,69905.58816024504,0.0,0.0,2183609.7041971404,0.0,38984526.8981513,0.0 
 01/12  13:00:00,-10.6,-11.523093849872815,-11.523093849872815,22.000397728920838,3611576.4085161723,43104742.77118776,2386409.541030472,156848.65978789877,78324.26777055899,275305.33959165344,71961.40718856991,63765.81428019395,0.0,0.0,2148401.4294528635,0.0,38738004.05852061,0.0 
 01/12  14:00:00,-10.3,-11.438126231914245,-11.438126231914245,22.000400145622322,3684645.7415370382,43130051.66981875,2448016.388041509,156848.65978789877,88117.19209254326,275305.33959165344,63971.63739518969,57970.48774264223,0.0,0.0,1896477.9350964525,0.0,39239740.51414567,0.0 
 01/12  15:00:00,-9.8,-10.839810800675263,-10.839810800675263,22.000511782364278,3742115.0413170974,41953430.15416722,2524725.490616589,156848.65978789877,71802.02715767492,271611.73656886193,55971.17179217984,52175.161205090524,0.0,0.0,1757546.867703995,0.0,38397574.996733375,0.0 
 01/12  16:00:00,-9.3,-10.26873986632781,-10.26873986632781,22.000308734034178,3965770.626035214,41856930.24875698,2633659.9518394377,271871.0102990245,68531.3434485745,275305.33959165344,51970.93899067497,49445.41601578309,0.0,0.0,1874248.8595692539,0.0,38277689.18069193,0.0 
 01/12  17:00:00,-9.0,-9.631936030197465,-9.631936030197465,22.00002668484343,4712840.154673282,42902729.21080707,3052358.89628899,585568.329874822,71802.02715767492,290343.58047016273,53971.055391427355,47740.40167041126,0.0,0.0,2322975.921478171,0.0,38628966.63653818,0.0 
 01/12  18:00:00,-9.0,-9.5608035705968,-9.5608035705968,22.000567579730443,5502691.788365477,41907453.35189093,3656383.4267305257,815613.0308970734,94639.43270542756,318441.34632211406,51970.93899067497,46715.67082647567,0.0,0.0,3088933.389152113,0.0,36480070.9616553,0.0 
 01/12  19:00:00,-9.1,-10.008556105180014,-10.008556105180014,22.00086059040798,6266821.298133914,40634699.32881442,4004673.0667172875,1097940.6185152913,166460.58666841884,327807.2682727643,51970.93899067497,44330.37297966761,0.0,0.0,2624965.7872353313,0.0,35248155.99303174,0.0 
