Time,LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,9.026505E+03,1.688377E+03,3.159992E-01,1.655863E-01
02:00:00,9.099064E+03,1.223098E+03,3.185380E-01,1.199619E-01
03:00:00,9.136717E+03,9.115287E+02,3.198555E-01,8.940415E-02
04:00:00,9.160038E+03,6.814552E+02,3.206717E-01,6.683854E-02
05:00:00,9.155736E+03,6.864486E+02,3.205211E-01,6.732776E-02
06:00:00,9.097774E+03,1.281615E+03,3.184923E-01,1.257177E-01
07:00:00,9.028710E+03,1.989501E+03,3.160754E-01,1.951528E-01
08:00:00,9.010318E+03,2.543027E+03,3.154325E-01,2.494217E-01
09:00:00,9.160926E+03,2.904126E+03,3.207056E-01,2.848286E-01
10:00:00,9.245437E+03,3.210520E+03,3.236623E-01,3.148707E-01
11:00:00,9.261230E+03,3.371042E+03,3.242111E-01,3.306154E-01
12:00:00,9.268509E+03,3.384724E+03,3.244624E-01,3.319604E-01
13:00:00,9.274008E+03,3.578561E+03,3.246533E-01,3.509779E-01
14:00:00,9.274812E+03,3.982297E+03,3.246815E-01,3.905874E-01
15:00:00,9.272218E+03,4.330660E+03,3.245912E-01,4.247578E-01
16:00:00,9.244789E+03,4.496714E+03,3.236310E-01,4.410444E-01
17:00:00,9.130757E+03,4.548022E+03,3.196392E-01,4.460587E-01
18:00:00,8.926669E+03,2.083715E+03,3.124963E-01,1.720299E-01
19:00:00,8.721218E+03,2.464858E+03,3.053079E-01,2.015749E-01
20:00:00,8.654930E+03,2.178793E+03,3.029938E-01,1.780730E-01
21:00:00,8.626902E+03,1.904995E+03,3.020170E-01,1.556974E-01
22:00:00,8.642121E+03,1.667030E+03,3.025497E-01,1.362498E-01
23:00:00,8.764297E+03,3.459302E+03,3.068242E-01,3.206313E-01
24:00:00,8.902970E+03,2.587334E+03,3.116762E-01,2.532907E-01
Peak,9.274812E+03,4.548022E+03,3.246815E-01,4.460587E-01

Peak Vol Flow (m3/s),,,2.725404E-01,3.744254E-01
