Date/Time,Electricity:Facility [J](TimeStep),NaturalGas:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Heating:NaturalGas [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,38981426.20739905,138776284.35107803,25836502.599204574,913962.7514959001,438473.423252895,4720424.663127804,149180.07309967247,0.0,0.0,138776284.35107803,0.0 
 01/12  02:00:00,36653188.49648807,166175422.72067964,23433657.347876005,913962.7514959001,194813.59912604262,4618322.922426349,119312.11413860306,0.0,0.0,166175422.72067964,0.0 
 01/12  03:00:00,35660106.888714984,171563573.00051847,22429740.698760387,913962.7514959001,145967.37412523094,4517408.4112679325,59576.19621646439,0.0,0.0,171563573.00051847,0.0 
 01/12  04:00:00,35114035.148941375,181035549.3921764,21729431.235979646,913962.7514959001,97406.7995630209,4383251.47290439,59576.19621646439,0.0,0.0,181035549.3921764,0.0 
 01/12  05:00:00,36978191.652710386,185654558.30677623,21691689.615990315,2741888.254487699,97406.7995630209,4315579.388951098,119312.11413860306,0.0,0.0,185654558.30677623,0.0 
 01/12  06:00:00,42602620.362829715,184039768.70746952,24393151.97135015,5712267.196849375,292220.39868906356,4315579.388951098,179048.03206074148,0.0,0.0,184039768.70746952,0.0 
 01/12  07:00:00,76875935.03323282,244880735.93524933,30469896.092068538,6397739.2604713,584726.447816728,4484165.9840628095,358096.06412148295,0.0,0.0,244880735.93524933,0.0 
 01/12  08:00:00,63712990.39786024,207716570.0739416,36530096.29223999,5712267.196849375,877232.4969443938,4720424.663127804,776087.7678707795,0.0,0.0,207716570.0739416,0.0 
 01/12  09:00:00,47413035.80501399,183212362.1227659,37091361.89418331,2513397.5666137254,1657343.844764368,4821339.174286224,1164211.5126590051,0.0,0.0,183212362.1227659,0.0 
 01/12  10:00:00,79249576.56614192,255640770.01797247,37806136.01356445,1713680.159054812,1852157.4438904074,4889011.258239515,1373287.2253864906,0.0,0.0,255640770.01797247,0.0 
 01/12  11:00:00,76893305.3175816,240627752.78041682,38631885.27524645,1713680.159054812,1608497.6197635545,4720424.663127804,1343419.2664254215,0.0,0.0,240627752.78041682,0.0 
 01/12  12:00:00,48849324.20688061,185193813.7021063,39324937.046586715,1713680.159054812,1364837.795636699,4720424.663127804,1194079.4716200747,0.0,0.0,185193813.7021063,0.0 
 01/12  13:00:00,48104495.4305304,185780710.28721255,38594952.87661496,1713680.159054812,1169738.5460720598,4955496.112649762,1074607.6357757982,0.0,0.0,185780710.28721255,0.0 
 01/12  14:00:00,78595555.41320014,251187005.56936088,37267631.61147033,1713680.159054812,1315991.5706358887,4955496.112649762,955295.5216371961,0.0,0.0,251187005.56936088,0.0 
 01/12  15:00:00,61121847.90284716,210296118.74852693,36617461.96882949,1713680.159054812,1072331.7465090365,4889011.258239515,835823.6857929175,0.0,0.0,210296118.74852693,0.0 
 01/12  16:00:00,49030622.98158604,182536721.22422445,38225869.85629992,2970378.9423616747,1023485.5215082268,4955496.112649762,776087.7678707795,0.0,0.0,182536721.22422445,0.0 
 01/12  17:00:00,59071349.6904052,183224263.63522816,44795449.52530815,6397739.2604713,1072331.7465090365,5226184.44846293,805955.7268318479,0.0,0.0,183224263.63522816,0.0 
 01/12  18:00:00,103687418.68094951,234640713.56471893,55269617.26711448,8911136.827085022,1413398.3701989125,5731944.233798051,776087.7678707795,0.0,0.0,234640713.56471893,0.0 
 01/12  19:00:00,96965608.32771805,195079408.85294998,55399498.511634886,11995761.113383692,2486015.7671465483,5900530.828909755,776087.7678707795,0.0,0.0,195079408.85294998,0.0 
 01/12  20:00:00,76940962.18507904,167199701.2627954,51663709.24382042,13294003.658122186,3168434.664964901,5731944.233798051,776087.7678707795,0.0,0.0,167199701.2627954,0.0 
 01/12  21:00:00,75162887.19045335,168714955.96235138,49934365.634654075,13294003.658122186,2583422.566709569,5563357.63868634,776087.7678707795,0.0,0.0,168714955.96235138,0.0 
 01/12  22:00:00,101538413.2861411,242830541.93589115,47741914.334141746,10053590.266454902,1901003.6688912208,5461255.897984883,746219.8089097101,0.0,0.0,242830541.93589115,0.0 
 01/12  23:00:00,73786945.17279013,213077361.47993654,40294035.26445979,5598021.852912389,1267145.345635079,5226184.44846293,507435.85892682965,0.0,0.0,213077361.47993654,0.0 
 01/12  24:00:00,47440707.26826466,195182860.52276975,32708042.448952936,2284906.8787397505,877232.4969443938,4889011.258239515,268651.90894395043,0.0,0.0,195182860.52276975,0.0 
