Time,LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,1.404173E+04,1.293157E+03,4.915870E-01,1.268251E-01
02:00:00,1.412202E+04,8.169873E+02,4.943959E-01,8.012881E-02
03:00:00,1.416068E+04,5.103017E+02,4.957477E-01,5.004960E-02
04:00:00,1.418317E+04,3.068472E+02,4.965341E-01,3.009493E-02
05:00:00,1.417481E+04,2.891849E+02,4.962413E-01,2.836231E-02
06:00:00,1.410231E+04,7.745020E+02,4.937034E-01,7.597079E-02
07:00:00,1.400673E+04,1.503567E+03,4.903583E-01,1.474906E-01
08:00:00,1.395829E+04,2.171551E+03,4.886636E-01,2.129930E-01
09:00:00,1.410660E+04,2.713239E+03,4.938569E-01,2.661128E-01
10:00:00,1.419113E+04,3.232721E+03,4.968141E-01,3.170504E-01
11:00:00,1.420518E+04,3.605370E+03,4.972998E-01,3.535993E-01
12:00:00,1.420638E+04,3.803292E+03,4.973362E-01,3.730139E-01
13:00:00,1.420537E+04,4.150599E+03,4.972988E-01,4.070837E-01
14:00:00,1.420761E+04,4.660836E+03,4.973772E-01,4.571394E-01
15:00:00,1.420615E+04,5.049937E+03,4.973265E-01,4.953042E-01
16:00:00,1.416702E+04,5.183081E+03,4.959563E-01,5.083614E-01
17:00:00,1.400519E+04,5.180800E+03,4.902910E-01,5.081180E-01
18:00:00,1.371741E+04,2.567180E+03,4.802184E-01,2.116293E-01
19:00:00,1.349904E+04,2.871753E+03,4.725779E-01,2.348257E-01
20:00:00,1.348284E+04,2.366178E+03,4.720175E-01,1.933872E-01
21:00:00,1.350157E+04,1.932836E+03,4.726789E-01,1.579718E-01
22:00:00,1.355565E+04,1.560886E+03,4.745740E-01,1.275731E-01
23:00:00,1.372136E+04,3.186979E+03,4.803739E-01,2.948654E-01
24:00:00,1.389343E+04,2.209505E+03,4.863968E-01,2.163138E-01
Peak,1.420761E+04,5.183081E+03,4.973772E-01,5.083614E-01

Peak Vol Flow (m3/s),,,4.175026E-01,4.267228E-01
