Date/Time,Electricity:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,4143546.1110485587,2796420.9730918175,125478.927830319,29359.646160636934,262245.8146182114,9989.88619413263,0.0,0.0,0.0 
 01/12  02:00:00,3952952.3864815044,2548022.4218731336,125478.927830319,13044.481225768317,256573.49569035263,7989.769793380162,0.0,0.0,0.0 
 01/12  03:00:00,3891048.056983087,2470158.126630023,125478.927830319,9773.797516668043,250967.13395932948,3989.536991875235,0.0,0.0,0.0 
 01/12  04:00:00,3884141.1762909777,2410523.9275373416,125478.927830319,6522.2406128841585,243513.97071691064,3989.536991875235,0.0,0.0,0.0 
 01/12  05:00:00,4123759.8217330445,2370606.4288550545,376436.783490957,6522.2406128841585,239754.41049728324,7989.769793380162,0.0,0.0,0.0 
 01/12  06:00:00,4804992.08638399,2663498.559526247,784243.2989394937,19566.721838652476,239754.41049728324,11990.002594885089,0.0,0.0,0.0 
 01/12  07:00:00,7054917.259730282,3235511.293614676,878352.4948122329,39152.57048262144,249120.3324479338,23980.005189770178,0.0,0.0,0.0 
 01/12  08:00:00,7484398.390809245,3715560.114307474,784243.2989394937,58738.41912658998,262245.8146182114,51970.93899067497,0.0,0.0,0.0 
 01/12  09:00:00,5967648.3334872825,3546272.4934641644,345067.0515333772,110973.72444561248,267852.1763492346,77961.75639082717,0.0,0.0,0.0 
 01/12  10:00:00,5735365.603588942,3425527.3942351257,235272.9896818481,124018.20567138083,271611.73656886193,91962.57119609449,0.0,0.0,0.0 
 01/12  11:00:00,6696537.917703971,3504880.3634630083,235272.9896818481,107703.04073651227,262245.8146182114,89962.45479534201,0.0,0.0,0.0 
 01/12  12:00:00,6443016.476237783,3551275.3752665804,235272.9896818481,91387.87580164369,262245.8146182114,79961.87279157966,0.0,0.0,0.0 
 01/12  13:00:00,4909173.496976017,3483403.3656293917,235272.9896818481,78324.26777055899,275305.33959165344,71961.40718856991,0.0,0.0,0.0 
 01/12  14:00:00,4865503.709656379,3428281.0622745813,235272.9896818481,88117.19209254326,275305.33959165344,63971.63739518969,0.0,0.0,0.0 
 01/12  15:00:00,6599775.348522999,3441787.762316192,235272.9896818481,71802.02715767492,271611.73656886193,55971.17179217984,0.0,0.0,0.0 
 01/12  16:00:00,6484617.399262655,3606889.4369994397,407806.5154485367,68531.3434485745,275305.33959165344,51970.93899067497,0.0,0.0,0.0 
 01/12  17:00:00,6316786.842881982,4245443.608567559,878352.4948122329,71802.02715767492,290343.58047016273,53971.055391427355,0.0,0.0,0.0 
 01/12  18:00:00,8026172.713218454,5221155.125444132,1223419.5463456102,94639.43270542756,318441.34632211406,51970.93899067497,0.0,0.0,0.0 
 01/12  19:00:00,10050064.212351298,5365259.212439732,1646910.9277729366,166460.58666841884,327807.2682727643,51970.93899067497,0.0,0.0,0.0 
 01/12  20:00:00,9790100.064713513,5174077.296903736,1825148.0411682762,212154.52456924066,318441.34632211406,51970.93899067497,0.0,0.0,0.0 
 01/12  21:00:00,8258971.479793077,5122056.543444246,1825148.0411682762,172982.8272813029,309075.4243714635,51970.93899067497,0.0,0.0,0.0 
 01/12  22:00:00,8540886.117281739,4933510.452141945,1380268.2061335088,127288.88938048104,303403.1054436047,49970.82258992248,0.0,0.0,0.0 
 01/12  23:00:00,8104153.166998279,4195576.480866236,768558.4329607037,84846.50838344306,290343.58047016273,33980.58719353241,0.0,0.0,0.0 
 01/12  24:00:00,5833387.632494338,3488143.8526281044,313697.3195757975,58738.41912658998,271611.73656886193,17990.35179714245,0.0,0.0,0.0 
