Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),LIVING_UNIT1_FRONTROW_BOTTOMFLOOR:Zone Mean Air Temperature [C](TimeStep),Electricity:Facility [J](TimeStep),NaturalGas:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Heating:NaturalGas [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,-2.0,-2.000002335045541,-2.000002335045541,22.000135599104908,41711798.93440272,150634529.554547,25836502.599204574,913962.7514959001,438473.423252895,4720424.663127804,149180.07309967247,0.0,0.0,150634529.554547,0.0 
 01/12  02:00:00,-4.2,-4.2,-4.2,22.00037436164095,39590785.04396102,203843423.00502676,23433657.347876005,913962.7514959001,194813.59912604262,4618322.922426349,119312.11413860306,0.0,0.0,203843423.00502676,0.0 
 01/12  03:00:00,-5.9,-6.198630539634405,-6.198630539634405,22.000536310215608,38622400.764384195,168205193.31765205,22429740.698760387,913962.7514959001,145967.37412523094,4517408.4112679325,59576.19621646439,0.0,0.0,168205193.31765205,0.0 
 01/12  04:00:00,-7.2,-7.555630191230219,-7.555630191230219,22.00049858371856,38036338.92165805,174761461.74135187,21729431.235979646,913962.7514959001,97406.7995630209,4383251.47290439,59576.19621646439,0.0,0.0,174761461.74135187,0.0 
 01/12  05:00:00,-8.0,-8.48978480259312,-8.48978480259312,22.00058070346617,39859519.68135317,177657176.06950986,21691689.615990315,2741888.254487699,97406.7995630209,4315579.388951098,119312.11413860306,0.0,0.0,177657176.06950986,0.0 
 01/12  06:00:00,-8.3,-8.6320544214861,-8.6320544214861,22.000649746568765,45457974.48659561,175110871.44355047,24393151.97135015,5712267.196849375,292220.39868906356,4315579.388951098,179048.03206074148,0.0,0.0,175110871.44355047,0.0 
 01/12  07:00:00,-8.5,-8.82783271692919,-8.82783271692919,22.001632397777378,79734864.51215395,233927910.6445986,30469896.092068538,6397739.2604713,584726.447816728,4484165.9840628095,358096.06412148295,0.0,0.0,233927910.6445986,0.0 
 01/12  08:00:00,-8.8,-9.12154745585115,-9.12154745585115,22.00110463542234,66553245.87899734,199027523.98657587,36530096.29223999,5712267.196849375,877232.4969443938,4720424.663127804,776087.7678707795,0.0,0.0,199027523.98657587,0.0 
 01/12  09:00:00,-9.5,-9.84154915451958,-9.84154915451958,22.000446193019314,50246829.40606003,173267950.16759545,37091361.89418331,2513397.5666137254,1657343.844764368,4821339.174286224,1164211.5126590051,0.0,0.0,173267950.16759545,0.0 
 01/12  10:00:00,-10.3,-10.851947589119767,-10.851947589119767,22.00194604570153,82051519.79879002,242323156.3097362,37806136.01356445,1713680.159054812,1852157.4438904074,4889011.258239515,1373287.2253864906,0.0,0.0,242323156.3097362,0.0 
 01/12  11:00:00,-10.7,-11.683582416890017,-11.683582416890017,22.001686365096155,79698534.44504337,228245729.6886034,38631885.27524645,1713680.159054812,1608497.6197635545,4720424.663127804,1343419.2664254215,0.0,0.0,228245729.6886034,0.0 
