Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),LIVING_UNIT1:Zone Mean Air Temperature [C](TimeStep),Electricity:Facility [J](TimeStep),NaturalGas:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),gas_dryer:InteriorEquipment:Electricity [J](TimeStep),gas_range:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),InteriorEquipment:NaturalGas [J](TimeStep),Heating:Electricity [J](TimeStep),Heating:NaturalGas [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,-2.0,-2.000002335045541,-2.000002335045541,22.000198026741675,3427392.5122064827,17801706.976730205,2524530.5472392533,83652.61855354601,29359.646160636934,262245.8146182114,9989.88619413263,8525.071726859142,0.0,0.0,399191.4000475487,0.0,16865663.485347234,0.0 
 01/12  02:00:00,-4.2,-4.2,-4.2,22.000256561759073,3341775.1828736453,21585292.6173192,2321611.218745075,83652.61855354601,13044.481225768317,256573.49569035263,7989.769793380162,5115.043036115492,0.0,0.0,319125.02881530335,0.0,20972191.67387908,0.0 
 01/12  03:00:00,-5.9,-6.198630539634405,-6.198630539634405,22.00024299286595,3330146.313414987,22326610.7578263,2283389.6400247477,83652.61855354601,9773.797516668043,250967.13395932948,3989.536991875235,3410.0286907436634,0.0,0.0,236979.82523833396,0.0,21903153.72885881,0.0 
 01/12  04:00:00,-7.2,-7.555630191230219,-7.555630191230219,22.000221003613667,3350211.659656702,24441923.902024347,2242612.762173181,83652.61855354601,6522.2406128841585,243513.97071691064,3989.536991875235,1705.0143453718283,0.0,0.0,200532.11185259442,0.0,24033128.58076547,0.0 
 01/12  05:00:00,-8.0,-8.48978480259312,-8.48978480259312,22.00026818194231,3473297.39027652,25619725.6852282,2169503.715627116,250957.855660638,6522.2406128841585,239754.41049728324,7989.769793380162,3410.0286907436634,0.0,0.0,276719.3665492255,0.0,24920371.46973738,0.0 
 01/12  06:00:00,-8.3,-8.6320544214861,-8.6320544214861,22.000283094302716,3956266.4095754083,25276741.991955496,2409871.751499703,522828.86595966254,19566.721838652476,239754.41049728324,11990.002594885089,5115.043036115492,0.0,0.0,370686.249027145,0.0,23693975.042656727,0.0 
 01/12  07:00:00,-8.5,-8.82783271692919,-8.82783271692919,22.000807823327406,4211999.013352908,25989587.00086022,2790879.5844359784,585568.329874822,39152.57048262144,249120.3324479338,23980.005189770178,13640.114762974627,0.0,0.0,748178.6297525275,0.0,22515199.01764099,0.0 
 01/12  08:00:00,-8.8,-9.12154745585115,-9.12154745585115,22.000821868338754,4398916.895680609,27941295.28962707,3019468.305834065,522828.86595966254,58738.41912658998,262245.8146182114,51970.93899067497,27280.229525949253,0.0,0.0,1265026.86112407,0.0,23299320.620183345,0.0 
 01/12  09:00:00,-9.5,-9.84154915451958,-9.84154915451958,22.000338953532026,3764949.5979878027,27444186.755300723,2712798.4135154476,230044.7010222515,110973.72444561248,267852.1763492346,77961.75639082717,41600.62779036017,0.0,0.0,1578182.5793280303,0.0,22308297.533748433,0.0 
 01/12  10:00:00,-10.3,-10.851947589119767,-10.851947589119767,22.000796656711834,3407037.8355361954,27571820.949711025,2430885.371659916,156848.65978789877,124018.20567138083,271611.73656886193,91962.57119609449,58650.77124407846,0.0,0.0,1933295.3493115837,0.0,22264486.42677895,0.0 
