Date/Time,Electricity:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,96103316.2226335,25836502.599204574,913962.7514959001,438473.423252895,4720424.663127804,149180.07309967247,0.0,59115258.10567239,0.0 
 01/12  02:00:00,105247311.34468368,23433657.347876005,913962.7514959001,194813.59912604262,4618322.922426349,119312.11413860306,0.0,70156355.80606712,0.0 
 01/12  03:00:00,109455496.65077871,22429740.698760387,913962.7514959001,145967.37412523094,4517408.4112679325,59576.19621646439,0.0,75138822.15974031,0.0 
 01/12  04:00:00,115420902.6663958,21729431.235979646,913962.7514959001,97406.7995630209,4383251.47290439,59576.19621646439,0.0,81512116.4432685,0.0 
 01/12  05:00:00,120225651.32783407,21691689.615990315,2741888.254487699,97406.7995630209,4315579.388951098,119312.11413860306,0.0,84394006.47132535,0.0 
 01/12  06:00:00,124533814.60057585,24393151.97135015,5712267.196849375,292220.39868906356,4315579.388951098,179048.03206074148,0.0,83090180.11063844,0.0 
 01/12  07:00:00,206194857.7660024,30469896.092068538,6397739.2604713,584726.447816728,4484165.9840628095,358096.06412148295,0.0,129842278.4209583,0.0 
 01/12  08:00:00,164477518.48960185,36530096.29223999,5712267.196849375,877232.4969443938,4720424.663127804,776087.7678707795,0.0,101740949.55275674,0.0 
 01/12  09:00:00,126892434.32282454,37091361.89418331,2513397.5666137254,1657343.844764368,4821339.174286224,1164211.5126590051,0.0,80588894.6581552,0.0 
 01/12  10:00:00,213429040.9313023,37806136.01356445,1713680.159054812,1852157.4438904074,4889011.258239515,1373287.2253864906,0.0,134586411.72972682,0.0 
 01/12  11:00:00,199321771.76238152,38631885.27524645,1713680.159054812,1608497.6197635545,4720424.663127804,1343419.2664254215,0.0,123017521.88266864,0.0 
 01/12  12:00:00,127332217.57303917,39324937.046586715,1713680.159054812,1364837.795636699,4720424.663127804,1194079.4716200747,0.0,79646090.52247776,0.0 
 01/12  13:00:00,126022393.38610408,38594952.87661496,1713680.159054812,1169738.5460720598,4955496.112649762,1074607.6357757982,0.0,79092449.87684199,0.0 
 01/12  14:00:00,207895792.05572787,37267631.61147033,1713680.159054812,1315991.5706358887,4955496.112649762,955295.5216371961,0.0,129755363.00586602,0.0 
 01/12  15:00:00,160519925.05010405,36617461.96882949,1713680.159054812,1072331.7465090365,4889011.258239515,835823.6857929175,0.0,100283382.42696631,0.0 
 01/12  16:00:00,126906429.05096905,38225869.85629992,2970378.9423616747,1023485.5215082268,4955496.112649762,776087.7678707795,0.0,79087888.9448162,0.0 
 01/12  17:00:00,137683879.44663662,44795449.52530815,6397739.2604713,1072331.7465090365,5226184.44846293,805955.7268318479,0.0,79832356.22248909,0.0 
 01/12  18:00:00,222901963.72001803,55269617.26711448,8911136.827085022,1413398.3701989125,5731944.233798051,776087.7678707795,0.0,119888483.42466535,0.0 
 01/12  19:00:00,186382502.3296093,55399498.511634886,11995761.113383692,2486015.7671465483,5900530.828909755,776087.7678707795,0.0,90467926.6831849,0.0 
 01/12  20:00:00,143231093.95353183,51663709.24382042,13294003.658122186,3168434.664964901,5731944.233798051,776087.7678707795,0.0,67650321.1447697,0.0 
 01/12  21:00:00,140507529.11968488,49934365.634654075,13294003.658122186,2583422.566709569,5563357.63868634,776087.7678707795,0.0,66698729.39589086,0.0 
 01/12  22:00:00,222552472.36781478,47741914.334141746,10053590.266454902,1901003.6688912208,5461255.897984883,746219.8089097101,0.0,121561114.75181329,0.0 
 01/12  23:00:00,170295810.79582053,40294035.26445979,5598021.852912389,1267145.345635079,5226184.44846293,507435.85892682965,0.0,97382507.631305,0.0 
 01/12  24:00:00,127183499.26819374,32708042.448952936,2284906.8787397505,877232.4969443938,4889011.258239515,268651.90894395043,0.0,80949524.08863947,0.0 
