Date/Time,Electricity:Facility [J](TimeStep),NaturalGas:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Heating:NaturalGas [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,41711798.93440272,150634529.554547,25836502.599204574,913962.7514959001,438473.423252895,4720424.663127804,149180.07309967247,0.0,0.0,150634529.554547,0.0 
 01/12  02:00:00,39590785.04396102,203843423.00502676,23433657.347876005,913962.7514959001,194813.59912604262,4618322.922426349,119312.11413860306,0.0,0.0,203843423.00502676,0.0 
 01/12  03:00:00,38622400.764384195,168205193.31765205,22429740.698760387,913962.7514959001,145967.37412523094,4517408.4112679325,59576.19621646439,0.0,0.0,168205193.31765205,0.0 
 01/12  04:00:00,38036338.92165805,174761461.74135187,21729431.235979646,913962.7514959001,97406.7995630209,4383251.47290439,59576.19621646439,0.0,0.0,174761461.74135187,0.0 
 01/12  05:00:00,39859519.68135317,177657176.06950986,21691689.615990315,2741888.254487699,97406.7995630209,4315579.388951098,119312.11413860306,0.0,0.0,177657176.06950986,0.0 
 01/12  06:00:00,45457974.48659561,175110871.44355047,24393151.97135015,5712267.196849375,292220.39868906356,4315579.388951098,179048.03206074148,0.0,0.0,175110871.44355047,0.0 
 01/12  07:00:00,79734864.51215395,233927910.6445986,30469896.092068538,6397739.2604713,584726.447816728,4484165.9840628095,358096.06412148295,0.0,0.0,233927910.6445986,0.0 
 01/12  08:00:00,66553245.87899734,199027523.98657587,36530096.29223999,5712267.196849375,877232.4969443938,4720424.663127804,776087.7678707795,0.0,0.0,199027523.98657587,0.0 
 01/12  09:00:00,50246829.40606003,173267950.16759545,37091361.89418331,2513397.5666137254,1657343.844764368,4821339.174286224,1164211.5126590051,0.0,0.0,173267950.16759545,0.0 
 01/12  10:00:00,82051519.79879002,242323156.3097362,37806136.01356445,1713680.159054812,1852157.4438904074,4889011.258239515,1373287.2253864906,0.0,0.0,242323156.3097362,0.0 
 01/12  11:00:00,79698534.44504337,228245729.6886034,38631885.27524645,1713680.159054812,1608497.6197635545,4720424.663127804,1343419.2664254215,0.0,0.0,228245729.6886034,0.0 
 01/12  12:00:00,51621299.926095545,173697140.69536716,39324937.046586715,1713680.159054812,1364837.795636699,4720424.663127804,1194079.4716200747,0.0,0.0,173697140.69536716,0.0 
 01/12  13:00:00,50883008.542891994,173100520.01536334,38594952.87661496,1713680.159054812,1169738.5460720598,4955496.112649762,1074607.6357757982,0.0,0.0,173100520.01536334,0.0 
 01/12  14:00:00,81387140.34123757,237307080.53647563,37267631.61147033,1713680.159054812,1315991.5706358887,4955496.112649762,955295.5216371961,0.0,0.0,237307080.53647563,0.0 
 01/12  15:00:00,64007717.81176702,199426903.50872898,36617461.96882949,1713680.159054812,1072331.7465090365,4889011.258239515,835823.6857929175,0.0,0.0,199426903.50872898,0.0 
 01/12  16:00:00,51851035.866351515,172552388.5677951,38225869.85629992,2970378.9423616747,1023485.5215082268,4955496.112649762,776087.7678707795,0.0,0.0,172552388.5677951,0.0 
 01/12  17:00:00,61901197.55473955,173283352.77871782,44795449.52530815,6397739.2604713,1072331.7465090365,5226184.44846293,805955.7268318479,0.0,0.0,173283352.77871782,0.0 
 01/12  18:00:00,106523033.82614198,223884911.3035061,55269617.26711448,8911136.827085022,1413398.3701989125,5731944.233798051,776087.7678707795,0.0,0.0,223884911.3035061,0.0 
 01/12  19:00:00,99859330.1218152,186494739.58233565,55399498.511634886,11995761.113383692,2486015.7671465483,5900530.828909755,776087.7678707795,0.0,0.0,186494739.58233565,0.0 
 01/12  20:00:00,79777218.64201745,158503880.64154276,51663709.24382042,13294003.658122186,3168434.664964901,5731944.233798051,776087.7678707795,0.0,0.0,158503880.64154276,0.0 
 01/12  21:00:00,77987794.37737438,158455429.99639058,49934365.634654075,13294003.658122186,2583422.566709569,5563357.63868634,776087.7678707795,0.0,0.0,158455429.99639058,0.0 
 01/12  22:00:00,104353205.96763921,229146953.41944885,47741914.334141746,10053590.266454902,1901003.6688912208,5461255.897984883,746219.8089097101,0.0,0.0,229146953.41944885,0.0 
 01/12  23:00:00,76579181.32057743,201295830.02296296,40294035.26445979,5598021.852912389,1267145.345635079,5226184.44846293,507435.85892682965,0.0,0.0,201295830.02296296,0.0 
 01/12  24:00:00,50147815.00354304,179349660.6337114,32708042.448952936,2284906.8787397505,877232.4969443938,4889011.258239515,268651.90894395043,0.0,0.0,179349660.6337114,0.0 
