Date/Time,Electricity:Facility [J](TimeStep),NaturalGas:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),gas_dryer:InteriorEquipment:Electricity [J](TimeStep),gas_range:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),InteriorEquipment:NaturalGas [J](TimeStep),Heating:Electricity [J](TimeStep),Heating:NaturalGas [J](TimeStep),Cooling:Electricity [J](TimeStep),Electricity:Facility [J](Hourly) 
 01/12  01:00:00,4383487.564600674,38203008.80772901,3077176.1879200563,125478.927830319,29359.646160636934,262245.8146182114,9989.88619413263,8525.071726859142,0.0,0.0,399191.4000475487,0.0,37266966.29373179,0.0,4383487.564600674 
 01/12  02:00:00,4196599.938708598,40524069.69059743,2830452.281021234,125478.927830319,13044.481225768317,256573.49569035263,7989.769793380162,5115.043036115492,0.0,0.0,319125.02881530335,0.0,39910968.749773115,0.0,4196599.938708598 
 01/12  03:00:00,4169541.5190093764,41088382.96211199,2786331.095781763,125478.927830319,9773.797516668043,250967.13395932948,3989.536991875235,3410.0286907436634,0.0,0.0,236979.82523833396,0.0,40664925.93488279,0.0,4169541.5190093764 
 01/12  04:00:00,4175002.8790907874,43429688.256644264,2738474.690107224,125478.927830319,6522.2406128841585,243513.97071691064,3989.536991875235,1705.0143453718283,0.0,0.0,200532.11185259442,0.0,43020892.93746899,0.0,4175002.8790907874 
 01/12  05:00:00,4362832.644383806,44832288.45509639,2646634.392862877,376436.783490957,6522.2406128841585,239754.41049728324,7989.769793380162,3410.0286907436634,0.0,0.0,276719.3665492255,0.0,44132934.24382269,0.0,4362832.644383806 
 01/12  06:00:00,5045649.282186871,44547901.23093462,2942311.239852438,784243.2989394937,19566.721838652476,239754.41049728324,11990.002594885089,5115.043036115492,0.0,0.0,370686.249027145,0.0,42965134.29375077,0.0,5045649.282186871 
 01/12  07:00:00,5422928.213420562,45280187.58475941,3406061.054219706,878352.4948122329,39152.57048262144,249120.3324479338,23980.005189770178,13640.114762974627,0.0,0.0,748178.6297525275,0.0,41805799.62188716,0.0,5422928.213420562 
 01/12  08:00:00,5613869.200684754,47300418.69317676,3673144.708155208,784243.2989394937,58738.41912658998,262245.8146182114,51970.93899067497,27280.229525949253,0.0,0.0,1265026.86112407,0.0,42658444.03765967,0.0,5613869.200684754 
 01/12  09:00:00,4745359.802087361,47112629.799269706,3265444.0541962506,345067.0515333772,110973.72444561248,267852.1763492346,77961.75639082717,41600.62779036017,0.0,0.0,1578182.5793280303,0.0,41976740.58496924,0.0,4745359.802087361 
 01/12  10:00:00,4288801.182387657,48123598.964648195,2901231.5013986616,235272.9896818481,124018.20567138083,271611.73656886193,91962.57119609449,58650.77124407846,0.0,0.0,1933295.3493115837,0.0,42816264.445202276,0.0,4288801.182387657 
 01/12  11:00:00,4315035.692920306,47386755.21025539,2937460.7935626325,235272.9896818481,107703.04073651227,262245.8146182114,89962.45479534201,67175.8429709376,0.0,0.0,2036126.6366556163,0.0,42374622.23856458,0.0,4315035.692920306 
 01/12  12:00:00,4287636.847771403,46907902.29036012,2914613.264129619,235272.9896818481,91387.87580164369,262245.8146182114,79961.87279157966,69905.58816024504,0.0,0.0,2183609.7041971404,0.0,42173511.98023029,0.0,4287636.847771403 
 01/12  13:00:00,4238395.540593999,46784119.96727204,2859852.9641917683,235272.9896818481,78324.26777055899,275305.33959165344,71961.40718856991,63765.81428019395,0.0,0.0,2148401.4294528635,0.0,42417381.25432257,0.0,4238395.540593999 
 01/12  14:00:00,4327749.974655548,46810374.80627337,2937831.2192934295,235272.9896818481,88117.19209254326,275305.33959165344,63971.63739518969,57970.48774264223,0.0,0.0,1896477.9350964525,0.0,42920063.65042461,0.0,4327749.974655548 
 01/12  15:00:00,4404789.780106509,45271817.32285781,3042120.9823455065,235272.9896818481,71802.02715767492,271611.73656886193,55971.17179217984,52175.161205090524,0.0,0.0,1757546.867703995,0.0,41715962.16530308,0.0,4404789.780106509 
 01/12  16:00:00,4720149.382535793,45414216.96579791,3179816.025349182,407806.5154485367,68531.3434485745,275305.33959165344,51970.93899067497,49445.41601578309,0.0,0.0,1874248.8595692539,0.0,41834975.89764546,0.0,4720149.382535793 
