Time,LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,8.442814E+03,1.758672E+03,2.955656E-01,1.724798E-01
02:00:00,8.530396E+03,1.281895E+03,2.986304E-01,1.257286E-01
03:00:00,8.578245E+03,9.646873E+02,3.003049E-01,9.461798E-02
04:00:00,8.608412E+03,7.326830E+02,3.013609E-01,7.186310E-02
05:00:00,8.606812E+03,7.136300E+02,3.013050E-01,6.999384E-02
06:00:00,8.543150E+03,1.215181E+03,2.990768E-01,1.191988E-01
07:00:00,8.454072E+03,1.815640E+03,2.959593E-01,1.780945E-01
08:00:00,8.407304E+03,2.308589E+03,2.943231E-01,2.264260E-01
09:00:00,8.548122E+03,2.609910E+03,2.992535E-01,2.559718E-01
10:00:00,8.626841E+03,2.879384E+03,3.020069E-01,2.823942E-01
11:00:00,8.639549E+03,3.043104E+03,3.024476E-01,2.984526E-01
12:00:00,8.641604E+03,3.090909E+03,3.025162E-01,3.031440E-01
13:00:00,8.641366E+03,3.288722E+03,3.025066E-01,3.225508E-01
14:00:00,8.643179E+03,3.647380E+03,3.025701E-01,3.577379E-01
15:00:00,8.641681E+03,3.955363E+03,3.025178E-01,3.879475E-01
16:00:00,8.605373E+03,4.124523E+03,3.012467E-01,4.045388E-01
17:00:00,8.453548E+03,4.239389E+03,2.959321E-01,4.157876E-01
18:00:00,8.177434E+03,1.922114E+03,2.862681E-01,1.587276E-01
19:00:00,7.952661E+03,2.388336E+03,2.784030E-01,1.953250E-01
20:00:00,7.920760E+03,2.237716E+03,2.772903E-01,1.828884E-01
21:00:00,7.927955E+03,2.005116E+03,2.775448E-01,1.638802E-01
22:00:00,7.972308E+03,1.776677E+03,2.790981E-01,1.452115E-01
23:00:00,8.126244E+03,3.602977E+03,2.844861E-01,3.339740E-01
24:00:00,8.293031E+03,2.684228E+03,2.903234E-01,2.627705E-01
Peak,8.643179E+03,4.239389E+03,3.025701E-01,4.157876E-01

Peak Vol Flow (m3/s),,,2.539798E-01,3.490155E-01
