Time,CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Tot Cool Cap [W]
01:00:00,2.955656E-01,1.017364E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,1.044471E+03,1.724798E-01,1.637757E+03,2.346417E+03
02:00:00,2.986304E-01,1.025994E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,1.061285E+03,1.257286E-01,1.151134E+03,1.779400E+03
03:00:00,3.003049E-01,1.030709E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,1.073895E+03,9.461798E-02,8.259407E+02,1.411818E+03
04:00:00,3.013609E-01,1.033682E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,1.086505E+03,7.186310E-02,5.847078E+02,1.129444E+03
05:00:00,3.013050E-01,1.033524E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,1.094912E+03,6.999384E-02,5.575231E+02,1.116658E+03
06:00:00,2.990768E-01,1.027251E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,1.086505E+03,1.191988E-01,1.060210E+03,1.845739E+03
07:00:00,2.959593E-01,1.018473E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,1.057081E+03,1.780945E-01,1.681338E+03,2.627412E+03
08:00:00,2.943231E-01,1.013864E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,9.856240E+02,2.264260E-01,2.238532E+03,3.214574E+03
09:00:00,2.992535E-01,1.027741E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,9.057598E+02,2.559718E-01,2.615319E+03,3.541473E+03
10:00:00,3.020069E-01,1.035498E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,8.343024E+02,2.823942E-01,2.952316E+03,3.790620E+03
11:00:00,3.024476E-01,1.036749E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,7.712518E+02,2.984526E-01,3.176704E+03,3.996436E+03
12:00:00,3.025162E-01,1.036950E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,7.292180E+02,3.031440E-01,3.265850E+03,4.068777E+03
13:00:00,3.025066E-01,1.036926E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,6.955910E+02,3.225508E-01,3.494415E+03,4.302658E+03
14:00:00,3.025701E-01,1.037105E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,6.745741E+02,3.577379E-01,3.868876E+03,4.699224E+03
15:00:00,3.025178E-01,1.036958E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,6.745741E+02,3.879475E-01,4.172374E+03,5.003873E+03
16:00:00,3.012467E-01,1.033380E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,6.997944E+02,4.045388E-01,4.313850E+03,5.134780E+03
17:00:00,2.959321E-01,1.018418E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,7.334214E+02,4.157876E-01,4.393402E+03,5.222873E+03
18:00:00,2.862681E-01,9.912097E+03,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,7.754551E+02,1.587276E-01,1.976151E+03,2.599872E+03
19:00:00,2.784030E-01,9.690610E+03,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,8.385058E+02,1.953250E-01,2.396348E+03,3.155050E+03
20:00:00,2.772903E-01,9.659188E+03,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,8.847429E+02,1.828884E-01,2.201769E+03,2.972351E+03
21:00:00,2.775448E-01,9.666288E+03,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,9.225733E+02,1.638802E-01,1.934732E+03,2.688231E+03
22:00:00,2.790981E-01,9.709996E+03,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,9.604037E+02,1.452115E-01,1.671795E+03,2.403982E+03
23:00:00,2.844861E-01,9.861687E+03,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,9.898273E+02,3.339740E-01,3.434229E+03,4.530285E+03
24:00:00,2.903234E-01,1.002604E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,1.019251E+03,2.627705E-01,2.574052E+03,3.455439E+03
Coinc Peak   ,3.025701E-01,4.157876E-01,1.037105E+04,4.393402E+03
NonCoinc Peak,3.025701E-01,4.157876E-01,1.037105E+04,4.393402E+03
