Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),LIVING_UNIT1_FRONTROW_BOTTOMFLOOR:Zone Mean Air Temperature [C](TimeStep),Electricity:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,-2.0,-2.000002335045541,-2.000002335045541,22.000000000000004,101265965.13998705,25836502.599204574,913962.7514959001,438473.423252895,4720424.663127804,149180.07309967247,0.0,64141227.32024363,0.0 
 01/12  02:00:00,-4.2,-4.2,-4.2,22.0,110449365.99537702,23433657.347876005,913962.7514959001,194813.59912604262,4618322.922426349,119312.11413860306,0.0,75235017.49726896,0.0 
 01/12  03:00:00,-5.9,-6.198630539634405,-6.198630539634405,22.000000000000004,114687954.1968457,22429740.698760387,913962.7514959001,145967.37412523094,4517408.4112679325,59576.19621646439,0.0,80253111.03880058,0.0 
 01/12  04:00:00,-7.2,-7.555630191230219,-7.555630191230219,22.0,120597637.00456369,21729431.235979646,913962.7514959001,97406.7995630209,4383251.47290439,59576.19621646439,0.0,86581524.16285577,0.0 
 01/12  05:00:00,-8.0,-8.48978480259312,-8.48978480259312,21.999999999999996,125300072.30189064,21691689.615990315,2741888.254487699,97406.7995630209,4315579.388951098,119312.11413860306,0.0,89369047.93521926,0.0 
 01/12  06:00:00,-8.3,-8.6320544214861,-8.6320544214861,22.0,129470540.03150758,24393151.97135015,5712267.196849375,292220.39868906356,4315579.388951098,179048.03206074148,0.0,87931253.1313695,0.0 
 01/12  07:00:00,-8.5,-8.82783271692919,-8.82783271692919,22.0,210866986.5941901,30469896.092068538,6397739.2604713,584726.447816728,4484165.9840628095,358096.06412148295,0.0,134509939.40780693,0.0 
 01/12  08:00:00,-8.8,-9.12154745585115,-9.12154745585115,22.0,169732196.859119,36530096.29223999,5712267.196849375,877232.4969443938,4720424.663127804,776087.7678707795,0.0,106712905.06981063,0.0 
 01/12  09:00:00,-9.5,-9.84154915451958,-9.84154915451958,21.99990061057953,131499031.98752053,37091361.89418331,2513397.5666137254,1657343.844764368,4821339.174286224,1164211.5126590051,0.0,85109185.00320074,0.0 
 01/12  10:00:00,-10.3,-10.851947589119767,-10.851947589119767,21.999832444013073,217893310.96658498,37806136.01356445,1713680.159054812,1852157.4438904074,4889011.258239515,1373287.2253864906,0.0,139052602.5810095,0.0 
 01/12  11:00:00,-10.7,-11.683582416890017,-11.683582416890017,21.999983375527385,204257302.38143578,38631885.27524645,1713680.159054812,1608497.6197635545,4720424.663127804,1343419.2664254215,0.0,127739918.12206098,0.0 
 01/12  12:00:00,-10.8,-11.743740311828423,-11.743740311828423,21.999997525713617,132085920.78131996,39324937.046586715,1713680.159054812,1364837.795636699,4720424.663127804,1194079.4716200747,0.0,84306773.79164281,0.0 
 01/12  13:00:00,-10.6,-11.523093849872815,-11.523093849872815,21.99999983223642,131057128.9383011,38594952.87661496,1713680.159054812,1169738.5460720598,4955496.112649762,1074607.6357757982,0.0,84021565.93561229,0.0 
 01/12  14:00:00,-10.3,-11.438126231914245,-11.438126231914245,21.999999990059745,212841945.57026157,37267631.61147033,1713680.159054812,1315991.5706358887,4955496.112649762,955295.5216371961,0.0,134668034.34274882,0.0 
 01/12  15:00:00,-9.8,-10.839810800675263,-10.839810800675263,21.99999999936454,147530270.18998894,36617461.96882949,1713680.159054812,1072331.7465090365,4889011.258239515,835823.6857929175,0.0,94620157.06084554,0.0 
 01/12  16:00:00,-9.3,-10.26873986632781,-10.26873986632781,21.99999999995711,132126142.23936364,38225869.85629992,2970378.9423616747,1023485.5215082268,4955496.112649762,776087.7678707795,0.0,84194657.44148402,0.0 
