Time,CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Tot Cool Cap [W]
01:00:00,3.159992E-01,1.074882E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,1.044471E+03,1.655863E-01,1.568488E+03,2.269512E+03
02:00:00,3.185380E-01,1.082032E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,1.061285E+03,1.199619E-01,1.093194E+03,1.713230E+03
03:00:00,3.198555E-01,1.085742E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,1.073895E+03,8.940415E-02,7.735566E+02,1.349078E+03
04:00:00,3.206717E-01,1.088041E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,1.086505E+03,6.683854E-02,5.342260E+02,1.064742E+03
05:00:00,3.205211E-01,1.087617E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,1.094912E+03,6.732776E-02,5.307372E+02,1.083946E+03
06:00:00,3.184923E-01,1.081905E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,1.086505E+03,1.257177E-01,1.125682E+03,1.950907E+03
07:00:00,3.160754E-01,1.075099E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,1.057081E+03,1.951528E-01,1.852674E+03,2.850112E+03
08:00:00,3.154325E-01,1.073287E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,9.856240E+02,2.494217E-01,2.469558E+03,3.474710E+03
09:00:00,3.207056E-01,1.088129E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,9.057598E+02,2.848286E-01,2.905250E+03,3.848508E+03
10:00:00,3.236623E-01,1.096456E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,8.343024E+02,3.148707E-01,3.278629E+03,4.127118E+03
11:00:00,3.242111E-01,1.098011E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,7.712518E+02,3.306154E-01,3.499866E+03,4.326580E+03
12:00:00,3.244624E-01,1.098728E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,7.292180E+02,3.319604E-01,3.555385E+03,4.363869E+03
13:00:00,3.246533E-01,1.099269E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,6.955910E+02,3.509779E-01,3.780033E+03,4.595144E+03
14:00:00,3.246815E-01,1.099348E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,6.745741E+02,3.905874E-01,4.198915E+03,5.038699E+03
15:00:00,3.245912E-01,1.099093E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,6.745741E+02,4.247578E-01,4.542206E+03,5.385344E+03
16:00:00,3.236310E-01,1.096390E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,6.997944E+02,4.410444E-01,4.680621E+03,5.512464E+03
17:00:00,3.196392E-01,1.085153E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,7.334214E+02,4.460587E-01,4.697540E+03,5.541111E+03
18:00:00,3.124963E-01,1.065042E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,7.754551E+02,1.720299E-01,2.133259E+03,2.780119E+03
19:00:00,3.053079E-01,1.044797E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,8.385058E+02,2.015749E-01,2.471798E+03,3.249053E+03
20:00:00,3.029938E-01,1.038267E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,8.847429E+02,1.780730E-01,2.143705E+03,2.910397E+03
21:00:00,3.020170E-01,1.035506E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,9.225733E+02,1.556974E-01,1.836070E+03,2.576705E+03
22:00:00,3.025497E-01,1.037006E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,9.604037E+02,1.362498E-01,1.563745E+03,2.279036E+03
23:00:00,3.068242E-01,1.049045E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,9.898273E+02,3.206313E-01,3.294702E+03,4.379148E+03
24:00:00,3.116762E-01,1.062709E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,1.019251E+03,2.532907E-01,2.478595E+03,3.352148E+03
Coinc Peak   ,3.246815E-01,4.460587E-01,1.099348E+04,4.697540E+03
NonCoinc Peak,3.246815E-01,4.460587E-01,1.099348E+04,4.697540E+03
