Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),LIVING_UNIT1_FRONTROW_BOTTOMFLOOR:Zone Mean Air Temperature [C](TimeStep),Electricity:Facility [J](TimeStep),NaturalGas:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Heating:NaturalGas [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,-2.0,-2.000002335045541,-2.000002335045541,21.999998045412937,36489912.867246464,58653117.17881924,25836502.599204574,913962.7514959001,438473.423252895,4720424.663127804,149180.07309967247,0.0,0.0,58653117.17881924,0.0 
 01/12  02:00:00,-4.2,-4.2,-4.2,22.000035964167303,34479976.748700775,92389161.02597186,23433657.347876005,913962.7514959001,194813.59912604262,4618322.922426349,119312.11413860306,0.0,0.0,92389161.02597186,0.0 
 01/12  03:00:00,-5.9,-6.198630539634405,-6.198630539634405,21.999307853457182,33642093.35205127,96844881.93403096,22429740.698760387,913962.7514959001,145967.37412523094,4517408.4112679325,59576.19621646439,0.0,0.0,96844881.93403096,0.0 
 01/12  04:00:00,-7.2,-7.555630191230219,-7.555630191230219,22.00011122959242,33016542.1718543,106227970.86072108,21729431.235979646,913962.7514959001,97406.7995630209,4383251.47290439,59576.19621646439,0.0,0.0,106227970.86072108,0.0 
 01/12  05:00:00,-8.0,-8.48978480259312,-8.48978480259312,22.000151294206386,34860611.44823279,107994025.81183928,21691689.615990315,2741888.254487699,97406.7995630209,4315579.388951098,119312.11413860306,0.0,0.0,107994025.81183928,0.0 
 01/12  06:00:00,-8.3,-8.6320544214861,-8.6320544214861,22.00018461135202,40469329.989402354,105256245.8484432,24393151.97135015,5712267.196849375,292220.39868906356,4315579.388951098,179048.03206074148,0.0,0.0,105256245.8484432,0.0 
 01/12  07:00:00,-8.5,-8.82783271692919,-8.82783271692919,22.00018015824025,74756283.81047629,166952961.23714218,30469896.092068538,6397739.2604713,584726.447816728,4484165.9840628095,358096.06412148295,0.0,0.0,166952961.23714218,0.0 
 01/12  08:00:00,-8.8,-9.12154745585115,-9.12154745585115,22.00018691738748,61489961.87360084,126978794.70441547,36530096.29223999,5712267.196849375,877232.4969443938,4720424.663127804,776087.7678707795,0.0,0.0,126978794.70441547,0.0 
 01/12  09:00:00,-9.5,-9.84154915451958,-9.84154915451958,22.00007767150236,45279334.250541985,103194807.63071859,37091361.89418331,2513397.5666137254,1657343.844764368,4821339.174286224,1164211.5126590051,0.0,0.0,103194807.63071859,0.0 
 01/12  10:00:00,-10.3,-10.851947589119767,-10.851947589119767,22.000077034915872,77067458.73755574,174468850.8071226,37806136.01356445,1713680.159054812,1852157.4438904074,4889011.258239515,1373287.2253864906,0.0,0.0,174468850.8071226,0.0 
