Time,LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,1.567607E+04,1.642059E+03,5.488869E-01,1.610377E-01
02:00:00,1.577603E+04,1.013884E+03,5.523854E-01,9.943536E-02
03:00:00,1.582132E+04,6.276590E+02,5.539700E-01,6.155665E-02
04:00:00,1.584708E+04,3.642321E+02,5.548713E-01,3.572122E-02
05:00:00,1.583033E+04,3.122608E+02,5.542846E-01,3.062399E-02
06:00:00,1.572099E+04,7.202303E+02,5.504565E-01,7.063809E-02
07:00:00,1.559343E+04,1.288136E+03,5.459907E-01,1.263384E-01
08:00:00,1.553531E+04,1.903363E+03,5.439568E-01,1.866727E-01
09:00:00,1.571820E+04,2.368119E+03,5.503612E-01,2.322519E-01
10:00:00,1.583260E+04,2.859984E+03,5.543653E-01,2.804874E-01
11:00:00,1.585336E+04,3.280292E+03,5.550881E-01,3.217104E-01
12:00:00,1.585693E+04,3.564723E+03,5.552091E-01,3.496081E-01
13:00:00,1.585763E+04,3.966570E+03,5.552316E-01,3.890244E-01
14:00:00,1.585871E+04,4.494470E+03,5.552691E-01,4.408090E-01
15:00:00,1.585458E+04,4.907793E+03,5.551249E-01,4.813461E-01
16:00:00,1.579951E+04,5.098222E+03,5.531965E-01,5.000195E-01
17:00:00,1.558698E+04,5.193866E+03,5.457556E-01,5.093808E-01
18:00:00,1.523806E+04,1.688502E+03,5.335401E-01,1.383266E-01
19:00:00,1.496878E+04,2.449962E+03,5.241150E-01,2.003459E-01
20:00:00,1.492682E+04,2.506829E+03,5.226503E-01,2.048741E-01
21:00:00,1.493390E+04,2.199433E+03,5.229022E-01,1.797532E-01
22:00:00,1.501476E+04,1.835904E+03,5.257354E-01,1.500437E-01
23:00:00,1.524419E+04,4.494391E+03,5.337679E-01,4.117259E-01
24:00:00,1.547928E+04,2.948487E+03,5.419978E-01,2.886727E-01
Peak,1.585871E+04,5.193866E+03,5.552691E-01,5.093808E-01

Peak Vol Flow (m3/s),,,4.660975E-01,4.275784E-01
