,DX COOLING COIL_UNIT1_FRONTROW_BOTTOMFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,13182.745,10554.834,494.496931,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,13034.95,11345.33,494.496931,74.21,61.37,0.00877074,53.60,52.09,0.00800000,83.06,0.01272282,69.78,9.0991,71.60,0.00837514,50.3555,9675.32,0.00,13188.25,10487.41
,MAIN FUEL HEATING COIL_UNIT1_FRONTROW_BOTTOMFLOOR,Coil:Heating:Fuel,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,14376.725,14376.725,-999.,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,14376.72,14376.72,494.496931,62.63,52.83,0.00634030,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,9.0991,71.59,0.00695660,41.9367,9774.73,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT2_FRONTROW_BOTTOMFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,7666.720,6139.031,285.303516,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,8245.33,6213.35,285.303516,73.42,62.41,0.00963540,53.60,52.09,0.00800000,69.44,0.01270967,65.53,15.7709,72.30,0.00905978,53.1304,5931.15,0.00,7669.92,6100.16
,MAIN FUEL HEATING COIL_UNIT2_FRONTROW_BOTTOMFLOOR,Coil:Heating:Fuel,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,11308.256,11308.256,-999.,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,11308.26,11308.26,285.303516,56.06,48.83,0.00573128,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,15.7709,71.59,0.00677007,40.8225,6660.84,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT3_FRONTROW_BOTTOMFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,10448.304,8365.490,391.925540,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,10641.40,9022.54,391.925540,73.87,61.47,0.00891504,53.60,52.09,0.00800000,77.70,0.01271761,68.16,11.4805,71.60,0.00842187,50.6319,7668.62,0.00,10452.66,8312.05
,MAIN FUEL HEATING COIL_UNIT3_FRONTROW_BOTTOMFLOOR,Coil:Heating:Fuel,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,14384.103,14384.103,-999.,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,14384.10,14384.10,391.925540,60.29,51.54,0.00617958,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,11.4805,71.59,0.00695725,41.9406,9782.21,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT1_BACKROW_BOTTOMFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,12231.938,9793.566,458.831305,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,12112.84,10433.91,458.831305,74.29,61.50,0.00883563,53.60,52.09,0.00800000,83.06,0.01272282,69.78,9.8064,71.60,0.00841300,50.5803,8977.43,0.00,12237.04,9731.01
,MAIN FUEL HEATING COIL_UNIT1_BACKROW_BOTTOMFLOOR,Coil:Heating:Fuel,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,14379.822,14379.822,-999.,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,14379.82,14379.82,458.831305,61.93,52.45,0.00629264,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,9.8064,71.59,0.00695687,41.9383,9777.87,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT2_BACKROW_BOTTOMFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,7544.872,6037.146,278.019380,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,8125.88,6056.65,278.019380,73.41,62.51,0.00970748,53.60,52.09,0.00800000,69.44,0.01270967,65.53,16.1841,72.30,0.00912778,53.5256,5783.47,0.00,7548.02,5999.54
,MAIN FUEL HEATING COIL_UNIT2_BACKROW_BOTTOMFLOOR,Coil:Heating:Fuel,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,11308.778,11308.778,-999.,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,11308.78,11308.78,278.019380,55.66,48.59,0.00570413,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,16.1841,71.59,0.00677014,40.8229,6661.37,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT3_BACKROW_BOTTOMFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,9789.095,7837.691,367.198015,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 09:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 09:00:00,10172.85,8422.32,367.198015,73.45,61.52,0.00904079,53.60,52.09,0.00800000,73.90,0.01271395,66.97,12.2536,71.60,0.00852784,51.2608,7184.69,0.00,9793.18,7787.63
,MAIN FUEL HEATING COIL_UNIT3_BACKROW_BOTTOMFLOOR,Coil:Heating:Fuel,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,14382.136,14382.136,-999.,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,14382.14,14382.14,367.198015,59.52,51.12,0.00612706,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,12.2536,71.59,0.00695708,41.9395,9780.22,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT1_FRONTROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,13057.155,10454.280,489.785934,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,12893.90,11369.14,489.785934,74.22,61.26,0.00869440,53.60,52.09,0.00800000,83.06,0.01272282,69.78,9.1867,71.60,0.00828689,49.8311,9583.38,0.00,13062.60,10387.50
,MAIN FUEL HEATING COIL_UNIT1_FRONTROW_MIDDLEFLOOR,Coil:Heating:Fuel,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,12305.966,12305.966,-999.,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,12305.97,12305.97,489.785934,62.55,53.84,0.00691015,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,9.1867,71.60,0.00759063,45.6986,7672.91,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT2_FRONTROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,8156.770,6530.761,305.967983,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,8728.72,6839.93,305.967983,73.45,62.04,0.00938301,53.60,52.09,0.00800000,69.44,0.01270967,65.53,14.7058,72.31,0.00880945,51.6759,6350.40,0.00,8160.17,6489.04
,MAIN FUEL HEATING COIL_UNIT2_FRONTROW_MIDDLEFLOOR,Coil:Heating:Fuel,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,9232.689,9232.689,-999.,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 10:00:00,9232.69,9232.69,305.967983,57.12,51.15,0.00669190,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,14.7058,71.60,0.00781405,47.0231,4554.09,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT3_FRONTROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,10444.442,8362.397,391.780663,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,10620.04,9139.46,391.780663,73.87,61.33,0.00882620,53.60,52.09,0.00800000,77.70,0.01271761,68.16,11.4847,71.60,0.00832129,50.0347,7665.90,0.00,10448.80,8308.98
,MAIN FUEL HEATING COIL_UNIT3_FRONTROW_MIDDLEFLOOR,Coil:Heating:Fuel,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,12306.863,12306.863,-999.,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,12306.86,12306.86,391.780663,60.29,52.59,0.00673996,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,11.4847,71.60,0.00759067,45.6989,7673.82,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT1_BACKROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,12027.106,9629.566,451.147852,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,11893.75,10385.73,451.147852,74.31,61.38,0.00875468,53.60,52.09,0.00800000,83.06,0.01272282,69.78,9.9734,71.60,0.00831508,49.9986,8827.33,0.00,12032.12,9568.05
,MAIN FUEL HEATING COIL_UNIT1_BACKROW_MIDDLEFLOOR,Coil:Heating:Fuel,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,12307.576,12307.576,-999.,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,12307.58,12307.58,451.147852,61.78,53.41,0.00685193,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,9.9734,71.60,0.00759070,45.6990,7674.55,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT2_BACKROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,7983.715,6392.203,299.476516,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,8552.48,6644.93,299.476516,73.44,62.12,0.00943709,53.60,52.09,0.00800000,69.44,0.01270967,65.53,15.0245,72.31,0.00885847,51.9612,6218.73,0.00,7987.05,6351.37
,MAIN FUEL HEATING COIL_UNIT2_BACKROW_MIDDLEFLOOR,Coil:Heating:Fuel,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,9231.922,9231.922,-999.,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 10:00:00,9231.92,9231.92,299.476516,56.81,50.97,0.00666755,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,15.0245,71.60,0.00781402,47.0229,4553.31,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT3_BACKROW_MIDDLEFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_MIDDLEFLOOR,9718.351,7781.049,364.544328,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 09:00:00,10080.39,8485.49,364.544328,73.45,61.36,0.00894131,53.60,52.09,0.00800000,73.90,0.01271395,66.97,12.3428,71.60,0.00833354,50.1074,7039.50,0.00,9722.41,7731.35
,MAIN FUEL HEATING COIL_UNIT3_BACKROW_MIDDLEFLOOR,Coil:Heating:Fuel,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_MIDDLEFLOOR,12303.717,12303.717,-999.,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,12303.72,12303.72,364.544328,59.44,52.11,0.00667628,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,12.3428,71.60,0.00759053,45.6981,7670.63,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT1_FRONTROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_TOPFLOOR,13363.237,10699.346,501.267348,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,13210.77,11513.13,501.267348,74.20,61.35,0.00876266,53.60,52.09,0.00800000,83.06,0.01272282,69.78,8.9762,71.60,0.00837213,50.3377,9807.78,0.00,13368.81,10631.00
,MAIN FUEL HEATING COIL_UNIT1_FRONTROW_TOPFLOOR,Coil:Heating:Fuel,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_FRONTROW_TOPFLOOR,15997.015,15997.015,-999.,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,15997.02,15997.02,501.267348,62.75,53.11,0.00646276,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,8.9762,71.59,0.00708199,42.6835,11418.95,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT2_FRONTROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_TOPFLOOR,8716.903,6979.234,326.979082,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,9341.79,7247.91,326.979082,73.48,62.15,0.00944870,53.60,52.09,0.00800000,69.44,0.01270967,65.53,13.7608,72.31,0.00892836,52.3602,6776.22,0.00,8720.54,6934.65
,MAIN FUEL HEATING COIL_UNIT2_FRONTROW_TOPFLOOR,Coil:Heating:Fuel,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_FRONTROW_TOPFLOOR,12910.050,12910.050,-999.,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,12910.05,12910.05,326.979082,58.04,50.29,0.00603206,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,13.7608,71.59,0.00696531,41.9860,8286.28,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT3_FRONTROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_TOPFLOOR,10423.227,8345.412,390.984890,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,10616.43,8997.68,390.984890,73.87,61.48,0.00891757,53.60,52.09,0.00800000,77.70,0.01271761,68.16,11.5081,71.60,0.00842338,50.6409,7650.22,0.00,10427.58,8292.10
,MAIN FUEL HEATING COIL_UNIT3_FRONTROW_TOPFLOOR,Coil:Heating:Fuel,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_FRONTROW_TOPFLOOR,15993.299,15993.299,-999.,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,15993.30,15993.30,390.984890,60.26,51.74,0.00628787,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,11.5081,71.59,0.00708174,42.6820,11415.18,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT1_BACKROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_TOPFLOOR,12744.781,10204.176,478.068519,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 17:00:00,12611.43,10916.09,478.068519,74.25,61.44,0.00880498,53.60,52.09,0.00800000,83.06,0.01272282,69.78,9.4118,71.60,0.00839793,50.4909,9353.83,0.00,12750.10,10138.99
,MAIN FUEL HEATING COIL_UNIT1_BACKROW_TOPFLOOR,Coil:Heating:Fuel,AirLoopHVAC,CENTRAL SYSTEM_UNIT1_BACKROW_TOPFLOOR,15996.442,15996.442,-999.,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,15996.44,15996.44,478.068519,62.32,52.87,0.00643267,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,9.4118,71.59,0.00708196,42.6833,11418.36,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT2_BACKROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_TOPFLOOR,8683.749,6952.690,325.735457,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 23:00:00,9309.15,7205.00,325.735457,73.48,62.17,0.00946436,53.60,52.09,0.00800000,69.44,0.01270967,65.53,13.8134,72.31,0.00894423,52.4524,6750.97,0.00,8687.37,6908.28
,MAIN FUEL HEATING COIL_UNIT2_BACKROW_TOPFLOOR,Coil:Heating:Fuel,AirLoopHVAC,CENTRAL SYSTEM_UNIT2_BACKROW_TOPFLOOR,12907.778,12907.778,-999.,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,12907.78,12907.78,325.735457,57.99,50.26,0.00602830,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,13.8134,71.59,0.00696508,41.9846,8283.98,0.00,-999.0,-999.0
,DX COOLING COIL_UNIT3_BACKROW_TOPFLOOR,Coil:Cooling:DX:SingleSpeed,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_TOPFLOOR,9719.177,7781.710,364.575307,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 10:00:00,INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB,7/21 09:00:00,10100.17,8363.11,364.575307,73.45,61.52,0.00904019,53.60,52.09,0.00800000,73.90,0.01271395,66.97,12.3418,71.60,0.00843949,50.7363,7071.72,0.00,9723.23,7732.00
,MAIN FUEL HEATING COIL_UNIT3_BACKROW_TOPFLOOR,Coil:Heating:Fuel,AirLoopHVAC,CENTRAL SYSTEM_UNIT3_BACKROW_TOPFLOOR,15989.306,15989.306,-999.,-999.,-999.00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB,1/21 11:00:00,15989.31,15989.31,364.575307,59.44,51.28,0.00623012,122.00,74.93,0.00800000,-26.9,0.00018338,-26.9,12.3418,71.59,0.00708147,42.6804,11411.12,0.00,-999.0,-999.0


----------------------------------------------------------------------------------------------------
REPORT:,Coil Sizing Details
FOR:,Entire Facility
Coils

,,Coil Type,Coil Location,HVAC Type,HVAC Name,Zone Name(s),System Sizing Method Concurrence,System Sizing Method Capacity,System Sizing Method Air Flow,Autosized Coil Capacity?,Autosized Coil Airflow?,Autosized Coil Water Flow?,OA Pretreated prior to coil inlet?,Coil Final Gross Total Capacity [Btu/h],Coil Final Gross Sensible Capacity [Btu/h],Coil Final Reference Air Volume Flow Rate [ft3/min],Coil Final Reference Plant Fluid Volume Flow Rate [ft3/min],Coil U-value Times Area Value [Btu/h-F],Terminal Unit Reheat Coil Multiplier,DX Coil Capacity Increase Ratio from Too Low Flow/Capacity Ratio,DX Coil Capacity Decrease Ratio from Too High Flow/Capacity Ratio,Moist Air Heat Capacity [Btu/lbm-R],Dry Air Heat Capacity [Btu/lbm-R],Standard Air Density Adjusted for Elevation [lb/ft3],Supply Fan Name for Coil,Supply Fan Type for Coil,Supply Fan Maximum Air Volume Flow Rate [ft3/min],Supply Fan Maximum Air Mass Flow Rate [lb/s],Plant Name for Coil,Plant Fluid Specific Heat Capacity [Btu/lbm-R],Plant Fluid Density [lb/ft3],Plant Maximum Fluid Mass Flow Rate [lb/s],Plant Design Fluid Return Temperature [F],Plant Design Fluid Supply Temperature [F],Plant Design Fluid Temperature Difference [deltaF],Plant Design Capacity [Btu/h],Coil Capacity Percentage of Plant Design Capacity [%],Coil Fluid Flow Rate Percentage of Plant Design Flow Rate [%],Design Day Name at Sensible Ideal Loads Peak,Date/Time at Sensible Ideal Loads Peak,Design Day Name at Total Ideal Loads Peak,Date/Time at Total Ideal Loads Peak,Design Day Name at Air Flow Ideal Loads Peak,Date/Time at Air Flow Ideal Loads Peak,Peak Load Type to Size On,Coil Total Capacity at Ideal Loads Peak [Btu/h],Coil Sensible Capacity at Ideal Loads Peak [Btu/h],Coil Off-Rating Capacity Modifier at Ideal Loads Peak [],Coil Air Mass Flow Rate at Ideal Loads Peak [lb/s],Coil Air Volume Flow Rate at Ideal Loads Peak [ft3/min],Coil Entering Air Drybulb at Ideal Loads Peak [F],Coil Entering Air Wetbulb at Ideal Loads Peak [F],Coil Entering Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Coil Entering Air Enthalpy at Ideal Loads Peak [Btu/lbm-R],Coil Leaving Air Drybulb at Ideal Loads Peak [F],Coil Leaving Air Wetbulb at Ideal Loads Peak [F],Coil Leaving Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Coil Leaving Air Enthalpy at Ideal Loads Peak [Btu/lbm-R],Coil Plant Fluid Mass Flow Rate at Ideal Loads Peak [lb/s],Coil Entering Plant Fluid Temperature at Ideal Loads Peak [F],Coil Leaving Plant Fluid Temperature at Ideal Loads Peak [F],Coil Plant Fluid Temperature Difference at Ideal Loads Peak [deltaF],Supply Fan Air Heat Gain at Ideal Loads Peak [Btu/h],Coil and Fan Net Total Capacity at Ideal Loads Peak [Btu/h],Outdoor Air Drybulb at Ideal Loads Peak [F],Outdoor Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Outdoor Air Wetbulb at Ideal Loads Peak [F],Outdoor Air Volume Flow Rate at Ideal Loads Peak [ft3/min],Outdoor Air Flow Percentage at Ideal Loads Peak [%],System Return Air Drybulb at Ideal Loads Peak [F],System Return Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Zone Air Drybulb at Ideal Loads Peak [F],Zone Air Humidity Ratio at Ideal Loads Peak [lbWater/lbDryAir],Zone Air Relative Humidity at Ideal Loads Peak [%],Zone Sensible Heat Gain at Ideal Loads Peak [Btu/h],Zone Latent Heat Gain at Ideal Loads Peak [Btu/h],Coil Total Capacity at Rating Conditions [Btu/h],Coil Sensible Capacity at Rating Conditions [Btu/h],Coil Air Mass Flow Rate at Rating Conditions [lb/s],Coil Entering Air Drybulb at Rating Conditions [F],Coil Entering Air Wetbulb at Rating Conditions [F],Coil Entering Air Humidity Ratio at Rating Conditions [lbWater/lbDryAir],Coil Entering Air Enthalpy at Rating Conditions [Btu/lbm-R],Coil Leaving Air Drybulb at Rating Conditions [F],Coil Leaving Air Wetbulb at Rating Conditions [F],Coil Leaving Air Humidity Ratio at Rating Conditions [lbWater/lbDryAir],Coil Leaving Air Enthalpy at Rating Conditions [Btu/lbm-R]
