Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),LIVING_UNIT1_FRONTROW_BOTTOMFLOOR:Zone Mean Air Temperature [C](TimeStep),Electricity:Facility [J](TimeStep),NaturalGas:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Heating:NaturalGas [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,-2.0,-2.000002335045541,-2.000002335045541,22.00015080377808,38981426.20739905,138776284.35107803,25836502.599204574,913962.7514959001,438473.423252895,4720424.663127804,149180.07309967247,0.0,0.0,138776284.35107803,0.0 
 01/12  02:00:00,-4.2,-4.2,-4.2,22.000474527892617,36653188.49648807,166175422.72067964,23433657.347876005,913962.7514959001,194813.59912604262,4618322.922426349,119312.11413860306,0.0,0.0,166175422.72067964,0.0 
 01/12  03:00:00,-5.9,-6.198630539634405,-6.198630539634405,22.000705381440675,35660106.888714984,171563573.00051847,22429740.698760387,913962.7514959001,145967.37412523094,4517408.4112679325,59576.19621646439,0.0,0.0,171563573.00051847,0.0 
 01/12  04:00:00,-7.2,-7.555630191230219,-7.555630191230219,22.00064321107184,35114035.148941375,181035549.3921764,21729431.235979646,913962.7514959001,97406.7995630209,4383251.47290439,59576.19621646439,0.0,0.0,181035549.3921764,0.0 
 01/12  05:00:00,-8.0,-8.48978480259312,-8.48978480259312,22.000728400303107,36978191.652710386,185654558.30677623,21691689.615990315,2741888.254487699,97406.7995630209,4315579.388951098,119312.11413860306,0.0,0.0,185654558.30677623,0.0 
 01/12  06:00:00,-8.3,-8.6320544214861,-8.6320544214861,22.000849112620408,42602620.362829715,184039768.70746952,24393151.97135015,5712267.196849375,292220.39868906356,4315579.388951098,179048.03206074148,0.0,0.0,184039768.70746952,0.0 
 01/12  07:00:00,-8.5,-8.82783271692919,-8.82783271692919,22.00081003626259,76875935.03323282,244880735.93524933,30469896.092068538,6397739.2604713,584726.447816728,4484165.9840628095,358096.06412148295,0.0,0.0,244880735.93524933,0.0 
 01/12  08:00:00,-8.8,-9.12154745585115,-9.12154745585115,22.000799969167343,63712990.39786024,207716570.0739416,36530096.29223999,5712267.196849375,877232.4969443938,4720424.663127804,776087.7678707795,0.0,0.0,207716570.0739416,0.0 
 01/12  09:00:00,-9.5,-9.84154915451958,-9.84154915451958,22.000722003253365,47413035.80501399,183212362.1227659,37091361.89418331,2513397.5666137254,1657343.844764368,4821339.174286224,1164211.5126590051,0.0,0.0,183212362.1227659,0.0 
 01/12  10:00:00,-10.3,-10.851947589119767,-10.851947589119767,22.000736051813785,79249576.56614192,255640770.01797247,37806136.01356445,1713680.159054812,1852157.4438904074,4889011.258239515,1373287.2253864906,0.0,0.0,255640770.01797247,0.0 
 01/12  11:00:00,-10.7,-11.683582416890017,-11.683582416890017,22.00080755373108,76893305.3175816,240627752.78041682,38631885.27524645,1713680.159054812,1608497.6197635545,4720424.663127804,1343419.2664254215,0.0,0.0,240627752.78041682,0.0 
 01/12  12:00:00,-10.8,-11.743740311828423,-11.743740311828423,22.00102612840373,48849324.20688061,185193813.7021063,39324937.046586715,1713680.159054812,1364837.795636699,4720424.663127804,1194079.4716200747,0.0,0.0,185193813.7021063,0.0 
 01/12  13:00:00,-10.6,-11.523093849872815,-11.523093849872815,22.00112564116277,48104495.4305304,185780710.28721255,38594952.87661496,1713680.159054812,1169738.5460720598,4955496.112649762,1074607.6357757982,0.0,0.0,185780710.28721255,0.0 
