Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),LIVING_UNIT1_FRONTROW_BOTTOMFLOOR:Zone Mean Air Temperature [C](TimeStep),Electricity:Facility [J](TimeStep),NaturalGas:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),gas_dryer:InteriorEquipment:Electricity [J](TimeStep),gas_range:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),InteriorEquipment:NaturalGas [J](TimeStep),Heating:Electricity [J](TimeStep),Heating:NaturalGas [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,-2.0,-2.000002335045541,-2.000002335045541,21.999999996015372,39505642.46619558,165001575.62940744,27352700.548185937,913962.7514959001,438473.423252895,4720424.663127804,149180.07309967247,127842.46852420052,0.0,0.0,5851976.339584516,0.0,151665931.62926918,0.0 
 01/12  02:00:00,-4.2,-4.2,-4.2,21.99999999993983,37660555.14700306,168073169.4914837,25188735.308325555,913962.7514959001,194813.59912604262,4618322.922426349,119312.11413860306,76705.48111452046,0.0,0.0,4661436.341888673,0.0,159383457.80942982,0.0 
 01/12  03:00:00,-5.9,-6.198630539634405,-6.198630539634405,21.999999999997346,37409199.2046715,172086661.19664785,24719704.00179709,913962.7514959001,145967.37412523094,4517408.4112679325,59576.19621646439,51136.98740968035,0.0,0.0,3430522.5199065423,0.0,166071555.17687726,0.0 
 01/12  04:00:00,-7.2,-7.555630191230219,-7.555630191230219,21.999999999999922,37234468.9212974,182329922.77915156,24230658.60467579,913962.7514959001,97406.7995630209,4383251.47290439,59576.19621646439,25568.493704840123,0.0,0.0,2885363.2943852283,0.0,176515373.2100492,0.0 
 01/12  05:00:00,-8.0,-8.48978480259312,-8.48978480259312,21.999999999999996,38502517.439137064,192275025.53287885,23505448.378342796,2741888.254487699,97406.7995630209,4315579.388951098,119312.11413860306,51136.98740968035,0.0,0.0,4033008.4681529924,0.0,182254682.65850872,0.0 
 01/12  06:00:00,-8.3,-8.6320544214861,-8.6320544214861,22.0,43904699.68963148,204274956.4605077,25978999.127304506,5712267.196849375,292220.39868906356,4315579.388951098,179048.03206074148,76705.48111452046,0.0,0.0,5429009.773218915,0.0,181295008.50976261,0.0 
 01/12  07:00:00,-8.5,-8.82783271692919,-8.82783271692919,22.0,43959689.65828511,227397644.1090811,30028357.648489095,6397739.2604713,584726.447816728,4484165.9840628095,358096.06412148295,204547.94963872098,0.0,0.0,11071886.833631942,0.0,176714784.49888963,0.0 
 01/12  08:00:00,-8.8,-9.12154745585115,-9.12154745585115,22.0,46014566.151945144,245941049.5190048,32706291.21586303,5712267.196849375,877232.4969443938,4720424.663127804,776087.7678707795,409095.89927744196,0.0,0.0,18816651.74731952,0.0,178902924.56046474,0.0 
 01/12  09:00:00,-9.5,-9.84154915451958,-9.84154915451958,21.999787622485844,40224183.636629194,249889373.5484455,30183519.871527705,2513397.5666137254,1657343.844764368,4821339.174286224,1164211.5126590051,623845.4196367817,0.0,0.0,23540665.363830738,0.0,176660337.5760628,0.0 
 01/12  10:00:00,-10.3,-10.851947589119767,-10.851947589119767,21.999991241980975,37032110.88239161,257192602.4983053,27646938.289928388,1713680.159054812,1852157.4438904074,4889011.258239515,1373287.2253864906,879530.356685183,0.0,0.0,28889710.767046157,0.0,181929570.648916,0.0 
 01/12  11:00:00,-10.7,-11.683582416890017,-11.683582416890017,21.999998543184944,37054796.69464441,250443490.33521605,27771352.927894708,1713680.159054812,1608497.6197635545,4720424.663127804,1343419.2664254215,1007372.8252093834,0.0,0.0,30430425.224975333,0.0,179413245.36870754,0.0 
 01/12  12:00:00,-10.8,-11.743740311828423,-11.743740311828423,21.999999756231006,36712292.40374049,247226648.0010933,27425137.87962011,1713680.159054812,1364837.795636699,4720424.663127804,1194079.4716200747,1048308.2418984461,0.0,0.0,32642950.0846883,0.0,179879170.9756971,0.0 
 01/12  13:00:00,-10.6,-11.523093849872815,-11.523093849872815,21.999999959339426,36190574.59154474,241316969.97886336,26931862.371363785,1713680.159054812,1169738.5460720598,4955496.112649762,1074607.6357757982,956235.8377997031,0.0,0.0,32116125.78860367,0.0,179096081.6121962,0.0 
 01/12  14:00:00,-10.3,-11.438126231914245,-11.438126231914245,21.999999993196436,36843028.64908031,236313823.7036849,27521152.320463695,1713680.159054812,1315991.5706358887,4955496.112649762,955295.5216371961,869328.7859645649,0.0,0.0,28332548.93900536,0.0,181004649.17947724,0.0 
 01/12  15:00:00,-9.8,-10.839810800675263,-10.839810800675263,21.99999999887633,37325118.77269449,228468672.3076322,28098420.546367235,1713680.159054812,1072331.7465090365,4889011.258239515,835823.6857929175,782421.7341294265,0.0,0.0,26241082.17973883,0.0,177788417.46904013,0.0 
 01/12  16:00:00,-9.3,-10.26873986632781,-10.26873986632781,21.99999999981511,39621975.15054936,228093516.78988928,29155972.865033984,2970378.9423616747,1023485.5215082268,4955496.112649762,776087.7678707795,741486.3174403644,0.0,0.0,27984173.243114583,0.0,176902256.53850183,0.0 
 01/12  17:00:00,-9.0,-9.631936030197465,-9.631936030197465,21.999999999969763,47271575.50305918,236157496.7669661,33439684.12781704,6397739.2604713,1072331.7465090365,5226184.44846293,805955.7268318479,715917.8237355244,0.0,0.0,34690151.07145464,0.0,174680096.046831,0.0 
 01/12  18:00:00,-9.0,-9.5608035705968,-9.5608035705968,21.99999999999522,55628759.78771049,238801762.84066284,39745329.539308414,8911136.827085022,1413398.3701989125,5731944.233798051,776087.7678707795,700550.900751302,0.0,0.0,46145019.54326164,0.0,160145949.77079841,0.0 
 01/12  19:00:00,-9.1,-10.008556105180014,-10.008556105180014,21.999999999999265,66777713.41913823,227507668.80198076,43617977.676604085,11995761.113383692,2486015.7671465483,5900530.828909755,776087.7678707795,664780.8363258442,0.0,0.0,39168572.04791574,0.0,149941841.0107249,0.0 
 01/12  20:00:00,-9.4,-10.742193848268183,-10.742193848268183,21.999999999999947,69809894.35087232,222372652.7366215,45209551.04674158,13294003.658122186,3168434.664964901,5731944.233798051,776087.7678707795,654579.2656052251,0.0,0.0,28029144.924741067,0.0,154743402.86693102,0.0 
 01/12  21:00:00,-10.1,-11.31333528157844,-11.31333528157844,22.000006200033823,70308280.96731769,216287118.88821045,45675432.05836988,13294003.658122186,2583422.566709569,5563357.63868634,776087.7678707795,674982.407046462,0.0,0.0,23724929.214083172,0.0,156152520.79515594,0.0 
 01/12  22:00:00,-10.9,-12.205826279051855,-12.205826279051855,22.000000288298178,65723089.61660037,219688278.9468351,44044333.783121735,10053590.266454902,1901003.6688912208,5461255.897984883,746219.8089097101,700550.900751302,0.0,0.0,22107072.31167421,0.0,165675792.9223257,0.0 
 01/12  23:00:00,-12.1,-13.098383856871454,-13.098383856871454,21.99994215386618,55541635.52630894,215580311.77014086,38054912.15261661,5598021.852912389,1267145.345635079,5226184.44846293,507435.85892682965,562506.8615064835,0.0,0.0,17096049.650594376,0.0,174491091.35277042,0.0 
 01/12  24:00:00,-13.5,-14.428912969801702,-14.428912969801702,21.999998092499226,47421562.44309248,214142599.20629197,32838385.066147096,2284906.8787397505,877232.4969443938,4889011.258239515,268651.90894395043,306821.9244580813,0.0,0.0,10578766.75697427,0.0,188028261.9152735,0.0 
