Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),LIVING_UNIT1:Zone Mean Air Temperature [C](TimeStep),Electricity:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,-2.0,-2.000002335045541,-2.000002335045541,22.000045086575472,3344823.181563154,2423710.5078233546,83652.61855354601,29359.646160636934,262245.8146182114,9989.88619413263,0.0,0.0,0.0 
 01/12  02:00:00,-4.2,-4.2,-4.2,21.99997301948742,3236111.0918810107,2204854.2592960866,83652.61855354601,13044.481225768317,256573.49569035263,7989.769793380162,0.0,0.0,0.0 
 01/12  03:00:00,-5.9,-6.198630539634405,-6.198630539634405,21.999575612259466,3186030.315851975,2130968.725358217,83652.61855354601,9773.797516668043,250967.13395932948,3989.536991875235,0.0,0.0,0.0 
 01/12  04:00:00,-7.2,-7.555630191230219,-7.555630191230219,21.999730165286184,3188367.6483485075,2076109.0398318248,83652.61855354601,6522.2406128841585,243513.97071691064,3989.536991875235,0.0,0.0,0.0 
 01/12  05:00:00,-8.0,-8.48978480259312,-8.48978480259312,21.999644263727383,3355795.7666704208,2048824.1082936786,250957.855660638,6522.2406128841585,239754.41049728324,7989.769793380162,0.0,0.0,0.0 
 01/12  06:00:00,-8.3,-8.6320544214861,-8.6320544214861,21.99932334967518,3856490.4825124126,2304415.351728236,522828.86595966254,19566.721838652476,239754.41049728324,11990.002594885089,0.0,0.0,0.0 
 01/12  07:00:00,-8.5,-8.82783271692919,-8.82783271692919,21.999755056053175,6045550.069645895,2820625.9585106582,585568.329874822,39152.57048262144,249120.3324479338,23980.005189770178,0.0,0.0,0.0 
 01/12  08:00:00,-8.8,-9.12154745585115,-9.12154745585115,21.999780703066193,6482000.483959671,3274713.361686757,522828.86595966254,58738.41912658998,262245.8146182114,51970.93899067497,0.0,0.0,0.0 
 01/12  09:00:00,-9.5,-9.84154915451958,-9.84154915451958,21.999265996165185,5121034.961744399,3173562.028195702,230044.7010222515,110973.72444561248,267852.1763492346,77961.75639082717,0.0,0.0,0.0 
 01/12  10:00:00,-10.3,-10.851947589119767,-10.851947589119767,21.99929799963208,4991492.3947396,3108320.649174777,156848.65978789877,124018.20567138083,271611.73656886193,91962.57119609449,0.0,0.0,0.0 
 01/12  11:00:00,-10.7,-11.683582416890017,-11.683582416890017,21.999526707683085,5946228.291162941,3180213.4409553325,156848.65978789877,107703.04073651227,262245.8146182114,89962.45479534201,0.0,0.0,0.0 
 01/12  12:00:00,-10.8,-11.743740311828423,-11.743740311828423,21.999722712832607,5247369.382505348,3226508.9837262738,156848.65978789877,91387.87580164369,262245.8146182114,79961.87279157966,0.0,0.0,0.0 
 01/12  13:00:00,-10.6,-11.523093849872815,-11.523093849872815,21.999911479015843,4126616.554151606,3164107.770883791,156848.65978789877,78324.26777055899,275305.33959165344,71961.40718856991,0.0,0.0,0.0 
 01/12  14:00:00,-10.3,-11.438126231914245,-11.438126231914245,21.998855659205386,4956141.432716824,3097944.404906937,156848.65978789877,88117.19209254326,275305.33959165344,63971.63739518969,0.0,0.0,0.0 
 01/12  15:00:00,-9.8,-10.839810800675263,-10.839810800675263,21.999809534529906,5839006.958542097,3092850.3958465457,156848.65978789877,71802.02715767492,271611.73656886193,55971.17179217984,0.0,0.0,0.0 
