Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),LIVING_UNIT1_FRONTROW_BOTTOMFLOOR:Zone Mean Air Temperature [C](TimeStep),Electricity:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,-2.0,-2.000002335045541,-2.000002335045541,22.00001392299932,81551485.91251889,25836502.599204574,913962.7514959001,438473.423252895,4720424.663127804,149180.07309967247,0.0,41699708.15979846,0.0 
 01/12  02:00:00,-4.2,-4.2,-4.2,22.00003561426346,83979703.10793628,23433657.347876005,913962.7514959001,194813.59912604262,4618322.922426349,119312.11413860306,0.0,45300733.12583781,0.0 
 01/12  03:00:00,-5.9,-6.198630539634405,-6.198630539634405,22.000054664093526,83856013.9993599,22429740.698760387,913962.7514959001,145967.37412523094,4517408.4112679325,59576.19621646439,0.0,45550947.711056344,0.0 
 01/12  04:00:00,-7.2,-7.555630191230219,-7.555630191230219,22.00002388609824,87371897.36370434,21729431.235979646,913962.7514959001,97406.7995630209,4383251.47290439,59576.19621646439,0.0,49185843.102603346,0.0 
 01/12  05:00:00,-8.0,-8.48978480259312,-8.48978480259312,22.00112106740037,90980345.02871007,21691689.615990315,2741888.254487699,97406.7995630209,4315579.388951098,119312.11413860306,0.0,50768953.04602067,0.0 
 01/12  06:00:00,-8.3,-8.6320544214861,-8.6320544214861,22.0014056458211,96884111.58805166,24393151.97135015,5712267.196849375,292220.39868906356,4315579.388951098,179048.03206074148,0.0,50998809.470639125,0.0 
 01/12  07:00:00,-8.5,-8.82783271692919,-8.82783271692919,22.000518786727085,173719347.14883864,30469896.092068538,6397739.2604713,584726.447816728,4484165.9840628095,358096.06412148295,0.0,94411348.38332704,0.0 
 01/12  08:00:00,-8.8,-9.12154745585115,-9.12154745585115,22.00059494381244,135711837.62365976,36530096.29223999,5712267.196849375,877232.4969443938,4720424.663127804,776087.7678707795,0.0,68834927.34856524,0.0 
 01/12  09:00:00,-9.5,-9.84154915451958,-9.84154915451958,22.001029927107275,101067647.21407415,37091361.89418331,2513397.5666137254,1657343.844764368,4821339.174286224,1164211.5126590051,0.0,50170489.96899818,0.0 
 01/12  10:00:00,-10.3,-10.851947589119767,-10.851947589119767,22.00010395850356,183403212.7336399,37806136.01356445,1713680.159054812,1852157.4438904074,4889011.258239515,1373287.2253864906,0.0,101804924.85762365,0.0 
 01/12  11:00:00,-10.7,-11.683582416890017,-11.683582416890017,22.000018194190865,167415207.30696237,38631885.27524645,1713680.159054812,1608497.6197635545,4720424.663127804,1343419.2664254215,0.0,87707114.04588096,0.0 
 01/12  12:00:00,-10.8,-11.743740311828423,-11.743740311828423,22.001083570785536,99838559.8310256,39324937.046586715,1713680.159054812,1364837.795636699,4720424.663127804,1194079.4716200747,0.0,47426707.454235464,0.0 
 01/12  13:00:00,-10.6,-11.523093849872815,-11.523093849872815,22.00145203799483,98694066.24650164,38594952.87661496,1713680.159054812,1169738.5460720598,4955496.112649762,1074607.6357757982,0.0,47047447.16753975,0.0 
 01/12  14:00:00,-10.3,-11.438126231914245,-11.438126231914245,22.000554128047217,174292942.27253306,37267631.61147033,1713680.159054812,1315991.5706358887,4955496.112649762,955295.5216371961,0.0,93118149.74854493,0.0 
 01/12  15:00:00,-9.8,-10.839810800675263,-10.839810800675263,22.000079705692574,111272859.03062995,36617461.96882949,1713680.159054812,1072331.7465090365,4889011.258239515,835823.6857929175,0.0,54310653.65781301,0.0 
 01/12  16:00:00,-9.3,-10.26873986632781,-10.26873986632781,22.000045610845252,97676836.56174117,38225869.85629992,2970378.9423616747,1023485.5215082268,4955496.112649762,776087.7678707795,0.0,45324900.41581655,0.0 
 01/12  17:00:00,-9.0,-9.631936030197465,-9.631936030197465,22.000039943841603,109986557.19186653,44795449.52530815,6397739.2604713,1072331.7465090365,5226184.44846293,805955.7268318479,0.0,47606588.15907895,0.0 
 01/12  18:00:00,-9.0,-9.5608035705968,-9.5608035705968,22.000004966890785,191694252.52634913,55269617.26711448,8911136.827085022,1413398.3701989125,5731944.233798051,776087.7678707795,0.0,85431833.64627181,0.0 
 01/12  19:00:00,-9.1,-10.008556105180014,-10.008556105180014,22.000000296848746,166285357.1397424,55399498.511634886,11995761.113383692,2486015.7671465483,5900530.828909755,776087.7678707795,0.0,60447679.88936265,0.0 
 01/12  20:00:00,-9.4,-10.742193848268183,-10.742193848268183,22.000043749783323,116987486.02397645,51663709.24382042,13294003.658122186,3168434.664964901,5731944.233798051,776087.7678707795,0.0,37132940.03850591,0.0 
 01/12  21:00:00,-10.1,-11.31333528157844,-11.31333528157844,22.00006076933124,115869136.28788473,49934365.634654075,13294003.658122186,2583422.566709569,5563357.63868634,776087.7678707795,0.0,37649613.48848,0.0 
 01/12  22:00:00,-10.9,-12.205826279051855,-12.205826279051855,22.00000347270494,188993194.22010767,47741914.334141746,10053590.266454902,1901003.6688912208,5461255.897984883,746219.8089097101,0.0,84624455.6559373,0.0 
 01/12  23:00:00,-12.1,-13.098383856871454,-13.098383856871454,22.000000420345984,143814432.31183422,40294035.26445979,5598021.852912389,1267145.345635079,5226184.44846293,507435.85892682965,0.0,66551963.16192788,0.0 
 01/12  24:00:00,-13.5,-14.428912969801702,-14.428912969801702,22.000000026035014,104925480.72009365,32708042.448952936,2284906.8787397505,877232.4969443938,4889011.258239515,268651.90894395043,0.0,53739400.86171073,0.0 
