Loading (p.u.),Name,Bus1,Bus2
1.0013601038454556,Line.l(r:p1ulv48788-udt18601lv),udt18601lv.1.2,p1ulv48788.1.2
1.0101912366535521,Line.l(r:p1ulv29836-udm40214),udm40214.1.2,p1ulv29836.1.2
1.0255933187450847,Line.l(r:p1ulv35352-udt14372lv),udt14372lv.1.2,p1ulv35352.1.2
1.0395901375775454,Line.l(r:p1ulv10507-udt4843lv),udt4843lv.1.2,p1ulv10507.1.2
1.0713671553834794,Line.l(r:udm39581-udt11752lv),udt11752lv.1.2,udm39581.1.2
1.09000419341108,Line.recloser_disswitch(r:udt13648-udt14369)u_85293,udt13648.1.2.3,udt13648-udt14369x.1.2.3
1.1146318678199065,Line.l(r:p1ulv27646-udm39581),udm39581.1.2,p1ulv27646.1.2
1.1164675868429006,Line.l(r:udm16478-udt4329lv),udt4329lv.1.2,udm16478.1.2
1.1284085862287538,Line.l(r:p1ulv47179-udt18207lv),udt18207lv.1.2,p1ulv47179.1.2
1.1533281315715742,Line.l(r:udm18366-udt4843lv),udt4843lv.1.2,udm18366.1.2
1.153328164844809,Line.l(r:p1ulv10508-udm18366),udm18366.1.2,p1ulv10508.1.2
1.1785129141325201,Line.l(r:p1ulv31914-udt13426lv),udt13426lv.1.2,p1ulv31914.1.2
1.1832102804299889,Line.l(r:p1ulv36894-udt14727lv),udt14727lv.1.2,p1ulv36894.1.2
1.1842476436167804,Line.l(r:p1ulv9389-udm16478),udm16478.1.2,p1ulv9389.1.2
1.4801293586011206,Line.l(r:udm16480-udt4329lv),udt4329lv.1.2,udm16480.1.2
1.4801295740629745,Line.l(r:p1ulv38744-udm16480),udm16480.1.2,p1ulv38744.1.2
1.4804062568605525,Line.l(r:p1ulv2859-udt1343lv),udt1343lv.1.2,p1ulv2859.1.2
1.514132517286115,Line.l(r:udm38016-udm38017),udm38016.1.2,udm38017.1.2
1.5141325589589287,Line.l(r:p1ulv37908-udm38017),udm38017.1.2,p1ulv37908.1.2
1.5193590119245606,Line.l(r:p1ulv44475-udt17379lv),udt17379lv.1.2,p1ulv44475.1.2
1.5273911610553852,Line.l(r:p1ulv47722-udt18303lv),udt18303lv.1.2,p1ulv47722.1.2
1.5341050260654292,Line.l(r:p1ulv26640-udm38015),udm38015.1.2,p1ulv26640.1.2
1.542515803898008,Line.l(r:p1ulv10503-udt4839lv),udt4839lv.1.2,p1ulv10503.1.2
1.5534416138959788,Line.l(r:p1ulv38123-udt14998lv),udt14998lv.1.2,p1ulv38123.1.2
1.6744736195096457,Line.l(r:p1ulv48823-udt4843lv),udt4843lv.1.2,p1ulv48823.1.2
1.718105416256026,Line.l(r:p1ulv45953-udt17834lv),udt17834lv.1.2,p1ulv45953.1.2
1.7338641195500175,Line.l(r:udm44090-udt13697lv),udt13697lv.1.2,udm44090.1.2
1.7338642131454387,Line.l(r:p1ulv50572-udm44090),udm44090.1.2,p1ulv50572.1.2
1.7762346836079812,Line.l(r:udm41213-udt12360lv),udt12360lv.1.2,udm41213.1.2
1.7762347269984482,Line.l(r:p1ulv32063-udm41213),udm41213.1.2,p1ulv32063.1.2
1.7801602092859161,Line.l(r:p1ulv24519-udt10561lv),udt10561lv.1.2,p1ulv24519.1.2
1.7831978255862584,Line.l(r:udm44685-udm44688),udm44688.1.2,udm44685.1.2
1.783197856686918,Line.l(r:p1ulv33886-udm44685),udm44685.1.2,p1ulv33886.1.2
1.8282879516348842,Line.l(r:udm44688-udt13999lv),udt13999lv.1.2,udm44688.1.2
1.9687235130763137,Line.l(r:udm38015-udm38016),udm38015.1.2,udm38016.1.2
2.4113442723783933,Line.l(r:udm51655-udt16817lv),udt16817lv.1.2,udm51655.1.2
2.4113450430292236,Line.l(r:p1ulv42895-udm51655),udm51655.1.2,p1ulv42895.1.2
2.4205856414507276,Line.l(r:udm49357-udt15989lv),udt15989lv.1.2,udm49357.1.2
2.5550033951628772,Line.l(r:udm39584-udm39585),udm39585.1.2,udm39584.1.2
2.5550038432216446,Line.l(r:p1ulv38860-udm39584),udm39584.1.2,p1ulv38860.1.2
2.561253907563734,Line.l(r:udm49358-udt15989lv),udt15989lv.1.2,udm49358.1.2
2.5612540394471615,Line.l(r:p1ulv42748-udm49358),udm49358.1.2,p1ulv42748.1.2
2.6412274300509164,Line.l(r:p1ulv35343-udt14369lv),udt14369lv.1.2,p1ulv35343.1.2
2.6440657323343504,Line.l(r:udm40214-udt11977lv),udt11977lv.1.2,udm40214.1.2
2.6651868433923425,Line.l(r:udm5432-udt1332lv),udt1332lv.1.2,udm5432.1.2
2.665186999696844,Line.l(r:p1ulv2844-udm5432),udm5432.1.2,p1ulv2844.1.2
2.6952205347279445,Line.l(r:p1ulv32214-udt13528lv),udt13528lv.1.2,p1ulv32214.1.2
2.708196534528916,Line.l(r:p1ulv38679-udt15107lv),udt15107lv.1.2,p1ulv38679.1.2
2.752815036261001,Line.l(r:udm5403-udt1322lv),udt1322lv.1.2,udm5403.1.2
2.7528151760666715,Line.l(r:p1ulv29936-udm5403),udm5403.1.2,p1ulv29936.1.2
2.908267500237285,Line.l(r:p1ulv27769-udt11818lv),udt11818lv.1.2,p1ulv27769.1.2
2.9090512416222976,Line.l(r:p1ulv27057-udt11505lv),udt11505lv.1.2,p1ulv27057.1.2
2.9192978835838055,Line.l(r:udm5412-udt1324lv),udt1324lv.1.2,udm5412.1.2
2.9192978998493135,Line.l(r:p1ulv44536-udm5412),udm5412.1.2,p1ulv44536.1.2
3.022560623142257,Line.l(r:p1ulv9364-udt4308lv),udt4308lv.1.2,p1ulv9364.1.2
3.0422212957008448,Line.l(r:p1ulv26694-udt11278lv),udt11278lv.1.2,p1ulv26694.1.2
3.066226079549465,Line.l(r:udm40213-udt11977lv),udt11977lv.1.2,udm40213.1.2
