OpenDSS Value (p.u.),Bus
1.050168448836207,p1ulv6974
1.050619190639358,p1ulv16351
1.0510773898298091,udm29012
1.0515370955875902,udt8924lv
1.0522969444119528,udm25128
1.0523691509288229,p1ulv18870
1.0527181243430106,p1ulv37270
1.0541984989045126,udm6610
1.055115755392633,udt11750lv
1.0553470760569539,p1ulv12264
1.055643705824645,p1ulv12269
1.0558210079669013,p1ulv34273
1.0563687092262855,p1ulv16355
1.0568898746532114,p1ulv27640
1.0574977405139026,p1ulv15061
1.0578593908663911,p1ulv16487
1.0580774387327956,p1ulv27463
1.058826572187283,p1ulv15076
1.059163442217396,p1ulv6872
1.0598161084716102,p1ulv20829
1.0600762470036587,p1ulv13268
1.060418184102822,p1ulv25411
1.0624809318319326,p1ulv18490
1.0625276958132046,p1ulv19868
1.0629917324900953,p1ulv22056
1.064197178511915,udm23241
1.0645246699357434,udm32725
1.0652760261216665,p1ulv13876
1.0652947319034187,p1ulv15230
1.0657476664054681,p1ulv23927
1.0664907565914308,p1ulv32502
1.0666992445559755,p1ulv4859
1.0670650095417533,p1ulv18918
1.0673472479805477,p1ulv16360
1.068275182857122,p1ulv15774
1.068303396429349,p1ulv16359
1.0687402486346054,p1ulv32662
1.070978159377852,p1ulv22220
1.071014100288203,p1ulv16357
1.071152726554453,p1ulv19884
1.0713920563249502,p1ulv20462
1.071914978321289,p1ulv14889
1.0732002609250606,p1ulv14205
1.0742861961181036,p1ulv30868
1.0779436095243673,p1ulv6983
1.0831357834613153,p1ulv16358
1.0864124590116893,p1ulv29083
1.0869283924211475,p1ulv29171
1.0884396649349335,p1ulv24029
1.0926223408229294,p1ulv4861
1.0999780820388236,p1ulv1824
1.100595666187941,p1ulv1861
1.1423649585296578,p1ulv1859
