OpenDSS Value (p.u.),Bus
0.0,udt713lv
0.0,udt12899-udt5154xx
0.0,udt12899-udt5154x
0.0,udt5154-udt5155xx
0.0,udt5154-udt5155x
0.0,udt5155
0.0,udt14009lv
0.0,p1ulv33916
0.0,udt706
0.0,udm38935
0.0,udt11532lv
0.0,udm38937
0.0,p1ulv39498
0.0,udm38936
0.0,p1ulv27346
0.0,udt712lv
0.0,p1ulv1403
0.0,p1ulv27104
0.0,udt713
0.0,udt12899
0.0,udt706lv
0.0,udt10888-udt12756x
0.0,udt10888
0.0,udt14009
0.0,udt12756
0.0,udt14381-udt15022x
0.0,udt14381
0.0,udt15022-udt16145x
0.0,p1ulv1391
0.0,udt15022
0.0,udt16145
0.0,p1umv40-udt12872x
0.0,udt12872
0.0,udt15142lv
0.0,p1ulv38778
0.0,udt12117lv
0.0,p1ulv28331
0.0,udt12872-udt16145x
0.0,udt16122-udt5148x
0.0,udt712
0.0,p1umv83-udt11532x
0.0,p1ulv48961
0.0,udt14202lv
0.0,p1ulv34744
0.0,udt11633-udt14202x
0.0,udt11633-udt14202xx
0.0,udt11633-udt5147xx
0.0,udt11633-udt5147x
0.0,udt18626lv
0.0,udt18626-udt5147x
0.0,udt18626-udt5153xx
0.0,udt18626-udt5153x
0.0,udt5136-udt5153x
0.0,udt5136-udt5153xx
0.0,udm46455
0.0,p1ulv38777
0.0,udt15141lv
0.0,udt18626-udt5147xx
0.0,udt11532-udt713x
0.0,udt5136-udt5142xx
0.0,udt14780-udt5142x
0.0,udt11532
0.0,p1umv83
0.0,udt12697lv
0.0,p1ulv29747
0.0,udm37491
0.0,p1ulv26371
0.0,udm37492
0.0,udt5136-udt5142x
0.0,p1ulv38019
0.0,p1ulv39136
0.0,udt11077lv
0.0,udt11077-udt14033x
0.0,udt11077-udt14033xx
0.0,udt14780lv
0.0,p1ulv37084
0.0,udt14780-udt5142xx
0.0,udm37493
0.0,udt16122-udt5148xx
0.0,udt16122-udt5146xx
0.0,udt16122-udt5146x
0.0,udt14009-udt5158x
0.0,udt14685-udt5158x
0.0,udt14685-udt5158xx
0.0,udt14685-udt18202xx
0.0,udt14685-udt18202x
0.0,udt14203
0.0,udt18202
0.0,udt14009-udt5158xx
0.0,udt18698
0.0,udt16785
0.0,udt13882
0.0,udt12117-udt13882x
0.0,udt12117-udt13882xx
0.0,udt12117-udt18970xx
0.0,udt12117-udt18970x
0.0,udt15142-udt18970x
0.0,udt16785-udt18698x
0.0,udt15142-udt18970xx
0.0,udt10888-udt5148xx
0.0,udt12322-udt5135xxx
0.0,udt1951-udt1961xxx
0.0,udt17400-udt1938xx
0.0,udt17400-udt1938x
0.0,udt12225-udt1938xx
0.0,udt12225-udt1938xxx
0.0,udt12933-udt5134xx
0.0,udt12933-udt5134xxx
0.0,udt10888-udt5148x
0.0,udt11446-udt1952x
0.0,udt11446-udt13030xx
0.0,udt11446-udt13030x
0.0,udt13030-udt1957xx
0.0,udt13030-udt1957x
0.0,udt1957-udt5135xx
0.0,udt1957-udt5135x
0.0,udt12322-udt5135xx
0.0,udt11446-udt1952xx
0.0,p1umv87-udt15142x
0.0,p1umv87-udt15142xx
0.0,p1umv40-p1umv87x
0.0,udt1951-udt5131xx
0.0,udt1951-udt5131x
0.0,udt5131-udt5138xx
0.0,udt5131-udt5138x
0.0,udt5130-udt5138x
0.0,udt5130-udt5138xx
0.0,udt12291-udt5130x
0.0,udt11530-udt1951x
0.0,udt12291-udt5130xx
0.0,udt12291-udt16706x
0.0,udt16706-udt5136xx
