OpenDSS Value (p.u.),Bus
1.0502286101381841,p1ulv57410
1.0502650839905046,p1ulv34504
1.0505056714410383,p1ulv42166
1.0505400515779737,p1ulv46993
1.0506620066558918,udm55628
1.050692789288239,p1ulv36933
1.0508774049619938,udm45147
1.0508867832495514,p1ulv53607
1.0515416547909748,p1ulv46184
1.0518613605793539,p1ulv3803
1.051878408066635,udm940
1.0518961970069614,p1ulv55908
1.0520135171491003,udt11200lv
1.052028019370639,p1ulv50659
1.052179571202786,p1ulv3812
1.0526599655166682,p1ulv3769
1.0527055838388009,p1ulv26578
1.052991940546524,p1ulv36066
1.053289820676173,udm50504
1.0534875761494962,udm4294
1.0536045544262744,udm7014
1.053623125799349,p1ulv38087
1.0537351215780797,udt18215lv
1.0538544117427902,p1ulv16473
1.0538822306786528,p1ulv22836
1.0542412869599393,udm41847
1.0544566100166113,p1ulv31251
1.0550367584998301,p1ulv38773
1.0555698129939293,p1ulv33275
1.0557388462225865,p1ulv31631
1.056005465448529,p1ulv47230
1.0560492568560302,p1ulv3768
1.0560878630165254,udm13381
1.0561928079385372,udm41709
1.0564475564732356,p1ulv5013
1.0569234206418272,p1ulv5046
1.0571344440552697,p1ulv54722
1.0574304989253376,p1ulv52815
1.0576154825932504,p1ulv32147
1.0582667417348226,p1ulv37134
1.0584433309726564,udm10459
1.0586486659169927,p1ulv20975
1.0587472628480679,p1ulv28380
1.0588056598945235,udm9187
1.0588282320707703,p1ulv52643
1.0593160854849015,p1ulv3764
1.059527905273479,p1ulv3809
1.0602552071910458,p1ulv44635
1.0603328152610776,udm39861
1.0610146819186028,p1ulv29589
1.0610959107287958,p1ulv59464
1.0613715482429547,p1ulv3771
1.0614020207453896,udm41874
1.0625310223124456,p1ulv54369
1.0633629009046197,p1ulv28021
1.0644291469890776,p1ulv35042
1.0644604786518326,p1ulv27811
1.0646086196483677,p1ulv35382
1.065883844137066,p1ulv3767
1.0667482783888707,p1ulv5993
1.0669064796393064,p1ulv1948
1.0677814158048862,p1ulv39782
1.0681437587691325,p1ulv51354
1.068190658140412,p1ulv30176
1.0682011923785222,udm7017
1.0690744205071447,p1ulv29416
1.069476432205006,p1ulv41701
1.0702466248560858,udt10101lv
1.0709549229631616,p1ulv1947
1.0710417935904253,p1ulv46996
1.0711606842269081,p1ulv50992
1.0719235896054953,p1ulv60985
1.0722643348545848,udm1003
1.072643849866137,p1ulv22843
1.0733759699999768,udm19028
1.0744550452601107,p1ulv36898
1.0755889266337773,p1ulv54620
1.0761971650946147,p1ulv5832
1.0785754684897517,p1ulv5045
1.079036841529086,p1ulv59631
1.079088430368649,p1ulv36043
1.079390294430549,p1ulv36998
1.0794353642022911,p1ulv37928
1.079837274060785,p1ulv426
1.0800055296750268,udm52563
1.0806001860419696,p1ulv29615
1.0809761113838792,udm41712
1.0814241962275641,p1ulv26959
1.0816486388224678,udm45041
1.082497586807217,p1ulv55146
1.086066130867337,p1ulv28908
1.0888653567798596,p1ulv26393
1.0892299792455602,p1ulv34817
1.0893677287704076,p1ulv28395
1.092083768367226,p1ulv421
1.093542830210157,p1ulv45628
1.0982972010023382,p1ulv43502
1.0987612630999108,p1ulv33590
1.1021125036579367,p1ulv58465
1.1050405344069496,udm55627
1.1197637417946213,udm9156
1.1212045165248516,p1ulv58755
1.1395846193116013,p1ulv4975
1.1685133424098604,p1ulv57994
