year,month,day,hour,temperature,GHI
2020,1,8,10,-8.1,116
2020,1,8,11,-8,88
2020,1,8,12,-7.9,109
2020,1,8,13,-7.3,123
2020,1,8,14,-6.3,47
2020,1,8,15,-5.4,6
2020,1,8,16,-4.6,0
2020,1,8,17,-3.8,0
2020,1,8,18,-3.3,0
2020,1,8,19,-3.4,0
2020,1,8,20,-3.9,0
2020,1,8,21,-4.8,0
2020,1,8,22,-5.6,0
2020,1,8,23,-6.5,0
2020,1,8,24,-7.7,0
2020,1,9,1,-9.1,0
2020,1,9,2,-10.5,0
2020,1,9,3,-11.8,0
2020,1,9,4,-12.7,0
2020,1,9,5,-13.3,0
2020,1,9,6,-13.7,0
2020,1,9,7,-14.3,32
2020,1,9,8,-15.2,166
2020,1,9,9,-16.3,184
2020,1,9,10,-17.3,166
2020,1,9,11,-18.2,173
2020,1,9,12,-19.2,152
2020,1,9,13,-19.1,230
2020,1,9,14,-17.6,112
2020,1,9,15,-16.2,10
2020,1,9,16,-15.2,0
2020,1,9,17,-14.2,0
2020,1,9,18,-13.7,0
2020,1,9,19,-13.9,0
2020,1,9,20,-15.4,0
2020,1,9,21,-17.9,0
2020,1,9,22,-18.3,0
2020,1,9,23,-17.4,0
2020,1,9,24,-16.1,0
2020,1,10,1,-15.4,0
2020,1,10,2,-15,0
2020,1,10,3,-14.4,0
2020,1,10,4,-13.7,0
2020,1,10,5,-13,0
2020,1,10,6,-12.4,0
2020,1,10,7,-11.6,17
2020,1,10,8,-10.6,58
2020,1,10,9,-9.7,16
2020,1,10,10,-9.1,17
2020,1,10,11,-8.4,36
2020,1,10,12,-7.7,16
2020,1,10,13,-6.6,18
2020,1,10,14,-5.2,34
2020,1,10,15,-4.2,5
2020,1,10,16,-3.4,0
2020,1,10,17,-2.6,0
2020,1,10,18,-1.8,0
2020,1,10,19,-0.9,0
2020,1,10,20,-0.2,0
2020,1,10,21,0.4,0
2020,1,10,22,0.8,0
2020,1,10,23,1,0
2020,1,10,24,1.2,0
2020,1,11,1,1.3,0
2020,1,11,2,1.3,0
2020,1,11,3,1.3,0
2020,1,11,4,1.3,0
2020,1,11,5,1.4,0
2020,1,11,6,1.4,0
2020,1,11,7,1.3,11
2020,1,11,8,1.3,26
2020,1,11,9,1.2,9
2020,1,11,10,1.3,8
2020,1,11,11,1.5,9
2020,1,11,12,1.6,8
2020,1,11,13,1.7,12
2020,1,11,14,1.8,19
2020,1,11,15,1.9,5
2020,1,11,16,2,0
2020,1,11,17,2,0
2020,1,11,18,2,0
2020,1,11,19,1.9,0
2020,1,11,20,1.7,0
2020,1,11,21,1.6,0
2020,1,11,22,1.5,0
2020,1,11,23,1.2,0
2020,1,11,24,0.3,0
2020,1,12,1,-2,0
2020,1,12,2,-4.2,0
2020,1,12,3,-5.9,0
2020,1,12,4,-7.2,0
2020,1,12,5,-8,0
2020,1,12,6,-8.3,0
2020,1,12,7,-8.5,12
2020,1,12,8,-8.8,71
2020,1,12,9,-9.5,34
2020,1,12,10,-10.3,10
2020,1,12,11,-10.7,56
2020,1,12,12,-10.8,26
2020,1,12,13,-10.6,20
2020,1,12,14,-10.3,49
2020,1,12,15,-9.8,8
2020,1,12,16,-9.3,0
2020,1,12,17,-9,0
2020,1,12,18,-9,0
2020,1,12,19,-9.1,0
