OpenDSS Value (p.u.),Bus
1.051587329452158,p1ulv22205
1.0527023755963012,p1ulv16382
1.0527979315499092,p1ulv16369
1.0528267328189118,p1ulv15330
1.0531193543235968,p1ulv16368
1.0536598623810698,udm34413
1.054614510483695,udm11369
1.0546285091634284,udm28777
1.0548098434409425,p1ulv16366
1.0561106345124243,p1ulv12091
1.0563805889198523,p1ulv16378
1.0591938192940287,p1ulv16374
1.0603543942874738,p1ulv16370
1.060388824045135,udm31317
1.0636151704097574,udm31318
1.0641391838937446,udm13153
1.0671699401481989,p1ulv20734
1.0691832940077486,p1ulv16281
1.071805819445671,p1ulv13406
1.0720655954804554,p1ulv16365
1.072676367404815,p1ulv16371
1.0788167356000482,p1ulv35788
1.0810778224565913,udm28874
1.0825480056089756,p1ulv16375
1.0847876761739315,p1ulv18403
1.0896704967321842,p1ulv23387
1.0968248130593419,p1ulv20140
1.1006500712534526,p1ulv16380
1.1059392506337495,p1ulv16373
1.1071571621612737,p1ulv32512
1.1122241712037,p1ulv16381
1.1218538215153782,p1ulv16384
