OpenDSS Value (p.u.),Bus
0.9874282378478592,p1ulv9396
0.9980488136637478,p1ulv28680
1.0012680120604405,udm16489
1.0029335131797974,udm168
1.0030640463493001,p1ulv18215
1.0037297491911474,p1ulv4772
1.004376953327,udm16490
1.0046813145125122,udt4333lv
1.0049612993385977,p1ulv11176
1.0060145367980917,udm171
1.0060253438539761,p1ulv47072
1.0064850742407163,udt2147lv
1.0077238257716803,p1ulv29737
1.0085228253690905,udm169
1.0093596016630089,p1ulv36575
1.0096328995765702,p1ulv82
1.0102808185710463,udm170
1.0108808746292617,p1ulv72
1.0109484628970646,p1ulv49017
1.0118697789211553,p1ulv85
1.0119495978612005,p1ulv73
1.0119502041057904,udt69lv
1.0122136709416978,udt60lv
1.0122351360308415,p1ulv34302
1.012502596207062,p1ulv26955
1.012651232205319,p1ulv12907
1.0130188895702736,p1ulv39289
1.0131276642728777,p1ulv41003
1.013142769650207,p1ulv32350
1.0132695614302376,p1ulv50927
1.013385218621973,p1ulv28813
1.0133983263048445,udm216
1.0134515425404733,p1ulv35044
1.0135834336652063,p1ulv24415
1.0136402732334064,udt59lv
1.0136822923008024,p1ulv29387
1.013719717718011,udm41666
1.0137702963693842,p1ulv21962
1.0138781981929414,p1ulv24412
1.0138838752118309,p1ulv15058
1.0139360655311982,udm41665
1.0139361046447506,p1ulv9398
1.01399492697754,p1ulv39261
1.0140475134170934,p1ulv23623
1.0141023107518186,udt14086lv
1.014108207644866,udt12540lv
1.0141652046880447,udm190
1.0141896137525308,p1ulv24441
1.0142444944631275,p1ulv94
1.0142756877057433,p1ulv23439
1.0143022900652434,udm39476
1.0143673189994127,p1ulv20507
1.0143829074765516,p1ulv84
1.01439564505444,udm39473
1.014408512171868,p1ulv21612
1.0144441499672963,p1ulv13251
1.0144567991654834,udm18496
1.0144857618718348,p1ulv69
1.0146145295507925,p1ulv30711
1.014690004686853,udm8629
1.0147007193625146,p1ulv16763
1.0147245472184259,udm39471
1.0147362081610978,p1ulv32896
1.014763744832264,p1ulv81
1.0148197239569927,p1ulv24500
1.0148341596263977,p1ulv36929
1.0148491381720146,p1ulv32091
1.0148652240507934,p1ulv46010
1.0149060152997156,udm22100
1.0149575430987388,p1ulv31561
1.0149587639680746,udm10761
1.0149754279105878,udm191
1.0150769660783854,udm215
1.0150832324751609,p1ulv26504
1.0151208978740751,p1ulv27405
1.0151815548787146,udm209
1.0151950475731932,p1ulv93
1.015205828355248,udt71lv
1.0152386839972243,udm185
1.0152504008167464,udm23532
1.015270041119307,p1ulv44569
1.0152869440612569,p1ulv24431
1.0152881757790897,udt4335lv
1.0153613535496653,p1ulv24502
1.015418929982971,udm23413
1.015484109848602,p1ulv32959
1.0155103765135118,udt68lv
1.0155541196969202,p1ulv32822
1.015571009789442,p1ulv24414
1.015626623110968,udt10547lv
1.0156631289270146,udm10756
1.0156802142642645,p1ulv24663
1.0157096552590168,udt13301lv
1.0157775220599432,p1ulv22431
1.0158059621859892,udt10559lv
1.0158278175810393,p1ulv25328
1.0158316924651534,udt14738lv
1.0158461963967897,udm162
1.0159809319048356,p1ulv18946
1.01601157671276,udt58lv
1.0160338545944982,udm214
1.0161183950141304,p1ulv91
1.0161485499763536,p1ulv5921
1.0161660585084307,p1ulv34962
1.0161821896596561,udm164
1.0161900606426268,p1ulv24411
1.016203456521892,p1ulv96
1.0162058624941068,p1ulv18745
1.0162354879554985,p1ulv71
1.016248645789633,p1ulv42477
1.0162575260684776,p1ulv24455
1.0162842870466533,p1ulv15010
1.0163157347302496,udm10758
1.016343671867812,p1ulv33910
1.0163461609499558,udm26017
1.016357274555005,udt72lv
1.0164394126121925,udm29363
1.016453758378951,udm18497
1.0164671022016512,udt17844lv
1.0164784298352734,udm35546
1.0164848271985651,udt10711lv
1.0165354703123672,p1ulv9074
1.016553071150788,p1ulv26725
1.0165539485659214,p1ulv20661
1.0165952368763973,p1ulv9069
1.016610121865482,udt10544lv
1.016644569791977,p1ulv25782
1.016656080638037,udm210
1.0166641118182536,p1ulv38831
1.0166823490517518,p1ulv20377
1.0167341789470856,udt11698lv
1.016742426317385,p1ulv24481
1.0167814698594357,p1ulv24490
